,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,swell_direction3,dateStamp,swell_period1,swell_period2,surf_min,modelRun,modelCode,periodSchedule,swell_direction2,swell_period3,swell_direction1,swell_height3,swell_height1,swell_height2
2016-08-07T20:00:00+00:00,1200,WNW,14.7,80.8,1026,15,18.5,18.0,3.1,8.0,,,,,,,,,,,,,,,
2016-08-07T21:00:00+00:00,1260,WNW,14.6,80.3,1029,14,18.4,18.0,3.2,8.0,,,,,,,,,,,,,,,
2016-08-07T22:00:00+00:00,1320,WNW,15.1,81.9,1029,12,18.4,18.2,3.1,8.0,,,,,,,,,,,,,,,
2016-08-07T23:00:00+00:00,1380,WNW,14.8,80.8,1029,12,18.4,18.1,3.2,8.0,,,,,,,,,,,,,,,
2016-08-08T00:00:00+00:00,0,WSW,15.4,84.1,1028,12,18.4,18.1,3.3,8.0,,,,,,,,,,,,,,,
2016-08-08T01:00:00+00:00,60,W,15.5,84.1,1029,13,18.4,18.2,3.0,7.0,4.09,120.0,"August 08, 2016 01:00:00",7.6,13.5,3.12,2016080718.0,undefined,0100,297.0,6.3,339.0,1.3,3.9,3.9
2016-08-08T02:00:00+00:00,120,W,15.9,86.3,1027,14,18.4,18.2,3.0,8.0,,,,,,,,,,,,,,,
2016-08-08T03:00:00+00:00,180,W,15.7,88.5,1025,12,18.4,17.6,3.0,8.0,,,,,,,,,,,,,,,
2016-08-08T04:00:00+00:00,240,W,16.2,93.2,1023,14,18.3,17.3,3.1,7.0,,,,,,,,,,,,,,,
2016-08-08T05:00:00+00:00,300,WNW,16.3,95.0,1028,10,18.3,17.1,2.8,8.0,,,,,,,,,,,,,,,
2016-08-08T06:00:00+00:00,360,NW,15.7,89.6,1028,11,18.4,17.4,2.6,7.0,,,,,,,,,,,,,,,
2016-08-08T07:00:00+00:00,420,WNW,15.2,88.5,1025,10,18.4,17.1,2.6,8.0,3.94,124.0,"August 08, 2016 07:00:00",12.3,7.6,3.01,2016080800.0,undefined,0700,344.0,6.9,295.0,1.7,4.7,3.7
2016-08-08T08:00:00+00:00,480,NW,14.5,83.5,1029,9,18.4,17.3,2.5,7.0,,,,,,,,,,,,,,,
2016-08-08T09:00:00+00:00,540,NNW,15.1,88.4,1029,11,18.4,17.0,2.7,7.0,,,,,,,,,,,,,,,
2016-08-08T10:00:00+00:00,600,NNW,14.1,83.4,1030,11,18.4,16.9,2.5,7.0,,,,,,,,,,,,,,,
2016-08-08T11:00:00+00:00,660,N,13.0,78.0,1030,10,18.4,16.8,2.5,7.0,,,,,,,,,,,,,,,
2016-08-08T12:00:00+00:00,720,N,12.5,75.0,1030,9,18.5,16.9,2.3,7.0,,,,,,,,,,,,,,,
2016-08-08T13:00:00+00:00,780,NNW,11.4,70.1,1030,10,18.5,16.8,2.5,7.0,3.32,18.0,"August 08, 2016 13:00:00",11.2,8.4,2.99,2016080806.0,undefined,1300,345.0,6.9,295.0,1.5,4.4,4.2
2016-08-08T14:00:00+00:00,840,N,11.8,72.5,1030,11,18.5,16.7,2.4,7.0,,,,,,,,,,,,,,,
2016-08-08T15:00:00+00:00,900,N,12.1,73.0,1030,12,18.4,16.9,2.2,7.0,,,,,,,,,,,,,,,
2016-08-08T16:00:00+00:00,960,N,11.0,68.7,1031,13,18.4,16.7,2.2,7.0,,,,,,,,,,,,,,,
2016-08-08T17:00:00+00:00,1020,N,11.2,70.0,1031,13,18.3,16.6,2.2,7.0,,,,,,,,,,,,,,,
2016-08-08T18:00:00+00:00,1080,N,11.2,70.0,1031,12,18.3,16.6,2.0,6.0,,,,,,,,,,,,,,,
2016-08-08T19:00:00+00:00,1140,N,11.1,70.0,1031,13,18.3,16.5,2.1,7.0,2.46,18.0,"August 08, 2016 19:00:00",8.4,11.2,1.49,2016080806.0,undefined,1900,294.0,7.6,343.0,1.6,4.7,3.7
