,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_period1,dateStamp,swell_height2,swell_period2,surf_min,surf_max,swell_direction3,swell_direction1,swell_height1,swell_direction2,swell_height3,swell_period3,modelCode,periodSchedule
2016-08-10T20:00:00+00:00,1200,NNW,13.1,80.5,1033,10,17.9,16.4,1.9,7.0,,,,,,,,,,,,,,,
2016-08-10T21:00:00+00:00,1260,NNW,12.9,78.5,1033,10,17.9,16.6,1.7,6.0,,,,,,,,,,,,,,,
2016-08-10T22:00:00+00:00,1320,NNW,12.0,75.4,1033,10,17.9,16.3,1.7,7.0,,,,,,,,,,,,,,,
2016-08-10T23:00:00+00:00,1380,NNW,12.6,77.4,1033,9,17.9,16.5,1.8,6.0,,,,,,,,,,,,,,,
2016-08-11T00:00:00+00:00,0,NW,12.1,76.3,1033,8,17.9,16.2,1.7,7.0,,,,,,,,,,,,,,,
2016-08-11T01:00:00+00:00,60,W,12.2,76.4,1032,8,17.9,16.3,1.5,6.0,2016081018.0,9.3,"August 11, 2016 01:00:00",3.1,6.9,0.0,0.28,15.0,344.0,7.7,24.0,1.3,8.4,undefined,0100
2016-08-11T02:00:00+00:00,120,W,12.7,78.5,1032,9,17.8,16.4,1.5,6.0,,,,,,,,,,,,,,,
2016-08-11T03:00:00+00:00,180,W,13.1,80.5,1032,9,17.9,16.4,1.6,6.0,,,,,,,,,,,,,,,
2016-08-11T04:00:00+00:00,240,W,13.1,80.0,1031,9,17.8,16.5,1.5,6.0,,,,,,,,,,,,,,,
2016-08-11T05:00:00+00:00,300,W,12.9,78.0,1031,10,17.8,16.7,1.6,6.0,,,,,,,,,,,,,,,
2016-08-11T06:00:00+00:00,360,W,13.0,78.5,1031,9,17.8,16.7,1.7,6.0,,,,,,,,,,,,,,,
2016-08-11T07:00:00+00:00,420,W,12.5,76.4,1031,9,17.7,16.6,1.7,6.0,2016081100.0,9.3,"August 11, 2016 07:00:00",2.8,8.4,0.0,0.23,47.0,344.0,7.2,22.0,0.3,2.4,undefined,0700
2016-08-11T08:00:00+00:00,480,W,12.6,76.4,1031,9,17.8,16.7,1.6,6.0,,,,,,,,,,,,,,,
2016-08-11T09:00:00+00:00,540,WSW,12.3,75.4,1031,8,17.7,16.6,1.6,6.0,,,,,,,,,,,,,,,
2016-08-11T10:00:00+00:00,600,W,12.4,75.9,1031,10,17.8,16.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-11T11:00:00+00:00,660,W,12.5,75.9,1030,8,17.7,16.7,1.5,6.0,,,,,,,,,,,,,,,
2016-08-11T12:00:00+00:00,720,W,12.2,74.4,1031,8,17.8,16.7,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T13:00:00+00:00,780,W,12.8,75.0,1031,8,18.1,17.2,1.3,6.0,2016081106.0,9.3,"August 11, 2016 13:00:00",2.4,8.4,0.0,0.12,125.0,344.0,6.7,20.0,0.6,6.3,undefined,1300
2016-08-11T14:00:00+00:00,840,WSW,12.4,74.5,1031,9,17.9,16.9,1.2,6.0,,,,,,,,,,,,,,,
2016-08-11T15:00:00+00:00,900,WSW,12.3,75.4,1030,8,17.9,16.6,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T16:00:00+00:00,960,WSW,12.8,76.5,1030,9,18.1,16.9,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T17:00:00+00:00,1020,WSW,13.0,76.0,1029,7,18.1,17.2,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T18:00:00+00:00,1080,SW,13.4,77.1,1029,8,18.2,17.4,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T19:00:00+00:00,1140,SW,13.0,76.1,1026,8,18.4,17.2,1.3,6.0,2016081106.0,9.3,"August 11, 2016 19:00:00",1.8,8.4,0.0,0.11,124.0,344.0,5.7,18.0,1.4,6.9,undefined,1900
