,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period2,swell_direction2,swell_height3,surf_max,swell_period1,dateStamp,swell_period3,swell_direction1,swell_height2,swell_height1,modelCode,swell_direction3,periodSchedule,surf_min,modelRun
2016-08-11T20:00:00+00:00,1200,SW,13.5,78.1,1028,9,18.1,17.3,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T21:00:00+00:00,1260,SW,13.8,79.1,1029,9,18.1,17.4,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T22:00:00+00:00,1320,SW,14.2,80.3,1027,10,18.1,17.6,1.3,6.0,,,,,,,,,,,,,,,
2016-08-11T23:00:00+00:00,1380,SSW,14.5,81.9,1028,9,18.1,17.6,1.1,5.0,,,,,,,,,,,,,,,
2016-08-12T00:00:00+00:00,0,S,14.6,81.9,1028,8,18.1,17.7,1.2,6.0,,,,,,,,,,,,,,,
2016-08-12T01:00:00+00:00,60,S,14.9,81.9,1027,10,18.1,18.0,1.2,6.0,7.6,123.0,1.5,0.1,8.4,"August 12, 2016 01:00:00",7.6,346.0,1.8,4.4,undefined,17.0,0100,0.0,2016081118.0
2016-08-12T02:00:00+00:00,120,SSW,14.4,79.2,1027,13,18.1,18.0,1.1,5.0,,,,,,,,,,,,,,,
2016-08-12T03:00:00+00:00,180,SSW,14.6,80.3,1027,12,18.1,18.0,1.1,5.0,,,,,,,,,,,,,,,
2016-08-12T04:00:00+00:00,240,S,14.2,78.3,1026,14,18.1,18.0,1.2,5.0,,,,,,,,,,,,,,,
2016-08-12T05:00:00+00:00,300,SSW,14.1,77.7,1026,13,18.1,18.0,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T06:00:00+00:00,360,SSW,13.8,75.2,1026,13,18.0,18.2,1.2,5.0,,,,,,,,,,,,,,,
2016-08-12T07:00:00+00:00,420,S,14.3,79.2,1026,13,18.1,17.9,1.2,5.0,7.6,123.0,1.1,0.1,8.4,"August 12, 2016 07:00:00",7.6,348.0,1.8,3.2,undefined,15.0,0700,0.0,2016081200.0
2016-08-12T08:00:00+00:00,480,SSW,14.4,79.3,1026,14,18.1,18.0,1.2,5.0,,,,,,,,,,,,,,,
2016-08-12T09:00:00+00:00,540,SSW,14.6,80.3,1026,13,18.1,18.0,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T10:00:00+00:00,600,S,14.4,79.7,1026,12,18.1,17.9,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T11:00:00+00:00,660,S,14.6,79.3,1026,13,18.4,18.2,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T12:00:00+00:00,720,S,14.5,79.3,1026,12,18.0,18.1,1.2,5.0,,,,,,,,,,,,,,,
2016-08-12T13:00:00+00:00,780,S,14.8,80.3,1026,13,18.3,18.2,1.3,5.0,7.6,124.0,1.0,0.1,9.3,"August 12, 2016 13:00:00",7.6,349.0,1.8,2.5,undefined,16.0,1300,0.0,2016081206.0
2016-08-12T14:00:00+00:00,840,SSW,15.1,80.9,1025,13,18.3,18.4,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T15:00:00+00:00,900,SSW,15.0,81.4,1025,12,18.4,18.2,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T16:00:00+00:00,960,SSW,15.6,82.6,1025,12,18.3,18.6,1.3,4.0,,,,,,,,,,,,,,,
2016-08-12T17:00:00+00:00,1020,SSW,15.6,84.1,1025,12,18.4,18.3,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T18:00:00+00:00,1080,SW,15.5,83.6,1025,12,18.4,18.3,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T19:00:00+00:00,1140,SSW,15.7,83.0,1025,11,18.4,18.6,1.4,5.0,7.6,123.0,1.1,0.12,8.4,"August 12, 2016 19:00:00",4.7,355.0,1.9,1.9,undefined,320.0,1900,0.0,2016081206.0
