,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_period3,periodSchedule,surf_min,dateStamp,surf_max,swell_height2,swell_direction2,swell_height3,modelCode,swell_direction3,swell_direction1,swell_period1,swell_height1,swell_period2
2016-08-12T20:00:00+00:00,1200,SW,15.9,85.3,1025,11,18.4,18.4,1.4,5.0,,,,,,,,,,,,,,,
2016-08-12T21:00:00+00:00,1260,SW,16.2,85.8,1025,11,18.4,18.6,1.3,5.0,,,,,,,,,,,,,,,
2016-08-12T22:00:00+00:00,1320,SW,16.1,86.9,1025,9,18.4,18.3,1.4,5.0,,,,,,,,,,,,,,,
2016-08-12T23:00:00+00:00,1380,SW,16.4,88.0,1025,10,18.4,18.4,1.5,6.0,,,,,,,,,,,,,,,
2016-08-13T00:00:00+00:00,0,SW,16.6,88.6,1025,10,18.4,18.5,1.5,6.0,,,,,,,,,,,,,,,
2016-08-13T01:00:00+00:00,60,SW,16.6,89.2,1025,9,18.4,18.4,1.7,6.0,2016081218.0,3.2,0100,0.0,"August 13, 2016 01:00:00",0.1,1.7,352.0,0.9,undefined,338.0,124.0,7.6,2.1,8.4
2016-08-13T02:00:00+00:00,120,SSW,16.7,89.7,1024,8,18.3,18.4,1.7,6.0,,,,,,,,,,,,,,,
2016-08-13T03:00:00+00:00,180,SW,16.7,90.3,1024,8,18.3,18.3,1.7,6.0,,,,,,,,,,,,,,,
2016-08-13T04:00:00+00:00,240,SW,16.7,89.7,1024,8,18.4,18.4,1.7,6.0,,,,,,,,,,,,,,,
2016-08-13T05:00:00+00:00,300,WSW,16.8,90.4,1024,8,18.4,18.4,1.8,7.0,,,,,,,,,,,,,,,
2016-08-13T06:00:00+00:00,360,SW,17.1,91.5,1024,7,18.4,18.5,1.7,6.0,,,,,,,,,,,,,,,
2016-08-13T07:00:00+00:00,420,SW,16.8,92.0,1025,6,18.3,18.1,1.7,6.0,2016081300.0,3.9,0700,0.0,"August 13, 2016 07:00:00",0.08,1.1,354.0,1.1,undefined,348.0,126.0,7.6,2.2,8.4
2016-08-13T08:00:00+00:00,480,SW,16.5,91.4,1025,8,18.4,17.9,1.6,6.0,,,,,,,,,,,,,,,
2016-08-13T09:00:00+00:00,540,WSW,16.8,92.6,1025,10,18.5,18.0,1.6,6.0,,,,,,,,,,,,,,,
2016-08-13T10:00:00+00:00,600,NW,16.7,94.4,1025,8,18.5,17.6,1.6,6.0,,,,,,,,,,,,,,,
2016-08-13T11:00:00+00:00,660,N,16.4,95.0,1025,9,18.5,17.2,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T12:00:00+00:00,720,NE,17.0,95.6,1025,6,18.5,17.7,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T13:00:00+00:00,780,NNE,16.6,94.5,1025,7,18.5,17.5,1.4,6.0,2016081306.0,4.3,1300,0.0,"August 13, 2016 13:00:00",0.08,1.4,348.0,1.1,undefined,23.0,126.0,7.6,2.1,4.3
2016-08-13T14:00:00+00:00,840,NNE,16.2,94.4,1026,10,18.6,17.1,1.3,6.0,,,,,,,,,,,,,,,
2016-08-13T15:00:00+00:00,900,NE,16.5,94.4,1025,8,18.5,17.4,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T16:00:00+00:00,960,NE,16.4,91.4,1025,8,18.7,17.8,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T17:00:00+00:00,1020,NE,16.2,90.8,1025,6,18.7,17.7,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T18:00:00+00:00,1080,NE,16.0,90.3,1025,6,18.7,17.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-13T19:00:00+00:00,1140,NE,16.1,90.3,1025,6,18.6,17.7,1.5,6.0,2016081306.0,7.6,1900,0.0,"August 13, 2016 19:00:00",0.15,2.3,24.0,1.8,undefined,124.0,344.0,4.7,3.3,4.7
