,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_period1,dateStamp,swell_period3,swell_direction1,swell_height3,swell_height2,periodSchedule,swell_direction2,swell_period2,modelCode,swell_height1,swell_direction3,surf_max,surf_min
2016-08-13T20:00:00+00:00,1200,NE,15.9,89.1,1025,6,18.6,17.7,1.6,6.0,,,,,,,,,,,,,,,
2016-08-13T21:00:00+00:00,1260,ENE,16.0,89.7,1026,6,18.5,17.7,1.5,6.0,,,,,,,,,,,,,,,
2016-08-13T22:00:00+00:00,1320,ENE,16.4,91.4,1026,7,18.6,17.8,1.4,6.0,,,,,,,,,,,,,,,
2016-08-13T23:00:00+00:00,1380,E,16.4,91.4,1025,9,18.6,17.8,1.2,5.0,,,,,,,,,,,,,,,
2016-08-14T00:00:00+00:00,0,E,16.4,90.8,1025,8,18.5,17.9,1.2,5.0,,,,,,,,,,,,,,,
2016-08-14T01:00:00+00:00,60,E,16.4,90.3,1025,6,18.5,18.0,1.1,6.0,2016081318.0,5.2,"August 14, 2016 01:00:00",7.6,342.0,1.2,3.1,0100,25.0,5.2,undefined,4.2,120.0,0.27,0.0
2016-08-14T02:00:00+00:00,120,E,16.3,89.7,1025,6,18.6,18.0,1.1,6.0,,,,,,,,,,,,,,,
2016-08-14T03:00:00+00:00,180,ESE,16.4,90.3,1025,6,18.6,18.0,1.2,5.0,,,,,,,,,,,,,,,
2016-08-14T04:00:00+00:00,240,ESE,17.0,93.8,1024,7,18.5,18.0,0.9,6.0,,,,,,,,,,,,,,,
2016-08-14T05:00:00+00:00,300,ESE,17.1,92.6,1024,6,18.6,18.3,1.1,6.0,,,,,,,,,,,,,,,
2016-08-14T06:00:00+00:00,360,SE,16.9,90.9,1024,6,18.5,18.4,1.1,6.0,,,,,,,,,,,,,,,
2016-08-14T07:00:00+00:00,420,SSE,16.6,88.0,1024,6,18.6,18.6,1.2,6.0,2016081400.0,5.7,"August 14, 2016 07:00:00",7.6,340.0,1.1,2.7,0700,25.0,5.2,undefined,4.0,122.0,0.44,0.0
2016-08-14T08:00:00+00:00,480,SE,15.7,83.6,1024,9,18.5,18.5,1.0,6.0,,,,,,,,,,,,,,,
2016-08-14T09:00:00+00:00,540,SE,15.7,83.6,1024,13,18.5,18.5,1.1,6.0,,,,,,,,,,,,,,,
2016-08-14T10:00:00+00:00,600,SSE,15.9,84.7,1024,11,18.6,18.5,1.1,6.0,,,,,,,,,,,,,,,
2016-08-14T11:00:00+00:00,660,SSE,16.1,85.8,1024,9,18.9,18.5,1.0,5.0,,,,,,,,,,,,,,,
2016-08-14T12:00:00+00:00,720,SSE,16.1,85.8,1024,10,18.7,18.5,1.2,5.0,,,,,,,,,,,,,,,
2016-08-14T13:00:00+00:00,780,SE,16.2,85.8,1024,8,18.8,18.6,1.1,5.0,2016081406.0,5.7,"August 14, 2016 13:00:00",6.9,338.0,1.2,2.4,1300,23.0,5.2,undefined,4.1,121.0,0.64,0.0
2016-08-14T14:00:00+00:00,840,SSE,16.0,84.7,1024,8,18.9,18.6,1.1,5.0,,,,,,,,,,,,,,,
2016-08-14T15:00:00+00:00,900,SSE,15.8,82.5,1024,9,19.0,18.8,1.0,5.0,,,,,,,,,,,,,,,
2016-08-14T16:00:00+00:00,960,SE,16.0,83.2,1023,9,18.9,18.9,1.0,5.0,,,,,,,,,,,,,,,
2016-08-14T17:00:00+00:00,1020,SE,15.9,82.1,1023,10,19.0,19.0,1.0,5.0,,,,,,,,,,,,,,,
2016-08-14T18:00:00+00:00,1080,SSE,15.5,82.0,1023,10,19.0,18.6,0.9,5.0,,,,,,,,,,,,,,,
2016-08-14T19:00:00+00:00,1140,SE,16.3,83.7,1022,12,18.9,19.1,1.0,5.0,2016081406.0,5.7,"August 14, 2016 19:00:00",7.6,334.0,1.1,2.0,1900,21.0,5.2,undefined,4.4,123.0,0.7,0.0
