,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,swell_period2,modelRun,swell_height3,swell_direction2,swell_direction3,surf_min,swell_period3,swell_height2,dateStamp,swell_height1,modelCode,swell_direction1,surf_max,periodSchedule
2016-08-14T20:00:00+00:00,1200,SE,16.0,83.6,1022,12,18.9,18.8,1.0,5.0,,,,,,,,,,,,,,,
2016-08-14T21:00:00+00:00,1260,SE,15.9,84.7,1022,13,18.8,18.5,1.0,4.0,,,,,,,,,,,,,,,
2016-08-14T22:00:00+00:00,1320,SE,15.7,83.1,1022,14,18.7,18.6,1.0,4.0,,,,,,,,,,,,,,,
2016-08-14T23:00:00+00:00,1380,SSE,15.5,82.5,1022,13,18.7,18.5,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T00:00:00+00:00,0,SSE,15.5,82.6,1022,13,18.7,18.5,1.2,4.0,,,,,,,,,,,,,,,
2016-08-15T01:00:00+00:00,60,SSE,15.4,82.5,1021,13,18.7,18.4,1.1,4.0,5.2,5.2,2016081418.0,1.1,21.0,122.0,0.0,6.9,1.7,"August 15, 2016 01:00:00",3.8,undefined,333.0,0.7,0100
2016-08-15T02:00:00+00:00,120,SSE,15.1,81.5,1021,15,18.6,18.3,1.2,4.0,,,,,,,,,,,,,,,
2016-08-15T03:00:00+00:00,180,SSE,15.1,82.0,1020,14,18.5,18.2,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T04:00:00+00:00,240,S,15.3,83.0,1019,11,18.6,18.2,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T05:00:00+00:00,300,SSE,15.3,83.5,1019,13,18.7,18.1,1.0,4.0,,,,,,,,,,,,,,,
2016-08-15T06:00:00+00:00,360,SSE,15.6,84.1,1019,14,18.7,18.3,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T07:00:00+00:00,420,SSE,15.5,84.7,1019,12,18.7,18.1,1.1,4.0,5.2,5.2,2016081500.0,1.4,346.0,21.0,0.0,4.7,2.2,"August 15, 2016 07:00:00",2.3,undefined,320.0,0.72,0700
2016-08-15T08:00:00+00:00,480,SSE,15.5,84.7,1018,13,18.7,18.1,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T09:00:00+00:00,540,SSE,15.8,86.3,1018,14,18.8,18.1,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T10:00:00+00:00,600,S,16.5,87.5,1018,13,18.7,18.6,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T11:00:00+00:00,660,S,16.2,86.4,1018,12,18.8,18.5,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T12:00:00+00:00,720,S,16.7,87.0,1017,12,18.8,18.9,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T13:00:00+00:00,780,S,16.2,87.0,1017,12,18.9,18.4,1.1,4.0,4.7,6.9,2016081506.0,0.8,121.0,18.0,0.0,4.7,1.0,"August 15, 2016 13:00:00",2.5,undefined,327.0,0.71,1300
2016-08-15T14:00:00+00:00,840,S,16.4,86.9,1017,11,19.0,18.6,1.0,4.0,,,,,,,,,,,,,,,
2016-08-15T15:00:00+00:00,900,SSE,16.8,87.0,1016,11,19.0,19.0,0.9,4.0,,,,,,,,,,,,,,,
2016-08-15T16:00:00+00:00,960,SSE,17.1,89.3,1016,13,19.1,18.9,0.9,4.0,,,,,,,,,,,,,,,
2016-08-15T17:00:00+00:00,1020,SE,17.5,90.4,1015,15,19.1,19.1,0.9,4.0,,,,,,,,,,,,,,,
2016-08-15T18:00:00+00:00,1080,SE,17.6,91.0,1015,14,19.1,19.1,1.0,4.0,,,,,,,,,,,,,,,
2016-08-15T19:00:00+00:00,1140,SSE,17.5,90.4,1015,13,19.1,19.1,1.0,4.0,4.7,6.9,2016081506.0,0.7,121.0,278.0,0.0,9.3,0.9,"August 15, 2016 19:00:00",2.2,undefined,326.0,0.7,1900
