,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period3,swell_period2,swell_direction2,surf_min,periodSchedule,surf_max,swell_height2,modelCode,swell_height1,swell_height3,swell_direction3,modelRun,swell_period1,swell_direction1
2016-08-15T20:00:00+00:00,1200,SSE,17.2,88.7,1015,12,19.1,19.1,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T21:00:00+00:00,1260,SSE,17.3,88.7,1015,13,19.1,19.2,1.0,4.0,,,,,,,,,,,,,,,
2016-08-15T22:00:00+00:00,1320,SE,17.1,88.1,1014,15,19.0,19.1,1.1,4.0,,,,,,,,,,,,,,,
2016-08-15T23:00:00+00:00,1380,SSE,17.0,86.5,1014,14,18.9,19.3,1.1,4.0,,,,,,,,,,,,,,,
2016-08-16T00:00:00+00:00,0,SSE,16.9,85.9,1013,12,18.9,19.3,1.2,4.0,,,,,,,,,,,,,,,
2016-08-16T01:00:00+00:00,60,SSE,16.8,85.4,1013,10,19.0,19.3,1.4,5.0,"August 16, 2016 01:00:00",6.9,8.4,279.0,0.0,0100,0.68,0.8,undefined,1.8,0.8,121.0,2016081518.0,4.7,328.0
2016-08-16T02:00:00+00:00,120,SSE,16.6,83.3,1012,13,19.0,19.5,1.6,6.0,,,,,,,,,,,,,,,
2016-08-16T03:00:00+00:00,180,SE,16.7,84.3,1012,13,19.1,19.4,1.8,6.0,,,,,,,,,,,,,,,
2016-08-16T04:00:00+00:00,240,SSE,17.2,87.1,1011,13,19.0,19.4,1.8,7.0,,,,,,,,,,,,,,,
2016-08-16T05:00:00+00:00,300,SSE,17.4,89.2,1011,13,19.0,19.2,1.8,6.0,,,,,,,,,,,,,,,
2016-08-16T06:00:00+00:00,360,SSE,17.9,91.6,1011,11,19.0,19.3,2.0,6.0,,,,,,,,,,,,,,,
2016-08-16T07:00:00+00:00,420,SSE,18.1,92.8,1011,11,19.0,19.3,2.1,6.0,"August 16, 2016 07:00:00",8.4,4.3,324.0,0.0,0700,0.65,0.9,undefined,1.0,0.8,278.0,2016081600.0,3.2,339.0
2016-08-16T08:00:00+00:00,480,S,18.3,92.8,1010,13,18.9,19.5,2.2,7.0,,,,,,,,,,,,,,,
2016-08-16T09:00:00+00:00,540,SSE,18.4,93.9,1011,13,18.9,19.4,2.3,7.0,,,,,,,,,,,,,,,
2016-08-16T10:00:00+00:00,600,S,18.4,93.9,1010,14,18.9,19.4,2.4,7.0,,,,,,,,,,,,,,,
2016-08-16T11:00:00+00:00,660,SSE,18.4,93.9,1010,12,18.9,19.4,2.3,7.0,,,,,,,,,,,,,,,
2016-08-16T12:00:00+00:00,720,SSE,18.5,94.5,1010,14,18.9,19.4,2.3,7.0,,,,,,,,,,,,,,,
2016-08-16T13:00:00+00:00,780,SSE,18.7,94.5,1009,14,18.9,19.6,2.3,7.0,"August 16, 2016 13:00:00",3.9,8.4,278.0,0.0,1300,0.7,0.8,undefined,1.0,0.6,311.0,2016081606.0,3.2,343.0
2016-08-16T14:00:00+00:00,840,S,18.8,94.5,1009,16,18.9,19.7,2.3,7.0,,,,,,,,,,,,,,,
2016-08-16T15:00:00+00:00,900,SSE,19.0,94.6,1008,17,18.9,19.9,2.4,8.0,,,,,,,,,,,,,,,
2016-08-16T16:00:00+00:00,960,S,19.0,94.6,1008,18,19.0,19.9,2.6,7.0,,,,,,,,,,,,,,,
2016-08-16T17:00:00+00:00,1020,NW,16.1,92.7,1008,17,18.9,17.3,2.6,7.0,,,,,,,,,,,,,,,
2016-08-16T18:00:00+00:00,1080,NW,16.2,93.3,1009,18,18.8,17.3,2.5,6.0,,,,,,,,,,,,,,,
2016-08-16T19:00:00+00:00,1140,NW,15.0,86.9,1010,17,18.7,17.2,2.7,7.0,"August 16, 2016 19:00:00",12.3,8.4,286.0,0.16,1900,1.16,1.0,undefined,1.5,0.9,306.0,2016081606.0,3.2,332.0
