,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_period1,swell_height1,periodSchedule,swell_height3,swell_period2,surf_min,swell_direction2,swell_height2,modelRun,modelCode,dateStamp,swell_direction3,swell_direction1,surf_max
2016-08-17T20:00:00+00:00,1200,WNW,13.5,76.8,1016,9,18.7,17.6,2.2,7.0,,,,,,,,,,,,,,,
2016-08-17T21:00:00+00:00,1260,WNW,13.1,74.8,1017,8,18.6,17.6,2.0,7.0,,,,,,,,,,,,,,,
2016-08-17T22:00:00+00:00,1320,WNW,12.9,73.8,1017,8,18.6,17.6,2.0,7.0,,,,,,,,,,,,,,,
2016-08-17T23:00:00+00:00,1380,WNW,11.6,68.5,1016,8,18.6,17.4,1.7,6.0,,,,,,,,,,,,,,,
2016-08-18T00:00:00+00:00,0,WSW,11.9,70.4,1016,6,18.5,17.3,1.9,7.0,,,,,,,,,,,,,,,
2016-08-18T01:00:00+00:00,60,W,11.7,69.5,1015,7,18.5,17.3,1.9,7.0,3.2,9.3,4.6,0100,1.0,3.6,1.4,338.0,1.7,2016081718.0,undefined,"August 18, 2016 01:00:00",21.0,300.0,2.4
2016-08-18T02:00:00+00:00,120,W,12.1,71.8,1014,5,18.5,17.2,1.6,6.0,,,,,,,,,,,,,,,
2016-08-18T03:00:00+00:00,180,SSW,12.0,71.3,1014,6,18.5,17.2,1.6,6.0,,,,,,,,,,,,,,,
2016-08-18T04:00:00+00:00,240,S,11.9,71.3,1013,3,18.5,17.1,1.6,7.0,,,,,,,,,,,,,,,
2016-08-18T05:00:00+00:00,300,SSE,11.9,71.3,1012,3,18.6,17.1,1.5,7.0,,,,,,,,,,,,,,,
2016-08-18T06:00:00+00:00,360,SE,12.3,71.9,1011,7,18.4,17.4,1.7,7.0,,,,,,,,,,,,,,,
2016-08-18T07:00:00+00:00,420,ESE,12.9,74.4,1011,11,18.4,17.5,1.7,7.0,3.9,9.3,3.4,0700,1.7,12.3,1.21,313.0,3.3,2016081800.0,undefined,"August 18, 2016 07:00:00",338.0,292.0,2.21
2016-08-18T08:00:00+00:00,480,ESE,14.6,82.0,1010,16,18.4,17.7,1.5,7.0,,,,,,,,,,,,,,,
2016-08-18T09:00:00+00:00,540,SE,15.3,86.3,1009,18,18.5,17.6,1.6,5.0,,,,,,,,,,,,,,,
2016-08-18T10:00:00+00:00,600,ESE,16.0,90.9,1008,21,18.5,17.5,1.9,5.0,,,,,,,,,,,,,,,
2016-08-18T11:00:00+00:00,660,SE,16.5,91.5,1007,22,18.5,17.9,1.9,5.0,,,,,,,,,,,,,,,
2016-08-18T12:00:00+00:00,720,SE,16.6,93.9,1005,24,18.5,17.6,2.1,5.0,,,,,,,,,,,,,,,
2016-08-18T13:00:00+00:00,780,SSE,16.5,93.9,1003,30,18.5,17.5,2.7,5.0,3.9,11.2,4.8,1300,0.9,4.3,1.03,337.0,1.0,2016081806.0,undefined,"August 18, 2016 13:00:00",334.0,304.0,2.02
2016-08-18T14:00:00+00:00,840,SSE,16.4,92.6,1001,30,18.4,17.6,2.9,5.0,,,,,,,,,,,,,,,
2016-08-18T15:00:00+00:00,900,SSE,16.9,94.5,1000,29,18.4,17.8,3.1,6.0,,,,,,,,,,,,,,,
2016-08-18T16:00:00+00:00,960,SSE,17.6,96.3,998,28,18.5,18.2,3.3,6.0,,,,,,,,,,,,,,,
2016-08-18T17:00:00+00:00,1020,S,18.3,96.3,997,24,18.6,18.9,3.6,6.0,,,,,,,,,,,,,,,
2016-08-18T18:00:00+00:00,1080,S,18.5,93.3,996,21,18.6,19.6,3.6,6.0,,,,,,,,,,,,,,,
2016-08-18T19:00:00+00:00,1140,SSW,18.1,91.0,996,21,18.6,19.6,3.9,7.0,2.4,11.2,4.7,1900,0.6,4.3,0.87,333.0,0.7,2016081806.0,undefined,"August 18, 2016 19:00:00",329.0,305.0,1.87
