,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,surf_max,modelCode,swell_height3,swell_direction2,swell_period2,swell_period1,swell_height1,surf_min,dateStamp,swell_height2,modelRun,periodSchedule,swell_period3,swell_direction3
2016-08-18T20:00:00+00:00,1200,SW,16.5,84.4,996,20,18.6,19.2,3.3,6.0,,,,,,,,,,,,,,,
2016-08-18T21:00:00+00:00,1260,SSW,15.5,79.7,997,20,18.6,19.1,3.0,7.0,,,,,,,,,,,,,,,
2016-08-18T22:00:00+00:00,1320,SW,14.6,77.1,997,23,18.6,18.7,2.9,6.0,,,,,,,,,,,,,,,
2016-08-18T23:00:00+00:00,1380,SW,13.8,74.6,997,26,18.5,18.4,3.3,7.0,,,,,,,,,,,,,,,
2016-08-19T00:00:00+00:00,0,SW,13.8,75.6,996,29,18.5,18.2,3.4,6.0,,,,,,,,,,,,,,,
2016-08-19T01:00:00+00:00,60,SW,13.6,74.6,995,31,18.4,18.2,3.8,7.0,306.0,1.71,undefined,0.3,331.0,2.4,11.2,4.3,0.71,"August 19, 2016 01:00:00",0.5,2016081818.0,0100,3.9,19.0
2016-08-19T02:00:00+00:00,120,SW,13.8,77.0,994,32,18.4,17.9,4.6,7.0,,,,,,,,,,,,,,,
2016-08-19T03:00:00+00:00,180,SW,14.1,79.0,993,35,18.4,17.8,5.8,8.0,,,,,,,,,,,,,,,
2016-08-19T04:00:00+00:00,240,SW,13.8,79.0,994,41,18.3,17.5,8.3,10.0,,,,,,,,,,,,,,,
2016-08-19T05:00:00+00:00,300,SW,14.3,80.6,994,37,18.3,17.7,8.0,9.0,,,,,,,,,,,,,,,
2016-08-19T06:00:00+00:00,360,WSW,13.5,77.9,994,34,18.2,17.4,7.2,9.0,,,,,,,,,,,,,,,
2016-08-19T07:00:00+00:00,420,WSW,13.6,78.9,994,34,18.2,17.3,7.4,9.0,305.0,1.85,undefined,0.1,360.0,3.9,10.2,3.8,0.85,"August 19, 2016 07:00:00",0.2,2016081900.0,0700,3.9,15.0
2016-08-19T08:00:00+00:00,480,WSW,13.1,75.9,996,33,18.2,17.4,8.0,10.0,,,,,,,,,,,,,,,
2016-08-19T09:00:00+00:00,540,WSW,14.0,82.0,997,32,18.0,17.1,7.6,9.0,,,,,,,,,,,,,,,
2016-08-19T10:00:00+00:00,600,WSW,13.2,79.9,997,32,18.0,16.7,7.0,9.0,,,,,,,,,,,,,,,
2016-08-19T11:00:00+00:00,660,WSW,13.3,78.3,998,34,17.9,17.1,7.3,9.0,,,,,,,,,,,,,,,
2016-08-19T12:00:00+00:00,720,W,13.3,79.3,998,32,17.9,16.9,7.0,10.0,,,,,,,,,,,,,,,
2016-08-19T13:00:00+00:00,780,W,13.4,78.3,999,32,17.8,17.2,5.8,8.0,303.0,2.23,undefined,0.0,351.0,3.9,10.2,3.4,1.23,"August 19, 2016 13:00:00",0.2,2016081906.0,1300,0.0,0.0
2016-08-19T14:00:00+00:00,840,W,13.2,76.9,1000,31,17.7,17.3,6.8,9.0,,,,,,,,,,,,,,,
2016-08-19T15:00:00+00:00,900,W,12.6,75.3,1001,29,17.7,17.0,7.3,9.0,,,,,,,,,,,,,,,
2016-08-19T16:00:00+00:00,960,W,13.5,81.4,1002,27,17.6,16.7,6.1,9.0,,,,,,,,,,,,,,,
2016-08-19T17:00:00+00:00,1020,W,12.2,73.3,1002,29,17.7,17.0,6.6,9.0,,,,,,,,,,,,,,,
2016-08-19T18:00:00+00:00,1080,W,12.6,76.7,1003,29,17.5,16.7,7.1,9.0,,,,,,,,,,,,,,,
2016-08-19T19:00:00+00:00,1140,W,13.2,79.8,1003,25,17.6,16.7,5.8,9.0,302.0,2.38,undefined,0.0,355.0,3.9,10.2,3.6,1.38,"August 19, 2016 19:00:00",0.2,2016081906.0,1900,0.0,0.0
