,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,dateStamp,periodSchedule,swell_height1,swell_period2,swell_direction1,swell_height2,surf_max,surf_min,swell_period3,modelCode,swell_direction3,swell_period1,swell_direction2,modelRun
2016-08-19T20:00:00+00:00,1200,W,13.1,77.8,1004,27,17.5,17.0,6.4,9.0,,,,,,,,,,,,,,,
2016-08-19T21:00:00+00:00,1260,W,13.1,79.7,1005,28,17.6,16.6,5.6,9.0,,,,,,,,,,,,,,,
2016-08-19T22:00:00+00:00,1320,W,12.7,78.2,1006,27,17.6,16.5,6.0,9.0,,,,,,,,,,,,,,,
2016-08-19T23:00:00+00:00,1380,W,12.4,77.6,1007,26,17.5,16.3,6.0,8.0,,,,,,,,,,,,,,,
2016-08-20T00:00:00+00:00,0,W,12.4,75.7,1007,24,17.6,16.7,6.0,8.0,,,,,,,,,,,,,,,
2016-08-20T01:00:00+00:00,60,W,12.6,78.6,1007,25,17.5,16.3,5.5,8.0,0.0,"August 20, 2016 01:00:00",0100,4.5,0.0,308.0,0.0,2.48,1.48,0.0,undefined,0.0,10.2,0.0,2016081918.0
2016-08-20T02:00:00+00:00,120,W,11.1,69.8,1008,28,17.5,16.6,5.5,8.0,,,,,,,,,,,,,,,
2016-08-20T03:00:00+00:00,180,W,11.0,76.4,1009,29,17.5,15.1,5.5,8.0,,,,,,,,,,,,,,,
2016-08-20T04:00:00+00:00,240,W,12.4,76.6,1008,27,17.4,16.5,5.3,8.0,,,,,,,,,,,,,,,
2016-08-20T05:00:00+00:00,300,W,11.8,74.1,1009,28,17.4,16.4,5.0,8.0,,,,,,,,,,,,,,,
2016-08-20T06:00:00+00:00,360,W,12.1,76.1,1009,27,17.4,16.3,5.2,7.0,,,,,,,,,,,,,,,
2016-08-20T07:00:00+00:00,420,W,10.8,72.0,1011,26,17.4,15.8,4.7,8.0,2.2,"August 20, 2016 07:00:00",0700,5.1,12.3,307.0,4.2,2.52,1.53,3.9,undefined,343.0,10.2,332.0,2016082000.0
2016-08-20T08:00:00+00:00,480,W,11.4,71.2,1011,23,17.3,16.6,4.5,8.0,,,,,,,,,,,,,,,
2016-08-20T09:00:00+00:00,540,W,11.2,71.7,1012,25,17.2,16.3,4.9,8.0,,,,,,,,,,,,,,,
2016-08-20T10:00:00+00:00,600,W,11.7,72.6,1013,23,17.4,16.6,4.6,8.0,,,,,,,,,,,,,,,
2016-08-20T11:00:00+00:00,660,W,10.7,68.3,1014,22,17.1,16.5,4.4,8.0,,,,,,,,,,,,,,,
2016-08-20T12:00:00+00:00,720,W,11.5,71.6,1015,21,17.0,16.6,4.6,8.0,,,,,,,,,,,,,,,
2016-08-20T13:00:00+00:00,780,W,10.9,69.3,1015,20,17.0,16.5,5.0,8.0,2.3,"August 20, 2016 13:00:00",1300,7.6,4.3,321.0,2.6,2.29,1.31,4.3,undefined,29.0,11.2,345.0,2016082006.0
2016-08-20T14:00:00+00:00,840,W,11.7,72.6,1016,21,17.3,16.6,4.8,8.0,,,,,,,,,,,,,,,
2016-08-20T15:00:00+00:00,900,W,12.7,75.1,1016,21,17.2,17.1,4.6,8.0,,,,,,,,,,,,,,,
2016-08-20T16:00:00+00:00,960,W,13.4,79.8,1017,21,17.4,16.9,4.5,7.0,,,,,,,,,,,,,,,
2016-08-20T17:00:00+00:00,1020,W,13.6,78.2,1017,19,17.4,17.4,4.3,7.0,,,,,,,,,,,,,,,
2016-08-20T18:00:00+00:00,1080,W,13.4,78.1,1017,19,17.5,17.2,4.0,7.0,,,,,,,,,,,,,,,
2016-08-20T19:00:00+00:00,1140,W,13.7,79.7,1018,19,17.5,17.2,4.3,8.0,2.2,"August 20, 2016 19:00:00",1900,7.2,5.2,322.0,3.6,2.01,1.01,4.7,undefined,26.0,11.2,338.0,2016082006.0
