,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_period3,surf_max,swell_direction3,swell_period1,surf_min,periodSchedule,modelRun,modelCode,swell_height3,swell_height1,swell_direction2,swell_direction1,swell_period2,dateStamp
2016-08-21T20:00:00+00:00,1200,SSW,17.6,93.3,1017,21,17.8,18.7,2.5,6.0,,,,,,,,,,,,,,,
2016-08-21T21:00:00+00:00,1260,SSW,17.6,93.3,1017,20,17.8,18.7,2.6,6.0,,,,,,,,,,,,,,,
2016-08-21T22:00:00+00:00,1320,SSW,17.6,93.8,1018,20,17.7,18.6,3.0,6.0,,,,,,,,,,,,,,,
2016-08-21T23:00:00+00:00,1380,SSW,17.9,95.7,1018,21,17.7,18.6,3.0,6.0,,,,,,,,,,,,,,,
2016-08-22T00:00:00+00:00,0,SSW,17.7,95.7,1018,20,17.7,18.4,3.1,7.0,,,,,,,,,,,,,,,
2016-08-22T01:00:00+00:00,60,SSW,17.9,95.7,1018,20,17.7,18.6,3.2,6.0,1.9,14.9,0.93,205.0,10.2,0.0,0100,2016082118.0,undefined,0.2,6.3,24.0,334.0,5.2,"August 22, 2016 01:00:00"
2016-08-22T02:00:00+00:00,120,SSW,17.9,96.3,1017,19,17.7,18.5,2.7,6.0,,,,,,,,,,,,,,,
2016-08-22T03:00:00+00:00,180,SSW,17.8,96.3,1017,18,17.7,18.4,2.6,6.0,,,,,,,,,,,,,,,
2016-08-22T04:00:00+00:00,240,SW,17.9,96.9,1017,16,17.7,18.4,2.7,7.0,,,,,,,,,,,,,,,
2016-08-22T05:00:00+00:00,300,WNW,15.9,96.2,1018,14,17.7,16.5,2.5,6.0,,,,,,,,,,,,,,,
2016-08-22T06:00:00+00:00,360,NW,16.1,95.0,1018,10,17.7,16.9,2.2,6.0,,,,,,,,,,,,,,,
2016-08-22T07:00:00+00:00,420,NW,15.6,90.2,1019,9,17.7,17.2,2.4,6.0,1.5,2.4,0.84,307.0,10.2,0.0,0700,2016082200.0,undefined,0.3,5.6,23.0,334.0,5.2,"August 22, 2016 07:00:00"
2016-08-22T08:00:00+00:00,480,NNW,14.8,87.9,1020,10,17.8,16.8,2.2,7.0,,,,,,,,,,,,,,,
2016-08-22T09:00:00+00:00,540,NW,14.5,85.1,1020,6,17.7,17.0,2.2,7.0,,,,,,,,,,,,,,,
2016-08-22T10:00:00+00:00,600,NNW,14.2,83.4,1021,8,17.8,17.0,2.4,7.0,,,,,,,,,,,,,,,
2016-08-22T11:00:00+00:00,660,N,13.8,80.7,1021,5,17.6,17.1,2.5,7.0,,,,,,,,,,,,,,,
2016-08-22T12:00:00+00:00,720,N,13.7,80.8,1021,6,17.9,17.0,2.4,7.0,,,,,,,,,,,,,,,
2016-08-22T13:00:00+00:00,780,N,13.5,79.7,1021,5,17.8,17.0,2.3,7.0,1.1,2.4,0.77,352.0,9.3,0.0,1300,2016082206.0,undefined,0.3,4.9,21.0,334.0,5.2,"August 22, 2016 13:00:00"
2016-08-22T14:00:00+00:00,840,N,13.4,79.2,1021,6,18.0,17.0,2.4,7.0,,,,,,,,,,,,,,,
2016-08-22T15:00:00+00:00,900,N,13.1,76.6,1021,6,17.9,17.2,2.5,7.0,,,,,,,,,,,,,,,
2016-08-22T16:00:00+00:00,960,N,13.1,77.6,1021,6,18.0,17.0,2.2,7.0,,,,,,,,,,,,,,,
2016-08-22T17:00:00+00:00,1020,NNE,13.6,81.2,1021,8,18.0,16.8,2.5,7.0,,,,,,,,,,,,,,,
2016-08-22T18:00:00+00:00,1080,NNW,12.7,82.2,1021,12,17.9,15.7,2.2,7.0,,,,,,,,,,,,,,,
2016-08-22T19:00:00+00:00,1140,N,13.3,91.2,1021,12,18.0,14.7,2.0,7.0,0.9,6.3,0.82,122.0,9.3,0.0,1900,2016082206.0,undefined,0.5,4.2,18.0,333.0,5.2,"August 22, 2016 19:00:00"
