,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_height3,surf_max,swell_direction1,swell_period1,swell_height2,swell_direction3,dateStamp,swell_height1,periodSchedule,swell_direction2,swell_period3,surf_min,swell_period2,modelCode
2016-08-22T20:00:00+00:00,1200,N,13.1,93.7,1021,11,17.9,14.1,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T21:00:00+00:00,1260,N,13.2,93.6,1021,8,17.9,14.2,2.1,7.0,,,,,,,,,,,,,,,
2016-08-22T22:00:00+00:00,1320,NNE,13.5,93.1,1021,8,17.9,14.6,2.1,8.0,,,,,,,,,,,,,,,
2016-08-22T23:00:00+00:00,1380,N,13.4,90.6,1020,7,17.8,14.9,1.9,8.0,,,,,,,,,,,,,,,
2016-08-23T00:00:00+00:00,0,NNW,13.4,91.3,1020,11,17.8,14.8,2.1,8.0,,,,,,,,,,,,,,,
2016-08-23T01:00:00+00:00,60,N,13.3,91.2,1020,8,17.8,14.7,1.9,7.0,2016082218.0,1.1,1.08,334.0,9.3,1.3,122.0,"August 23, 2016 01:00:00",3.3,0100,351.0,6.9,0.08,3.6,undefined
2016-08-23T02:00:00+00:00,120,NNW,13.6,93.0,1020,11,17.8,14.7,2.1,7.0,,,,,,,,,,,,,,,
2016-08-23T03:00:00+00:00,180,N,13.5,90.1,1020,8,17.7,15.1,2.0,7.0,,,,,,,,,,,,,,,
2016-08-23T04:00:00+00:00,240,N,12.9,84.4,1020,11,17.7,15.5,1.9,7.0,,,,,,,,,,,,,,,
2016-08-23T05:00:00+00:00,300,NNW,12.8,81.7,1020,11,17.7,15.9,2.0,7.0,,,,,,,,,,,,,,,
2016-08-23T06:00:00+00:00,360,N,12.2,78.5,1020,10,17.6,15.9,1.8,7.0,,,,,,,,,,,,,,,
2016-08-23T07:00:00+00:00,420,N,11.9,77.4,1020,9,17.7,15.8,2.0,7.0,2016082300.0,1.4,1.35,329.0,9.3,1.5,351.0,"August 23, 2016 07:00:00",2.2,0700,302.0,3.9,0.35,10.2,undefined
2016-08-23T08:00:00+00:00,480,NNW,12.2,79.0,1021,8,17.7,15.8,2.0,7.0,,,,,,,,,,,,,,,
2016-08-23T09:00:00+00:00,540,NNW,12.4,79.0,1021,7,17.7,16.0,2.0,7.0,,,,,,,,,,,,,,,
2016-08-23T10:00:00+00:00,600,NW,12.2,78.0,1021,8,18.1,16.0,2.1,7.0,,,,,,,,,,,,,,,
2016-08-23T11:00:00+00:00,660,NW,12.6,78.0,1022,6,17.9,16.4,1.9,7.0,,,,,,,,,,,,,,,
2016-08-23T12:00:00+00:00,720,NW,12.4,76.5,1022,7,17.7,16.5,1.9,7.0,,,,,,,,,,,,,,,
2016-08-23T13:00:00+00:00,780,NW,12.3,75.5,1022,7,17.8,16.6,1.8,7.0,2016082306.0,1.5,1.55,344.0,4.3,2.3,23.0,"August 23, 2016 13:00:00",2.3,1300,296.0,4.3,0.55,10.2,undefined
2016-08-23T14:00:00+00:00,840,NW,12.2,74.0,1022,8,18.0,16.8,1.8,7.0,,,,,,,,,,,,,,,
2016-08-23T15:00:00+00:00,900,WNW,11.6,70.2,1022,8,17.8,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-23T16:00:00+00:00,960,WNW,11.5,70.6,1022,7,18.2,16.8,1.8,7.0,,,,,,,,,,,,,,,
2016-08-23T17:00:00+00:00,1020,WNW,11.7,70.7,1022,6,17.9,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-23T18:00:00+00:00,1080,WNW,11.5,69.8,1022,6,17.9,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-23T19:00:00+00:00,1140,W,11.5,70.6,1022,7,18.0,16.8,1.9,7.0,2016082306.0,2.1,1.69,341.0,4.7,2.5,24.0,"August 23, 2016 19:00:00",3.3,1900,294.0,4.7,0.69,10.2,undefined
