,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_direction2,swell_height3,dateStamp,swell_period1,surf_min,periodSchedule,surf_max,swell_direction1,swell_direction3,swell_height1,modelRun,swell_period2,modelCode,swell_period3
2016-08-21T20:00:00+00:00,1200,N,13.1,93.7,1021,11,17.9,14.1,2.0,7.0,,,,,,,,,,,,,,,
2016-08-21T21:00:00+00:00,1260,N,13.2,93.6,1021,8,17.9,14.2,2.1,7.0,,,,,,,,,,,,,,,
2016-08-21T22:00:00+00:00,1320,NNE,13.5,93.1,1021,8,17.9,14.6,2.1,8.0,,,,,,,,,,,,,,,
2016-08-21T23:00:00+00:00,1380,N,13.4,90.6,1020,7,17.8,14.9,1.9,8.0,,,,,,,,,,,,,,,
2016-08-22T00:00:00+00:00,0,NNW,13.4,91.3,1020,11,17.8,14.8,2.1,8.0,,,,,,,,,,,,,,,
2016-08-22T01:00:00+00:00,60,N,13.3,91.2,1020,8,17.8,14.7,1.9,7.0,,,,,,,,,,,,,,,
2016-08-22T02:00:00+00:00,120,NNW,13.6,93.0,1020,11,17.8,14.7,2.1,7.0,,,,,,,,,,,,,,,
2016-08-22T03:00:00+00:00,180,N,13.5,90.1,1020,8,17.7,15.1,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T04:00:00+00:00,240,N,12.9,84.4,1020,11,17.7,15.5,1.9,7.0,,,,,,,,,,,,,,,
2016-08-22T05:00:00+00:00,300,NNW,12.8,81.7,1020,11,17.7,15.9,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T06:00:00+00:00,360,N,12.2,78.5,1020,10,17.6,15.9,1.8,7.0,,,,,,,,,,,,,,,
2016-08-22T07:00:00+00:00,420,N,11.9,77.4,1020,9,17.7,15.8,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T08:00:00+00:00,480,NNW,12.2,79.0,1021,8,17.7,15.8,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T09:00:00+00:00,540,NNW,12.4,79.0,1021,7,17.7,16.0,2.0,7.0,,,,,,,,,,,,,,,
2016-08-22T10:00:00+00:00,600,NW,12.2,78.0,1021,8,18.1,16.0,2.1,7.0,,,,,,,,,,,,,,,
2016-08-22T11:00:00+00:00,660,NW,12.6,78.0,1022,6,17.9,16.4,1.9,7.0,,,,,,,,,,,,,,,
2016-08-22T12:00:00+00:00,720,NW,12.4,76.5,1022,7,17.7,16.5,1.9,7.0,,,,,,,,,,,,,,,
2016-08-22T13:00:00+00:00,780,NW,12.3,75.5,1022,7,17.8,16.6,1.8,7.0,,,,,,,,,,,,,,,
2016-08-22T14:00:00+00:00,840,NW,12.2,74.0,1022,8,18.0,16.8,1.8,7.0,,,,,,,,,,,,,,,
2016-08-22T15:00:00+00:00,900,WNW,11.6,70.2,1022,8,17.8,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-22T16:00:00+00:00,960,WNW,11.5,70.6,1022,7,18.2,16.8,1.8,7.0,,,,,,,,,,,,,,,
2016-08-22T17:00:00+00:00,1020,WNW,11.7,70.7,1022,6,17.9,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-22T18:00:00+00:00,1080,WNW,11.5,69.8,1022,6,17.9,17.0,1.7,7.0,,,,,,,,,,,,,,,
2016-08-22T19:00:00+00:00,1140,W,11.5,70.6,1022,7,18.0,16.8,1.9,7.0,,,,,,,,,,,,,,,
2016-08-24T01:00:00+00:00,,,,,,,,,,,2.7,25.0,2.5,"August 24, 2016 01:00:00",4.7,0.74,0100,1.74,342.0,293.0,3.5,2016082318.0,4.7,undefined,9.3
2016-08-24T07:00:00+00:00,,,,,,,,,,,2.8,26.0,2.5,"August 24, 2016 07:00:00",5.2,0.68,0700,1.67,342.0,292.0,3.3,2016082400.0,5.2,undefined,9.3
2016-08-24T13:00:00+00:00,,,,,,,,,,,2.7,24.0,2.4,"August 24, 2016 13:00:00",5.2,0.59,1300,1.58,344.0,292.0,3.5,2016082406.0,5.2,undefined,9.3
2016-08-24T19:00:00+00:00,,,,,,,,,,,3.0,23.0,2.4,"August 24, 2016 19:00:00",5.7,0.51,1900,1.5,341.0,293.0,4.3,2016082406.0,5.7,undefined,9.3
