,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,dateStamp,swell_height3,surf_max,swell_height1,modelCode,periodSchedule,swell_direction1,modelRun,swell_period2,swell_period1,surf_min,swell_direction3,swell_height2,swell_direction2
2016-08-24T20:00:00+00:00,1200,SSW,12.6,73.2,1020,8,17.9,17.4,2.0,7.0,,,,,,,,,,,,,,,
2016-08-24T21:00:00+00:00,1260,S,13.0,75.2,1020,8,17.9,17.4,2.1,7.0,,,,,,,,,,,,,,,
2016-08-24T22:00:00+00:00,1320,S,12.7,74.2,1020,10,17.9,17.3,1.9,7.0,,,,,,,,,,,,,,,
2016-08-24T23:00:00+00:00,1380,S,13.2,76.2,1020,10,17.8,17.4,1.7,8.0,,,,,,,,,,,,,,,
2016-08-25T00:00:00+00:00,0,S,13.3,77.2,1019,11,17.8,17.3,1.8,7.0,,,,,,,,,,,,,,,
2016-08-25T01:00:00+00:00,60,S,13.3,76.7,1019,11,17.7,17.4,1.8,7.0,9.3,"August 25, 2016 01:00:00",2.2,1.32,4.0,undefined,0100,341.0,2016082418.0,5.2,5.7,0.38,293.0,2.6,23.0
2016-08-25T02:00:00+00:00,120,S,13.4,78.1,1018,12,17.7,17.2,1.7,7.0,,,,,,,,,,,,,,,
2016-08-25T03:00:00+00:00,180,S,13.5,78.7,1018,12,17.6,17.2,1.7,6.0,,,,,,,,,,,,,,,
2016-08-25T04:00:00+00:00,240,SSW,14.0,80.9,1018,13,17.6,17.3,1.9,7.0,,,,,,,,,,,,,,,
2016-08-25T05:00:00+00:00,300,SSW,14.2,81.9,1017,13,17.6,17.3,1.9,6.0,,,,,,,,,,,,,,,
2016-08-25T06:00:00+00:00,360,SSW,14.2,82.4,1017,13,17.6,17.2,1.7,6.0,,,,,,,,,,,,,,,
2016-08-25T07:00:00+00:00,420,SSW,14.8,83.0,1017,14,17.7,17.7,1.7,6.0,9.3,"August 25, 2016 07:00:00",1.9,1.24,4.5,undefined,0700,338.0,2016082500.0,5.7,5.7,0.29,291.0,2.8,24.0
2016-08-25T08:00:00+00:00,480,SW,14.7,87.4,1017,10,17.8,16.8,1.8,5.0,,,,,,,,,,,,,,,
2016-08-25T09:00:00+00:00,540,WSW,14.6,86.2,1017,11,17.7,16.9,1.8,6.0,,,,,,,,,,,,,,,
2016-08-25T10:00:00+00:00,600,W,13.6,83.4,1017,8,17.8,16.4,1.8,6.0,,,,,,,,,,,,,,,
2016-08-25T11:00:00+00:00,660,WSW,13.4,78.7,1017,8,18.0,17.1,1.7,6.0,,,,,,,,,,,,,,,
2016-08-25T12:00:00+00:00,720,W,12.3,73.7,1017,7,18.1,17.0,1.6,6.0,,,,,,,,,,,,,,,
2016-08-25T13:00:00+00:00,780,WSW,11.8,70.4,1017,7,17.9,17.2,1.5,6.0,11.2,"August 25, 2016 13:00:00",1.8,1.14,4.7,undefined,1300,330.0,2016082506.0,5.7,6.9,0.22,326.0,2.5,26.0
2016-08-25T14:00:00+00:00,840,WSW,12.3,71.8,1017,8,17.9,17.4,1.5,7.0,,,,,,,,,,,,,,,
2016-08-25T15:00:00+00:00,900,WSW,12.2,71.3,1017,9,17.9,17.4,1.5,6.0,,,,,,,,,,,,,,,
2016-08-25T16:00:00+00:00,960,SW,12.6,72.3,1016,10,17.9,17.6,1.5,7.0,,,,,,,,,,,,,,,
2016-08-25T17:00:00+00:00,1020,WSW,12.7,72.8,1016,11,18.1,17.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-25T18:00:00+00:00,1080,WSW,12.8,73.3,1017,11,18.3,17.6,1.4,6.0,,,,,,,,,,,,,,,
2016-08-25T19:00:00+00:00,1140,WSW,12.6,71.4,1017,11,18.0,17.8,1.4,6.0,5.7,"August 25, 2016 19:00:00",2.5,1.03,5.0,undefined,1900,332.0,2016082506.0,11.2,6.3,0.1,23.0,2.5,326.0
