,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_direction2,swell_height1,modelCode,swell_period3,swell_height2,swell_direction3,swell_period1,surf_max,swell_period2,swell_height3,periodSchedule,swell_direction1,dateStamp,modelRun
2016-08-25T20:00:00+00:00,1200,WSW,12.4,71.4,1017,13,17.9,17.6,1.5,5.0,,,,,,,,,,,,,,,
2016-08-25T21:00:00+00:00,1260,SW,13.2,75.2,1017,9,17.8,17.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-25T22:00:00+00:00,1320,WSW,13.2,75.2,1017,13,17.8,17.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-25T23:00:00+00:00,1380,SW,13.1,74.8,1017,13,17.8,17.6,1.5,5.0,,,,,,,,,,,,,,,
2016-08-26T00:00:00+00:00,0,SW,12.9,74.3,1017,13,17.9,17.5,1.5,5.0,,,,,,,,,,,,,,,
2016-08-26T01:00:00+00:00,60,SW,13.3,75.7,1017,13,17.9,17.6,1.6,5.0,0.0,325.0,5.1,undefined,5.7,3.0,25.0,6.3,0.87,11.2,3.0,0100,335.0,"August 26, 2016 01:00:00",2016082518.0
2016-08-26T02:00:00+00:00,120,SSW,14.2,79.9,1017,15,17.9,17.7,1.5,6.0,,,,,,,,,,,,,,,
2016-08-26T03:00:00+00:00,180,SSW,14.4,80.4,1017,15,17.9,17.8,1.5,5.0,,,,,,,,,,,,,,,
2016-08-26T04:00:00+00:00,240,SSW,14.7,82.5,1016,17,17.9,17.7,1.7,5.0,,,,,,,,,,,,,,,
2016-08-26T05:00:00+00:00,300,SW,14.8,83.0,1016,12,17.9,17.7,1.8,5.0,,,,,,,,,,,,,,,
2016-08-26T06:00:00+00:00,360,WSW,14.6,82.5,1017,12,17.9,17.6,1.6,5.0,,,,,,,,,,,,,,,
2016-08-26T07:00:00+00:00,420,WSW,13.7,77.8,1017,10,17.9,17.6,1.6,5.0,0.0,326.0,4.9,undefined,5.7,3.1,26.0,6.9,0.75,10.2,2.8,0700,333.0,"August 26, 2016 07:00:00",2016082600.0
2016-08-26T08:00:00+00:00,480,WSW,13.1,74.8,1017,8,17.9,17.6,1.6,6.0,,,,,,,,,,,,,,,
2016-08-26T09:00:00+00:00,540,SW,12.9,73.7,1017,7,18.2,17.6,1.5,6.0,,,,,,,,,,,,,,,
2016-08-26T10:00:00+00:00,600,S,14.0,79.3,1018,6,17.6,17.6,1.4,5.0,,,,,,,,,,,,,,,
2016-08-26T11:00:00+00:00,660,S,14.3,79.3,1018,8,17.9,17.9,1.5,6.0,,,,,,,,,,,,,,,
2016-08-26T12:00:00+00:00,720,S,14.9,81.9,1017,8,17.9,18.0,1.3,6.0,,,,,,,,,,,,,,,
2016-08-26T13:00:00+00:00,780,S,15.3,84.1,1017,9,18.1,18.0,1.3,6.0,0.0,326.0,4.8,undefined,6.3,3.0,24.0,6.9,0.64,10.2,2.2,1300,332.0,"August 26, 2016 13:00:00",2016082606.0
2016-08-26T14:00:00+00:00,840,S,15.5,85.2,1017,10,18.3,18.0,1.3,6.0,,,,,,,,,,,,,,,
2016-08-26T15:00:00+00:00,900,S,15.5,83.6,1017,11,18.2,18.3,1.3,5.0,,,,,,,,,,,,,,,
2016-08-26T16:00:00+00:00,960,S,15.8,85.3,1016,13,18.3,18.3,1.2,5.0,,,,,,,,,,,,,,,
2016-08-26T17:00:00+00:00,1020,SSE,16.4,88.0,1016,13,18.1,18.4,1.2,5.0,,,,,,,,,,,,,,,
2016-08-26T18:00:00+00:00,1080,SSE,16.5,89.2,1016,15,18.2,18.3,1.2,4.0,,,,,,,,,,,,,,,
2016-08-26T19:00:00+00:00,1140,SSE,16.4,88.0,1015,14,18.2,18.4,1.3,4.0,0.0,319.0,3.9,undefined,6.3,3.5,21.0,6.9,0.58,9.3,1.7,1900,341.0,"August 26, 2016 19:00:00",2016082606.0
