,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,swell_direction1,surf_min,modelRun,swell_direction3,surf_max,periodSchedule,swell_period2,swell_height2,swell_height3,dateStamp,modelCode,swell_period3,swell_direction2,swell_height1
2016-08-27T20:00:00+00:00,1200,W,15.7,89.2,1009,23,17.8,17.5,3.6,7.0,,,,,,,,,,,,,,,
2016-08-27T21:00:00+00:00,1260,W,15.2,86.9,1010,24,17.7,17.4,3.7,6.0,,,,,,,,,,,,,,,
2016-08-27T22:00:00+00:00,1320,W,15.8,90.9,1011,24,17.7,17.3,3.6,6.0,,,,,,,,,,,,,,,
2016-08-27T23:00:00+00:00,1380,W,15.9,90.8,1012,22,17.7,17.4,3.6,7.0,,,,,,,,,,,,,,,
2016-08-28T00:00:00+00:00,0,WNW,15.4,88.6,1012,21,17.8,17.3,3.1,7.0,,,,,,,,,,,,,,,
2016-08-28T01:00:00+00:00,60,WNW,15.4,89.1,1013,22,17.7,17.2,3.1,6.0,4.7,341.0,0.0,2016082718.0,22.0,0.65,0100,8.4,2.1,1.8,"August 28, 2016 01:00:00",undefined,4.7,326.0,3.0
2016-08-28T02:00:00+00:00,120,NW,14.6,86.2,1013,20,17.8,16.9,3.3,6.0,,,,,,,,,,,,,,,
2016-08-28T03:00:00+00:00,180,NW,14.6,87.3,1014,19,17.7,16.7,3.0,6.0,,,,,,,,,,,,,,,
2016-08-28T04:00:00+00:00,240,WNW,14.6,86.2,1015,18,17.7,16.9,2.7,6.0,,,,,,,,,,,,,,,
2016-08-28T05:00:00+00:00,300,WNW,14.4,84.0,1016,17,17.7,17.1,2.7,6.0,,,,,,,,,,,,,,,
2016-08-28T06:00:00+00:00,360,NW,14.5,84.1,1016,17,17.8,17.2,2.6,6.0,,,,,,,,,,,,,,,
2016-08-28T07:00:00+00:00,420,NW,14.4,84.0,1018,16,17.7,17.1,2.5,6.0,4.7,342.0,0.06,2016082800.0,330.0,1.06,0700,4.7,2.1,1.6,"August 28, 2016 07:00:00",undefined,8.4,24.0,2.9
2016-08-28T08:00:00+00:00,480,NW,14.0,82.4,1018,15,17.8,17.0,2.4,6.0,,,,,,,,,,,,,,,
2016-08-28T09:00:00+00:00,540,NW,13.7,80.8,1019,14,17.7,17.0,2.3,6.0,,,,,,,,,,,,,,,
2016-08-28T10:00:00+00:00,600,NW,13.4,78.1,1020,13,17.7,17.2,2.1,6.0,,,,,,,,,,,,,,,
2016-08-28T11:00:00+00:00,660,WNW,13.2,76.7,1020,12,17.7,17.3,2.0,6.0,,,,,,,,,,,,,,,
2016-08-28T12:00:00+00:00,720,WNW,13.9,80.3,1020,10,17.7,17.3,1.9,6.0,,,,,,,,,,,,,,,
2016-08-28T13:00:00+00:00,780,WNW,14.3,82.9,1021,10,17.7,17.2,2.1,6.0,4.7,343.0,0.34,2016082806.0,294.0,1.32,1300,4.7,2.0,1.6,"August 28, 2016 13:00:00",undefined,8.4,24.0,2.5
2016-08-28T14:00:00+00:00,840,WNW,14.5,81.9,1021,9,17.9,17.6,1.6,6.0,,,,,,,,,,,,,,,
2016-08-28T15:00:00+00:00,900,WNW,14.6,84.6,1022,13,18.0,17.2,1.8,6.0,,,,,,,,,,,,,,,
2016-08-28T16:00:00+00:00,960,WNW,14.7,83.0,1022,13,18.0,17.6,1.7,5.0,,,,,,,,,,,,,,,
2016-08-28T17:00:00+00:00,1020,W,14.2,80.3,1023,13,18.0,17.6,1.7,5.0,,,,,,,,,,,,,,,
2016-08-28T18:00:00+00:00,1080,W,13.4,77.7,1023,12,18.0,17.3,1.6,5.0,,,,,,,,,,,,,,,
2016-08-28T19:00:00+00:00,1140,WSW,14.4,82.4,1023,12,18.0,17.4,1.5,5.0,4.7,343.0,0.32,2016082806.0,324.0,1.28,1900,4.7,2.4,2.1,"August 28, 2016 19:00:00",undefined,10.2,25.0,3.1
