,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period2,swell_direction3,modelRun,swell_direction1,surf_max,swell_height2,swell_direction2,surf_min,swell_height1,swell_height3,periodSchedule,swell_period3,modelCode,dateStamp,swell_period1
2016-08-28T20:00:00+00:00,1200,WSW,15.4,89.6,1023,11,18.0,17.1,1.5,5.0,,,,,,,,,,,,,,,
2016-08-28T21:00:00+00:00,1260,SW,16.1,90.9,1024,12,18.1,17.6,1.5,5.0,,,,,,,,,,,,,,,
2016-08-28T22:00:00+00:00,1320,WSW,16.4,90.8,1024,12,18.0,17.9,1.4,5.0,,,,,,,,,,,,,,,
2016-08-28T23:00:00+00:00,1380,WSW,16.9,92.0,1024,12,18.0,18.2,1.3,5.0,,,,,,,,,,,,,,,
2016-08-29T00:00:00+00:00,0,WSW,16.6,92.0,1024,13,18.1,17.9,1.2,5.0,,,,,,,,,,,,,,,
2016-08-29T01:00:00+00:00,60,WSW,16.7,92.1,1024,13,18.0,18.0,1.3,5.0,9.3,30.0,2016082818.0,343.0,1.01,3.7,317.0,0.03,3.8,3.6,0100,5.2,undefined,"August 29, 2016 01:00:00",5.2
2016-08-29T02:00:00+00:00,120,W,16.6,91.4,1024,11,18.0,18.0,1.3,5.0,,,,,,,,,,,,,,,
2016-08-29T03:00:00+00:00,180,W,16.6,91.4,1024,11,18.0,18.0,1.3,5.0,,,,,,,,,,,,,,,
2016-08-29T04:00:00+00:00,240,W,16.4,90.8,1024,13,18.0,17.9,1.3,5.0,,,,,,,,,,,,,,,
2016-08-29T05:00:00+00:00,300,W,16.0,90.3,1024,11,18.0,17.6,1.3,5.0,,,,,,,,,,,,,,,
2016-08-29T06:00:00+00:00,360,W,16.2,90.2,1024,11,18.1,17.8,1.2,5.0,,,,,,,,,,,,,,,
2016-08-29T07:00:00+00:00,420,W,15.9,89.1,1025,10,18.0,17.7,1.3,5.0,5.7,328.0,2016082900.0,337.0,0.79,3.5,28.0,0.0,4.5,3.4,0700,9.3,undefined,"August 29, 2016 07:00:00",5.7
2016-08-29T08:00:00+00:00,480,WNW,15.8,87.4,1025,9,18.0,17.9,1.2,5.0,,,,,,,,,,,,,,,
2016-08-29T09:00:00+00:00,540,WSW,15.5,85.2,1025,7,18.0,18.0,1.2,4.0,,,,,,,,,,,,,,,
2016-08-29T10:00:00+00:00,600,WSW,15.5,84.6,1026,7,18.1,18.1,1.2,5.0,,,,,,,,,,,,,,,
2016-08-29T11:00:00+00:00,660,WSW,14.2,76.3,1026,7,18.1,18.4,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T12:00:00+00:00,720,WSW,15.2,83.0,1026,8,18.2,18.1,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T13:00:00+00:00,780,WSW,15.7,84.1,1026,9,18.1,18.4,1.0,5.0,5.7,210.0,2016082906.0,334.0,0.77,2.8,26.0,0.0,5.5,0.1,1300,12.3,undefined,"August 29, 2016 13:00:00",9.3
2016-08-29T14:00:00+00:00,840,SW,15.9,85.7,1026,8,18.0,18.3,1.0,5.0,,,,,,,,,,,,,,,
2016-08-29T15:00:00+00:00,900,SW,15.7,85.7,1025,8,18.4,18.1,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T16:00:00+00:00,960,SSW,16.1,88.0,1025,9,18.3,18.1,1.0,5.0,,,,,,,,,,,,,,,
2016-08-29T17:00:00+00:00,1020,SSW,15.8,85.2,1025,7,18.3,18.3,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T18:00:00+00:00,1080,SSW,16.3,89.1,1025,11,18.3,18.1,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T19:00:00+00:00,1140,SW,16.4,88.5,1025,10,18.3,18.3,1.2,5.0,8.4,23.0,2016082906.0,341.0,0.81,3.5,325.0,0.0,4.3,2.5,1900,5.7,undefined,"August 29, 2016 19:00:00",6.3
