,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_height3,surf_max,swell_period2,modelRun,dateStamp,swell_period1,swell_height1,swell_period3,periodSchedule,swell_direction1,swell_direction3,swell_height2,swell_direction2,modelCode
2016-08-29T20:00:00+00:00,1200,SSW,16.6,90.9,1025,10,18.3,18.1,1.2,5.0,,,,,,,,,,,,,,,
2016-08-29T21:00:00+00:00,1260,SSW,16.8,92.0,1025,10,18.3,18.1,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T22:00:00+00:00,1320,S,16.5,90.8,1024,10,18.3,18.0,1.1,5.0,,,,,,,,,,,,,,,
2016-08-29T23:00:00+00:00,1380,S,16.2,89.7,1024,10,18.2,17.9,1.0,5.0,,,,,,,,,,,,,,,
2016-08-30T00:00:00+00:00,0,S,16.3,90.8,1023,12,18.1,17.8,1.0,5.0,,,,,,,,,,,,,,,
2016-08-30T01:00:00+00:00,60,S,16.6,91.4,1023,13,18.1,18.0,1.0,5.0,0.0,2.3,0.78,8.4,2016082918.0,"August 30, 2016 01:00:00",6.3,4.5,6.3,0100,340.0,22.0,3.3,322.0,undefined
2016-08-30T02:00:00+00:00,120,S,16.6,91.4,1022,13,18.1,18.0,1.0,4.0,,,,,,,,,,,,,,,
2016-08-30T03:00:00+00:00,180,S,16.6,92.0,1022,14,18.1,17.9,1.1,4.0,,,,,,,,,,,,,,,
2016-08-30T04:00:00+00:00,240,SSW,16.8,91.5,1021,13,18.0,18.2,1.1,4.0,,,,,,,,,,,,,,,
2016-08-30T05:00:00+00:00,300,S,16.7,90.9,1021,13,18.0,18.2,1.1,4.0,,,,,,,,,,,,,,,
2016-08-30T06:00:00+00:00,360,S,16.7,89.7,1021,14,18.0,18.4,1.2,4.0,,,,,,,,,,,,,,,
2016-08-30T07:00:00+00:00,420,S,16.5,89.7,1020,15,18.0,18.2,1.3,5.0,0.0,2.0,0.75,7.6,2016083000.0,"August 30, 2016 07:00:00",6.3,4.2,6.3,0700,337.0,21.0,3.0,325.0,undefined
2016-08-30T08:00:00+00:00,480,S,16.3,88.0,1020,16,18.0,18.3,1.4,5.0,,,,,,,,,,,,,,,
2016-08-30T09:00:00+00:00,540,S,16.3,87.5,1021,16,18.0,18.4,1.4,5.0,,,,,,,,,,,,,,,
2016-08-30T10:00:00+00:00,600,S,16.4,88.6,1020,16,17.9,18.3,1.6,5.0,,,,,,,,,,,,,,,
2016-08-30T11:00:00+00:00,660,S,16.3,87.5,1020,17,18.0,18.4,1.7,5.0,,,,,,,,,,,,,,,
2016-08-30T12:00:00+00:00,720,S,16.3,86.9,1020,18,17.9,18.5,1.8,5.0,,,,,,,,,,,,,,,
2016-08-30T13:00:00+00:00,780,S,16.6,88.0,1019,19,18.1,18.6,1.9,5.0,0.0,0.0,0.64,6.3,2016083006.0,"August 30, 2016 13:00:00",6.3,5.0,0.0,1300,332.0,0.0,1.8,20.0,undefined
2016-08-30T14:00:00+00:00,840,SSW,16.7,88.1,1019,17,18.1,18.7,2.1,5.0,,,,,,,,,,,,,,,
2016-08-30T15:00:00+00:00,900,SSW,16.8,92.6,1018,18,18.1,18.0,2.4,6.0,,,,,,,,,,,,,,,
2016-08-30T16:00:00+00:00,960,SSW,17.5,91.5,1018,16,18.1,18.9,2.4,6.0,,,,,,,,,,,,,,,
2016-08-30T17:00:00+00:00,1020,SSW,17.2,91.5,1018,16,18.1,18.6,2.6,7.0,,,,,,,,,,,,,,,
2016-08-30T18:00:00+00:00,1080,WNW,15.3,92.0,1019,14,18.1,16.6,2.7,7.0,,,,,,,,,,,,,,,
2016-08-30T19:00:00+00:00,1140,W,15.4,92.5,1019,11,18.1,16.6,2.7,6.0,0.0,0.1,0.66,6.3,2016083006.0,"August 30, 2016 19:00:00",6.3,5.4,11.2,1900,333.0,306.0,1.8,19.0,undefined
