,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,surf_max,swell_direction2,swell_direction3,periodSchedule,swell_period3,swell_height3,swell_height2,surf_min,swell_direction1,swell_period2,swell_period1,dateStamp,modelCode,swell_height1
2016-08-30T20:00:00+00:00,1200,WNW,13.4,88.9,1020,12,18.0,15.2,2.7,7.0,,,,,,,,,,,,,,,
2016-08-30T21:00:00+00:00,1260,WSW,13.9,90.7,1020,5,18.0,15.4,2.6,7.0,,,,,,,,,,,,,,,
2016-08-30T22:00:00+00:00,1320,WSW,14.2,89.0,910,8,18.0,16.1,2.4,7.0,,,,,,,,,,,,,,,
2016-08-30T23:00:00+00:00,1380,WSW,14.3,86.1,1021,10,18.0,16.6,2.1,7.0,,,,,,,,,,,,,,,
2016-08-31T00:00:00+00:00,0,W,14.5,81.9,1021,13,18.0,17.6,2.0,6.0,,,,,,,,,,,,,,,
2016-08-31T01:00:00+00:00,60,WNW,14.1,79.8,1021,13,18.0,17.6,2.0,6.0,2016083018.0,0.72,20.0,306.0,0100,10.2,0.4,2.6,0.0,335.0,5.7,6.3,"August 31, 2016 01:00:00",undefined,6.2
2016-08-31T02:00:00+00:00,120,WNW,12.9,74.2,1021,14,18.1,17.5,2.1,6.0,,,,,,,,,,,,,,,
2016-08-31T03:00:00+00:00,180,WNW,13.4,77.2,1021,13,18.0,17.4,2.0,7.0,,,,,,,,,,,,,,,
2016-08-31T04:00:00+00:00,240,WNW,13.3,76.7,1021,13,18.0,17.4,2.0,7.0,,,,,,,,,,,,,,,
2016-08-31T05:00:00+00:00,300,WNW,13.2,77.1,1021,13,18.0,17.2,2.0,7.0,,,,,,,,,,,,,,,
2016-08-31T06:00:00+00:00,360,WNW,13.2,78.2,1022,13,18.0,17.0,2.3,7.0,,,,,,,,,,,,,,,
2016-08-31T07:00:00+00:00,420,WNW,13.3,78.1,1022,12,18.0,17.1,2.3,7.0,2016083100.0,0.78,21.0,0.0,0700,0.0,0.0,3.0,0.0,334.0,6.3,6.3,"August 31, 2016 07:00:00",undefined,6.5
2016-08-31T08:00:00+00:00,480,WNW,12.9,76.1,1023,12,18.1,17.1,2.9,8.0,,,,,,,,,,,,,,,
2016-08-31T09:00:00+00:00,540,WNW,13.2,77.6,1024,9,18.0,17.1,3.9,9.0,,,,,,,,,,,,,,,
2016-08-31T10:00:00+00:00,600,WNW,12.4,73.1,1024,9,18.1,17.2,4.0,10.0,,,,,,,,,,,,,,,
2016-08-31T11:00:00+00:00,660,WNW,12.7,74.1,1025,7,18.1,17.3,3.5,9.0,,,,,,,,,,,,,,,
2016-08-31T12:00:00+00:00,720,WNW,12.4,73.1,1025,8,18.1,17.2,3.6,9.0,,,,,,,,,,,,,,,
2016-08-31T13:00:00+00:00,780,WNW,12.7,74.6,1025,7,18.3,17.2,3.0,9.0,2016083106.0,0.87,22.0,0.0,1300,0.0,0.0,3.2,0.0,334.0,6.3,6.9,"August 31, 2016 13:00:00",undefined,6.3
2016-08-31T14:00:00+00:00,840,WNW,12.1,70.7,1025,5,18.1,17.4,3.1,9.0,,,,,,,,,,,,,,,
2016-08-31T15:00:00+00:00,900,W,12.5,73.1,1024,6,18.5,17.3,3.0,9.0,,,,,,,,,,,,,,,
2016-08-31T16:00:00+00:00,960,W,12.7,74.1,1024,5,18.2,17.3,3.1,9.0,,,,,,,,,,,,,,,
2016-08-31T17:00:00+00:00,1020,W,12.6,71.8,1024,6,18.4,17.7,3.5,10.0,,,,,,,,,,,,,,,
2016-08-31T18:00:00+00:00,1080,W,12.6,72.2,1025,4,18.4,17.6,3.5,9.0,,,,,,,,,,,,,,,
2016-08-31T19:00:00+00:00,1140,WSW,12.4,71.8,1025,5,18.2,17.5,3.6,9.0,2016083106.0,1.14,21.0,304.0,1900,11.2,1.1,3.3,0.15,335.0,6.3,6.9,"August 31, 2016 19:00:00",undefined,6.3
