,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_period3,swell_direction3,modelCode,dateStamp,swell_direction2,swell_height1,modelRun,swell_height3,swell_period2,swell_direction1,surf_max,swell_height2,swell_period1,periodSchedule
2016-08-31T20:00:00+00:00,1200,SSW,12.7,74.1,1025,6,18.4,17.3,3.6,9.0,,,,,,,,,,,,,,,
2016-08-31T21:00:00+00:00,1260,S,13.1,75.6,1025,8,18.4,17.4,3.4,8.0,,,,,,,,,,,,,,,
2016-08-31T22:00:00+00:00,1320,SSW,13.2,77.1,1025,10,18.4,17.2,3.5,8.0,,,,,,,,,,,,,,,
2016-08-31T23:00:00+00:00,1380,SSW,13.8,79.2,1025,11,18.3,17.4,3.6,9.0,,,,,,,,,,,,,,,
2016-09-01T00:00:00+00:00,0,SSW,13.1,76.6,1025,12,18.3,17.2,3.5,9.0,,,,,,,,,,,,,,,
2016-09-01T01:00:00+00:00,60,SSW,13.2,77.5,1024,12,18.3,17.1,3.0,8.0,0.56,10.2,302.0,undefined,"September 01, 2016 01:00:00",22.0,6.0,2016083118.0,2.4,6.3,339.0,1.56,3.5,6.9,0100
2016-09-01T02:00:00+00:00,120,SSW,13.3,77.6,1024,14,18.2,17.2,2.7,8.0,,,,,,,,,,,,,,,
2016-09-01T03:00:00+00:00,180,SSW,13.5,78.2,1023,16,18.2,17.3,2.9,8.0,,,,,,,,,,,,,,,
2016-09-01T04:00:00+00:00,240,SSW,13.6,78.7,1023,16,18.0,17.3,2.5,7.0,,,,,,,,,,,,,,,
2016-09-01T05:00:00+00:00,300,SSW,13.9,79.7,1022,16,18.0,17.4,2.5,7.0,,,,,,,,,,,,,,,
2016-09-01T06:00:00+00:00,360,SSW,13.2,74.7,1023,18,18.0,17.7,2.5,7.0,,,,,,,,,,,,,,,
2016-09-01T07:00:00+00:00,420,SSW,13.9,77.7,1023,16,18.1,17.8,2.5,7.0,1.25,10.2,301.0,undefined,"September 01, 2016 07:00:00",22.0,5.2,2016090100.0,2.6,6.3,338.0,2.21,3.1,6.3,0700
2016-09-01T08:00:00+00:00,480,SSW,14.1,78.7,1023,17,18.0,17.8,2.5,7.0,,,,,,,,,,,,,,,
2016-09-01T09:00:00+00:00,540,SSW,14.0,78.2,1023,19,18.1,17.8,2.3,6.0,,,,,,,,,,,,,,,
2016-09-01T10:00:00+00:00,600,SSW,14.7,80.4,1022,18,18.0,18.1,2.2,6.0,,,,,,,,,,,,,,,
2016-09-01T11:00:00+00:00,660,SSW,15.0,81.9,1022,18,18.1,18.1,2.2,6.0,,,,,,,,,,,,,,,
2016-09-01T12:00:00+00:00,720,SSW,15.4,84.1,1022,19,18.1,18.1,2.3,6.0,,,,,,,,,,,,,,,
2016-09-01T13:00:00+00:00,780,SSW,15.9,86.3,1021,18,18.1,18.2,2.5,6.0,1.24,6.3,22.0,undefined,"September 01, 2016 13:00:00",339.0,5.0,2016090106.0,2.5,6.3,316.0,2.16,4.3,13.5,1300
2016-09-01T14:00:00+00:00,840,SSW,16.1,87.4,1021,21,18.1,18.2,2.4,6.0,,,,,,,,,,,,,,,
2016-09-01T15:00:00+00:00,900,SSW,16.7,93.8,1020,19,18.1,17.7,2.6,6.0,,,,,,,,,,,,,,,
2016-09-01T16:00:00+00:00,960,SSW,17.0,95.6,1020,20,18.0,17.7,2.6,6.0,,,,,,,,,,,,,,,
2016-09-01T17:00:00+00:00,1020,SSW,17.3,95.6,1020,18,18.0,18.0,2.6,6.0,,,,,,,,,,,,,,,
2016-09-01T18:00:00+00:00,1080,SW,17.2,96.2,1020,17,18.0,17.8,2.6,6.0,,,,,,,,,,,,,,,
2016-09-01T19:00:00+00:00,1140,SW,17.5,96.9,1020,15,18.0,18.0,2.5,6.0,0.89,6.3,20.0,undefined,"September 01, 2016 19:00:00",342.0,6.3,2016090106.0,2.0,6.3,313.0,1.89,3.9,12.3,1900
