,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,surf_min,modelCode,swell_period1,swell_direction2,periodSchedule,swell_height3,swell_height1,surf_max,modelRun,swell_direction1,swell_height2,swell_period3,dateStamp,swell_period2
2016-09-01T20:00:00+00:00,1200,SW,17.5,96.9,1020,13,18.0,18.0,2.4,6.0,,,,,,,,,,,,,,,
2016-09-01T21:00:00+00:00,1260,WSW,17.5,97.5,1021,13,18.0,17.9,2.0,6.0,,,,,,,,,,,,,,,
2016-09-01T22:00:00+00:00,1320,WNW,17.7,97.5,1021,7,18.0,18.1,2.1,6.0,,,,,,,,,,,,,,,
2016-09-01T23:00:00+00:00,1380,W,17.2,95.6,1021,10,18.0,17.9,2.0,6.0,,,,,,,,,,,,,,,
2016-09-02T00:00:00+00:00,0,W,16.7,93.2,1021,9,17.9,17.8,1.8,6.0,,,,,,,,,,,,,,,
2016-09-02T01:00:00+00:00,60,W,16.2,91.5,1020,11,18.0,17.6,1.7,6.0,20.0,0.42,undefined,12.3,343.0,0100,2.1,5.6,1.42,2016090118.0,312.0,3.8,6.3,"September 02, 2016 01:00:00",6.3
2016-09-02T02:00:00+00:00,120,W,16.0,89.7,1020,10,18.0,17.7,1.5,6.0,,,,,,,,,,,,,,,
2016-09-02T03:00:00+00:00,180,W,15.8,88.5,1020,11,18.0,17.7,1.5,6.0,,,,,,,,,,,,,,,
2016-09-02T04:00:00+00:00,240,WSW,15.6,87.4,1020,10,18.0,17.7,1.6,6.0,,,,,,,,,,,,,,,
2016-09-02T05:00:00+00:00,300,WSW,15.6,86.9,1020,11,18.0,17.8,1.6,6.0,,,,,,,,,,,,,,,
2016-09-02T06:00:00+00:00,360,SW,15.5,86.9,1020,12,18.0,17.7,1.6,6.0,,,,,,,,,,,,,,,
2016-09-02T07:00:00+00:00,420,WSW,15.7,86.8,1020,13,18.0,17.9,1.6,6.0,22.0,0.23,undefined,11.2,343.0,0700,2.2,4.8,1.23,2016090200.0,311.0,3.4,5.7,"September 02, 2016 07:00:00",5.7
2016-09-02T08:00:00+00:00,480,WSW,16.0,88.0,1020,14,17.9,18.0,1.6,5.0,,,,,,,,,,,,,,,
2016-09-02T09:00:00+00:00,540,WSW,15.4,84.6,1020,14,17.9,18.0,1.7,5.0,,,,,,,,,,,,,,,
2016-09-02T10:00:00+00:00,600,WSW,14.4,79.3,1020,13,17.9,18.0,1.7,5.0,,,,,,,,,,,,,,,
2016-09-02T11:00:00+00:00,660,WSW,15.4,84.6,1020,11,17.9,18.0,1.8,5.0,,,,,,,,,,,,,,,
2016-09-02T12:00:00+00:00,720,SW,15.8,86.3,1020,13,18.0,18.1,1.7,5.0,,,,,,,,,,,,,,,
2016-09-02T13:00:00+00:00,780,SW,16.3,89.7,1020,13,18.1,18.0,1.7,6.0,22.0,0.15,undefined,11.2,342.0,1300,1.8,4.1,1.13,2016090206.0,311.0,3.0,5.7,"September 02, 2016 13:00:00",5.7
2016-09-02T14:00:00+00:00,840,WSW,14.9,81.4,1020,11,18.0,18.1,1.6,6.0,,,,,,,,,,,,,,,
2016-09-02T15:00:00+00:00,900,SSW,15.3,85.2,1019,9,17.9,17.8,1.7,7.0,,,,,,,,,,,,,,,
2016-09-02T16:00:00+00:00,960,SSW,16.1,88.0,1019,10,18.0,18.1,1.8,8.0,,,,,,,,,,,,,,,
2016-09-02T17:00:00+00:00,1020,SSW,16.4,88.6,1019,11,18.0,18.3,2.2,8.0,,,,,,,,,,,,,,,
2016-09-02T18:00:00+00:00,1080,S,16.8,94.4,1018,11,18.0,17.7,2.5,9.0,,,,,,,,,,,,,,,
2016-09-02T19:00:00+00:00,1140,SSW,17.5,96.2,1018,14,18.0,18.1,2.4,8.0,20.0,0.0,undefined,10.2,344.0,1900,1.5,3.6,0.97,2016090206.0,311.0,2.7,5.7,"September 02, 2016 19:00:00",5.7
