,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,periodSchedule,swell_height2,modelCode,swell_period3,swell_direction1,surf_min,swell_direction3,surf_max,swell_period1,dateStamp,swell_height3,swell_period2,modelRun,swell_direction2
2016-09-02T20:00:00+00:00,1200,SSW,17.8,96.9,1018,15,18.0,18.3,2.8,8.0,,,,,,,,,,,,,,,
2016-09-02T21:00:00+00:00,1260,SSW,17.7,96.9,1018,14,18.0,18.2,2.6,7.0,,,,,,,,,,,,,,,
2016-09-02T22:00:00+00:00,1320,SSW,17.8,97.5,1017,14,18.0,18.2,3.1,8.0,,,,,,,,,,,,,,,
2016-09-02T23:00:00+00:00,1380,SSW,17.8,97.5,1017,12,18.0,18.2,3.4,8.0,,,,,,,,,,,,,,,
2016-09-03T00:00:00+00:00,0,SSW,17.8,97.5,1016,14,18.0,18.2,3.1,8.0,,,,,,,,,,,,,,,
2016-09-03T01:00:00+00:00,60,S,18.0,97.5,1014,18,18.0,18.4,2.9,7.0,3.4,0100,2.0,undefined,5.7,315.0,0.0,20.0,0.99,10.2,"September 03, 2016 01:00:00",1.3,5.7,2016090218.0,350.0
2016-09-03T02:00:00+00:00,120,SSW,18.5,97.5,1014,22,18.0,18.9,2.9,7.0,,,,,,,,,,,,,,,
2016-09-03T03:00:00+00:00,180,SW,18.4,96.9,1013,22,18.0,18.9,2.9,7.0,,,,,,,,,,,,,,,
2016-09-03T04:00:00+00:00,240,SW,18.3,96.3,1012,22,18.0,18.9,3.2,6.0,,,,,,,,,,,,,,,
2016-09-03T05:00:00+00:00,300,SW,18.1,95.7,1012,20,18.0,18.8,3.0,7.0,,,,,,,,,,,,,,,
2016-09-03T06:00:00+00:00,360,WSW,18.0,96.3,1013,21,18.0,18.6,3.1,8.0,,,,,,,,,,,,,,,
2016-09-03T07:00:00+00:00,420,SW,18.0,96.3,1012,14,18.0,18.6,3.1,8.0,2.6,0700,2.2,undefined,5.2,315.0,0.85,20.0,1.85,9.3,"September 03, 2016 07:00:00",1.1,5.7,2016090300.0,340.0
2016-09-03T08:00:00+00:00,480,SW,18.2,96.9,1012,18,18.0,18.7,3.4,8.0,,,,,,,,,,,,,,,
2016-09-03T09:00:00+00:00,540,SSW,18.1,96.3,1012,19,18.0,18.7,3.9,8.0,,,,,,,,,,,,,,,
2016-09-03T10:00:00+00:00,600,SW,18.3,95.7,1012,21,18.0,19.0,3.6,8.0,,,,,,,,,,,,,,,
2016-09-03T11:00:00+00:00,660,SW,18.0,95.1,1012,19,18.0,18.8,4.3,9.0,,,,,,,,,,,,,,,
2016-09-03T12:00:00+00:00,720,SW,18.0,94.5,1012,21,18.0,18.9,4.3,9.0,,,,,,,,,,,,,,,
2016-09-03T13:00:00+00:00,780,SW,18.0,94.5,1012,19,18.0,18.9,4.0,8.0,2.4,1300,2.4,undefined,5.7,307.0,3.43,340.0,4.43,13.5,"September 03, 2016 13:00:00",1.9,9.3,2016090306.0,314.0
2016-09-03T14:00:00+00:00,840,WSW,18.1,93.9,1012,21,18.0,19.1,4.2,8.0,,,,,,,,,,,,,,,
2016-09-03T15:00:00+00:00,900,WSW,17.1,89.8,1012,19,18.0,18.8,3.9,8.0,,,,,,,,,,,,,,,
2016-09-03T16:00:00+00:00,960,W,16.1,86.9,1012,16,18.0,18.3,3.7,7.0,,,,,,,,,,,,,,,
2016-09-03T17:00:00+00:00,1020,WSW,15.9,84.7,1013,18,18.3,18.5,3.6,7.0,,,,,,,,,,,,,,,
2016-09-03T18:00:00+00:00,1080,W,15.1,83.1,1013,18,18.0,18.0,3.5,7.0,,,,,,,,,,,,,,,
2016-09-03T19:00:00+00:00,1140,W,14.1,78.8,1013,18,18.1,17.8,3.3,7.0,3.9,1900,2.1,undefined,9.3,302.0,4.9,318.0,5.85,12.3,"September 03, 2016 19:00:00",1.9,18.0,2016090306.0,270.0
