,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,swell_direction3,swell_height1,swell_period3,modelRun,swell_direction1,swell_direction2,periodSchedule,swell_height3,dateStamp,swell_height2,surf_max,swell_period2,surf_min,modelCode
2016-09-03T20:00:00+00:00,1200,W,14.6,81.4,1014,16,18.0,17.8,3.3,8.0,,,,,,,,,,,,,,,
2016-09-03T21:00:00+00:00,1260,W,13.7,77.8,1015,16,18.1,17.6,3.2,7.0,,,,,,,,,,,,,,,
2016-09-03T22:00:00+00:00,1320,W,13.8,77.7,1015,16,18.0,17.7,3.2,8.0,,,,,,,,,,,,,,,
2016-09-03T23:00:00+00:00,1380,W,13.5,76.8,1015,14,18.0,17.6,3.4,7.0,,,,,,,,,,,,,,,
2016-09-04T00:00:00+00:00,0,W,14.0,78.8,1015,12,18.0,17.7,3.4,7.0,,,,,,,,,,,,,,,
2016-09-04T01:00:00+00:00,60,W,13.9,79.3,1015,10,18.0,17.5,3.2,7.0,11.2,319.0,4.4,14.9,2016090318.0,303.0,271.0,0100,2.3,"September 04, 2016 01:00:00",3.0,6.86,16.3,5.74,undefined
2016-09-04T02:00:00+00:00,120,W,13.7,78.3,1015,10,18.0,17.5,3.2,8.0,,,,,,,,,,,,,,,
2016-09-04T03:00:00+00:00,180,W,14.0,80.3,1015,8,18.0,17.4,3.4,8.0,,,,,,,,,,,,,,,
2016-09-04T04:00:00+00:00,240,W,14.1,80.8,1015,7,18.0,17.4,3.3,8.0,,,,,,,,,,,,,,,
2016-09-04T05:00:00+00:00,300,SSW,13.7,79.3,1014,9,18.0,17.3,3.7,9.0,,,,,,,,,,,,,,,
2016-09-04T06:00:00+00:00,360,S,14.2,86.8,1014,10,18.0,16.4,3.0,8.0,,,,,,,,,,,,,,,
2016-09-04T07:00:00+00:00,420,SSE,14.7,91.4,1014,7,18.0,16.1,2.9,8.0,11.2,345.0,5.4,3.2,2016090400.0,306.0,271.0,0700,1.0,"September 04, 2016 07:00:00",3.5,7.32,14.9,6.13,undefined
2016-09-04T08:00:00+00:00,480,ESE,15.3,92.0,1014,9,18.0,16.6,2.8,8.0,,,,,,,,,,,,,,,
2016-09-04T09:00:00+00:00,540,SE,15.6,92.6,1014,13,18.0,16.8,3.1,8.0,,,,,,,,,,,,,,,
2016-09-04T10:00:00+00:00,600,ESE,16.3,93.3,1013,16,18.0,17.4,2.8,8.0,,,,,,,,,,,,,,,
2016-09-04T11:00:00+00:00,660,SSE,17.7,96.9,1013,15,18.0,18.2,2.6,7.0,,,,,,,,,,,,,,,
2016-09-04T12:00:00+00:00,720,S,18.3,95.7,1012,17,18.0,19.0,2.5,7.0,,,,,,,,,,,,,,,
2016-09-04T13:00:00+00:00,780,S,18.1,93.9,1011,20,18.0,19.1,2.3,6.0,11.2,348.0,5.3,3.2,2016090406.0,304.0,274.0,1300,0.9,"September 04, 2016 13:00:00",3.6,6.58,13.5,5.65,undefined
2016-09-04T14:00:00+00:00,840,S,18.3,95.7,1010,22,18.0,19.0,2.5,6.0,,,,,,,,,,,,,,,
2016-09-04T15:00:00+00:00,900,S,18.2,95.7,1009,25,18.0,18.9,2.6,6.0,,,,,,,,,,,,,,,
2016-09-04T16:00:00+00:00,960,SSW,18.3,96.3,1009,23,17.9,18.9,2.8,6.0,,,,,,,,,,,,,,,
2016-09-04T17:00:00+00:00,1020,SW,18.2,96.3,1009,21,17.9,18.8,2.7,6.0,,,,,,,,,,,,,,,
2016-09-04T18:00:00+00:00,1080,SW,18.1,96.9,1010,20,18.0,18.6,2.8,6.0,,,,,,,,,,,,,,,
2016-09-04T19:00:00+00:00,1140,WSW,18.0,95.1,1010,19,18.0,18.8,2.8,6.0,11.2,345.0,4.6,3.6,2016090406.0,308.0,276.0,1900,1.9,"September 04, 2016 19:00:00",4.0,5.98,13.5,5.14,undefined
