,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_height3,periodSchedule,swell_period1,swell_height1,swell_period2,swell_direction1,swell_height2,surf_max,swell_period3,surf_min,modelRun,swell_direction3,dateStamp,modelCode
2016-09-04T20:00:00+00:00,1200,SW,17.9,94.5,1011,16,18.0,18.8,2.8,6.0,,,,,,,,,,,,,,,
2016-09-04T21:00:00+00:00,1260,SW,17.6,92.7,1012,17,18.0,18.8,2.6,6.0,,,,,,,,,,,,,,,
2016-09-04T22:00:00+00:00,1320,SSW,17.4,92.1,1013,18,18.0,18.7,2.8,6.0,,,,,,,,,,,,,,,
2016-09-04T23:00:00+00:00,1380,SW,17.7,92.1,1013,19,17.9,19.0,2.8,6.0,,,,,,,,,,,,,,,
2016-09-05T00:00:00+00:00,0,SW,17.7,91.5,1013,18,17.9,19.1,2.6,6.0,,,,,,,,,,,,,,,
2016-09-05T01:00:00+00:00,60,SW,17.6,91.5,1014,16,18.0,19.0,2.6,6.0,275.0,1.8,0100,11.2,4.1,12.3,310.0,3.8,4.76,3.9,4.24,2016090418.0,345.0,"September 05, 2016 01:00:00",undefined
2016-09-05T02:00:00+00:00,120,SSW,17.6,92.1,1014,17,17.9,18.9,2.3,5.0,,,,,,,,,,,,,,,
2016-09-05T03:00:00+00:00,180,SW,17.6,91.5,1014,17,17.9,19.0,2.3,6.0,,,,,,,,,,,,,,,
2016-09-05T04:00:00+00:00,240,SW,17.7,92.7,1014,16,17.9,18.9,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T05:00:00+00:00,300,SW,17.5,93.3,1014,17,17.9,18.6,2.5,6.0,,,,,,,,,,,,,,,
2016-09-05T06:00:00+00:00,360,SW,18.2,95.1,1015,18,18.0,19.0,2.5,6.0,,,,,,,,,,,,,,,
2016-09-05T07:00:00+00:00,420,SSW,17.9,95.7,1016,16,17.9,18.6,2.4,6.0,275.0,2.3,0700,11.2,3.7,11.2,311.0,3.5,4.1,4.3,3.11,2016090500.0,344.0,"September 05, 2016 07:00:00",undefined
2016-09-05T08:00:00+00:00,480,SSW,17.8,95.7,1016,17,17.9,18.5,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T09:00:00+00:00,540,SSW,18.0,96.3,1017,16,17.9,18.6,2.5,6.0,,,,,,,,,,,,,,,
2016-09-05T10:00:00+00:00,600,SSW,18.1,95.1,1017,12,17.9,18.9,2.3,6.0,,,,,,,,,,,,,,,
2016-09-05T11:00:00+00:00,660,SSW,17.9,95.1,1018,14,17.9,18.7,2.3,6.0,,,,,,,,,,,,,,,
2016-09-05T12:00:00+00:00,720,SSW,17.8,95.7,1018,17,17.9,18.5,2.2,6.0,,,,,,,,,,,,,,,
2016-09-05T13:00:00+00:00,780,S,18.1,96.9,1018,16,17.9,18.6,2.5,6.0,269.0,2.2,1300,10.2,4.0,11.2,305.0,2.5,3.68,4.7,2.71,2016090506.0,346.0,"September 05, 2016 13:00:00",undefined
2016-09-05T14:00:00+00:00,840,SSW,18.3,96.9,1018,15,18.0,18.8,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T15:00:00+00:00,900,S,18.5,95.6,1018,15,18.1,19.2,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T16:00:00+00:00,960,SSW,18.5,95.1,1018,15,18.1,19.3,2.4,7.0,,,,,,,,,,,,,,,
2016-09-05T17:00:00+00:00,1020,SSW,18.2,95.1,1018,15,18.1,19.0,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T18:00:00+00:00,1080,S,18.0,95.1,1018,14,18.1,18.8,2.4,6.0,,,,,,,,,,,,,,,
2016-09-05T19:00:00+00:00,1140,S,17.9,95.1,1018,17,18.1,18.7,2.3,6.0,343.0,2.3,1900,10.2,3.6,4.7,304.0,3.1,3.17,4.7,2.17,2016090506.0,25.0,"September 05, 2016 19:00:00",undefined
