,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,swell_period2,swell_direction2,swell_height1,swell_period1,swell_period3,swell_direction3,surf_max,modelRun,dateStamp,swell_height2,swell_height3,surf_min,swell_direction1,modelCode
2016-09-05T20:00:00+00:00,1200,SSW,18.1,96.9,1018,16,18.0,18.6,2.5,7.0,,,,,,,,,,,,,,,
2016-09-05T21:00:00+00:00,1260,SSW,18.4,96.9,1018,15,18.1,18.9,2.5,6.0,,,,,,,,,,,,,,,
2016-09-05T22:00:00+00:00,1320,SSW,18.2,96.9,1019,14,18.0,18.7,2.8,7.0,,,,,,,,,,,,,,,
2016-09-05T23:00:00+00:00,1380,S,18.1,96.9,1019,12,18.0,18.6,2.6,7.0,,,,,,,,,,,,,,,
2016-09-06T00:00:00+00:00,0,S,18.3,96.9,1019,12,18.1,18.8,2.8,8.0,,,,,,,,,,,,,,,
2016-09-06T01:00:00+00:00,60,S,18.2,96.3,1018,13,18.0,18.8,2.7,7.0,0100,5.2,343.0,3.2,9.3,5.2,27.0,2.53,2016090518.0,"September 06, 2016 01:00:00",3.0,2.5,1.55,304.0,undefined
2016-09-06T02:00:00+00:00,120,S,18.2,96.3,1018,11,18.0,18.8,2.9,8.0,,,,,,,,,,,,,,,
2016-09-06T03:00:00+00:00,180,S,18.1,96.3,1018,11,18.0,18.7,2.7,7.0,,,,,,,,,,,,,,,
2016-09-06T04:00:00+00:00,240,S,18.2,96.3,1018,11,18.1,18.8,3.0,8.0,,,,,,,,,,,,,,,
2016-09-06T05:00:00+00:00,300,S,18.3,95.7,1018,12,18.0,19.0,2.7,8.0,,,,,,,,,,,,,,,
2016-09-06T06:00:00+00:00,360,S,17.9,96.3,1018,10,18.0,18.5,2.5,8.0,,,,,,,,,,,,,,,
2016-09-06T07:00:00+00:00,420,S,17.9,96.9,1018,11,18.1,18.4,2.3,7.0,0700,5.2,343.0,2.8,9.3,5.2,27.0,2.1,2016090600.0,"September 06, 2016 07:00:00",2.7,2.2,1.1,303.0,undefined
2016-09-06T08:00:00+00:00,480,S,18.1,97.5,1018,12,18.1,18.5,2.5,8.0,,,,,,,,,,,,,,,
2016-09-06T09:00:00+00:00,540,S,18.0,97.5,1018,12,18.1,18.4,2.2,7.0,,,,,,,,,,,,,,,
2016-09-06T10:00:00+00:00,600,S,17.9,97.5,1018,10,18.1,18.3,2.2,7.0,,,,,,,,,,,,,,,
2016-09-06T11:00:00+00:00,660,SSE,18.2,97.5,1018,11,18.1,18.6,2.1,7.0,,,,,,,,,,,,,,,
2016-09-06T12:00:00+00:00,720,SSE,18.3,96.9,1018,11,18.2,18.8,2.0,6.0,,,,,,,,,,,,,,,
2016-09-06T13:00:00+00:00,780,S,18.3,96.9,1017,11,18.2,18.8,2.2,7.0,1300,5.2,346.0,2.5,9.3,5.2,26.0,2.29,2016090606.0,"September 06, 2016 13:00:00",2.1,1.8,1.29,304.0,undefined
2016-09-06T14:00:00+00:00,840,SSE,18.2,96.9,1017,11,18.2,18.7,2.2,7.0,,,,,,,,,,,,,,,
2016-09-06T15:00:00+00:00,900,SSE,18.5,97.5,1016,13,18.1,18.9,2.2,7.0,,,,,,,,,,,,,,,
2016-09-06T16:00:00+00:00,960,SSE,18.6,96.9,1016,14,18.2,19.1,2.1,6.0,,,,,,,,,,,,,,,
2016-09-06T17:00:00+00:00,1020,SSE,18.4,95.7,1016,16,18.3,19.1,2.1,6.0,,,,,,,,,,,,,,,
2016-09-06T18:00:00+00:00,1080,SSE,18.1,95.1,1015,14,18.4,18.9,2.1,6.0,,,,,,,,,,,,,,,
2016-09-06T19:00:00+00:00,1140,S,18.4,95.7,1015,15,18.2,19.1,2.1,6.0,1900,8.4,302.0,2.8,12.3,5.2,347.0,3.02,2016090606.0,"September 06, 2016 19:00:00",2.2,1.7,2.02,298.0,undefined
