,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,surf_max,swell_height3,modelRun,swell_direction3,swell_height2,surf_min,swell_direction1,dateStamp,swell_period3,swell_period1,modelCode,periodSchedule,swell_direction2,swell_period2
2016-09-06T20:00:00+00:00,1200,SSE,18.3,95.1,1015,16,18.2,19.1,2.0,6.0,,,,,,,,,,,,,,,
2016-09-06T21:00:00+00:00,1260,SSE,18.1,94.5,1015,15,18.3,19.0,2.0,6.0,,,,,,,,,,,,,,,
2016-09-06T22:00:00+00:00,1320,SSE,17.9,95.1,1015,14,18.3,18.7,1.9,6.0,,,,,,,,,,,,,,,
2016-09-06T23:00:00+00:00,1380,SSE,17.9,95.1,1014,17,18.2,18.7,1.9,6.0,,,,,,,,,,,,,,,
2016-09-07T00:00:00+00:00,0,SE,17.8,95.1,1013,17,18.2,18.6,1.9,5.0,,,,,,,,,,,,,,,
2016-09-07T01:00:00+00:00,60,SE,17.7,95.1,1013,19,18.2,18.5,2.0,6.0,4.3,3.29,0.8,2016090618.0,21.0,1.3,2.29,294.0,"September 07, 2016 01:00:00",4.7,11.2,undefined,0100,346.0,4.7
2016-09-07T02:00:00+00:00,120,SSE,17.7,93.3,1013,18,18.2,18.8,2.0,6.0,,,,,,,,,,,,,,,
2016-09-07T03:00:00+00:00,180,SSE,17.6,92.1,1012,15,18.2,18.9,2.0,5.0,,,,,,,,,,,,,,,
2016-09-07T04:00:00+00:00,240,SSE,17.7,93.9,1011,15,18.2,18.7,2.1,5.0,,,,,,,,,,,,,,,
2016-09-07T05:00:00+00:00,300,SSE,17.9,95.1,1010,16,18.2,18.7,1.9,6.0,,,,,,,,,,,,,,,
2016-09-07T06:00:00+00:00,360,SSE,17.9,94.5,1009,17,18.2,18.8,1.9,5.0,,,,,,,,,,,,,,,
2016-09-07T07:00:00+00:00,420,SSE,17.9,94.5,1009,17,18.2,18.8,1.8,5.0,4.1,3.04,0.8,2016090700.0,342.0,1.0,2.05,292.0,"September 07, 2016 07:00:00",2.9,10.2,undefined,0700,347.0,4.7
2016-09-07T08:00:00+00:00,480,S,16.8,88.7,1009,19,18.2,18.7,2.0,5.0,,,,,,,,,,,,,,,
2016-09-07T09:00:00+00:00,540,SW,14.6,80.9,1009,19,18.2,17.9,2.2,5.0,,,,,,,,,,,,,,,
2016-09-07T10:00:00+00:00,600,SW,13.7,77.8,1010,20,18.1,17.6,2.5,5.0,,,,,,,,,,,,,,,
2016-09-07T11:00:00+00:00,660,SW,13.0,74.8,1009,21,18.1,17.5,2.8,6.0,,,,,,,,,,,,,,,
2016-09-07T12:00:00+00:00,720,SSW,12.8,74.8,1009,22,18.1,17.3,3.1,6.0,,,,,,,,,,,,,,,
2016-09-07T13:00:00+00:00,780,SW,12.8,74.3,1009,24,17.9,17.4,3.3,7.0,3.8,2.85,1.2,2016090706.0,19.0,2.2,1.85,290.0,"September 07, 2016 13:00:00",3.9,10.2,undefined,1300,341.0,3.9
2016-09-07T14:00:00+00:00,840,SW,12.8,74.8,1009,25,18.1,17.3,3.7,7.0,,,,,,,,,,,,,,,
2016-09-07T15:00:00+00:00,900,SW,12.3,74.2,1009,24,18.3,16.9,3.9,7.0,,,,,,,,,,,,,,,
2016-09-07T16:00:00+00:00,960,SW,13.1,80.2,1009,25,18.0,16.5,4.0,7.0,,,,,,,,,,,,,,,
2016-09-07T17:00:00+00:00,1020,SW,12.8,77.2,1009,25,18.3,16.8,5.0,8.0,,,,,,,,,,,,,,,
2016-09-07T18:00:00+00:00,1080,WSW,12.6,78.6,1009,26,18.1,16.3,5.5,8.0,,,,,,,,,,,,,,,
2016-09-07T19:00:00+00:00,1140,WSW,12.4,74.2,1009,25,18.0,17.0,5.5,8.0,3.4,2.74,1.4,2016090706.0,21.0,2.9,1.74,288.0,"September 07, 2016 19:00:00",4.3,10.2,undefined,1900,335.0,4.3
