,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,swell_height3,swell_period1,surf_max,modelRun,swell_period3,swell_period2,dateStamp,modelCode,surf_min,swell_height1,swell_direction2,periodSchedule,swell_direction3,swell_height2
2016-09-07T20:00:00+00:00,1200,WSW,11.3,69.9,1010,25,18.0,16.8,4.9,8.0,,,,,,,,,,,,,,,
2016-09-07T21:00:00+00:00,1260,W,11.1,70.3,1010,25,18.0,16.5,4.4,8.0,,,,,,,,,,,,,,,
2016-09-07T22:00:00+00:00,1320,WSW,11.3,69.9,1010,20,18.0,16.8,4.3,7.0,,,,,,,,,,,,,,,
2016-09-07T23:00:00+00:00,1380,W,11.2,69.4,1011,22,18.0,16.8,4.4,8.0,,,,,,,,,,,,,,,
2016-09-08T00:00:00+00:00,0,W,11.2,70.3,1011,21,18.0,16.6,4.5,8.0,,,,,,,,,,,,,,,
2016-09-08T01:00:00+00:00,60,WSW,11.8,71.8,1011,20,18.0,16.9,4.2,7.0,288.0,1.4,9.3,2.75,2016090718.0,3.9,4.3,"September 08, 2016 01:00:00",undefined,1.75,3.3,340.0,0100,19.0,2.4
2016-09-08T02:00:00+00:00,120,WSW,11.6,70.8,1011,21,18.0,16.9,4.2,8.0,,,,,,,,,,,,,,,
2016-09-08T03:00:00+00:00,180,WSW,12.6,74.2,1010,20,17.9,17.2,4.1,7.0,,,,,,,,,,,,,,,
2016-09-08T04:00:00+00:00,240,SW,11.7,69.5,1010,20,18.0,17.3,3.9,7.0,,,,,,,,,,,,,,,
2016-09-08T05:00:00+00:00,300,SW,13.3,78.2,1009,22,17.9,17.1,3.4,7.0,,,,,,,,,,,,,,,
2016-09-08T06:00:00+00:00,360,SW,14.1,87.9,1009,23,17.9,16.1,3.8,7.0,,,,,,,,,,,,,,,
2016-09-08T07:00:00+00:00,420,SSW,15.3,91.4,1009,25,17.9,16.7,3.6,7.0,290.0,2.2,9.3,3.01,2016090800.0,4.3,4.3,"September 08, 2016 07:00:00",undefined,2.01,3.6,339.0,0700,25.0,3.1
2016-09-08T08:00:00+00:00,480,SSW,16.3,92.1,1009,26,17.8,17.6,3.9,7.0,,,,,,,,,,,,,,,
2016-09-08T09:00:00+00:00,540,WSW,16.1,88.6,1009,20,17.9,18.0,3.6,7.0,,,,,,,,,,,,,,,
2016-09-08T10:00:00+00:00,600,WSW,15.7,87.4,1009,17,17.9,17.8,3.2,7.0,,,,,,,,,,,,,,,
2016-09-08T11:00:00+00:00,660,SW,15.5,86.9,1010,17,17.9,17.7,3.6,7.0,,,,,,,,,,,,,,,
2016-09-08T12:00:00+00:00,720,WSW,15.6,86.9,1010,18,17.9,17.8,3.2,7.0,,,,,,,,,,,,,,,
2016-09-08T13:00:00+00:00,780,WSW,15.5,85.8,1011,18,17.9,17.9,3.2,7.0,297.0,2.3,9.3,2.91,2016090806.0,4.7,4.7,"September 08, 2016 13:00:00",undefined,1.95,4.6,339.0,1300,25.0,3.5
2016-09-08T14:00:00+00:00,840,WSW,15.3,85.2,1011,18,18.1,17.8,3.0,7.0,,,,,,,,,,,,,,,
2016-09-08T15:00:00+00:00,900,W,15.1,88.5,1011,17,17.9,17.0,2.9,6.0,,,,,,,,,,,,,,,
2016-09-08T16:00:00+00:00,960,W,14.1,79.9,1011,19,17.9,17.6,2.8,7.0,,,,,,,,,,,,,,,
2016-09-08T17:00:00+00:00,1020,WSW,13.7,78.8,1011,18,17.9,17.4,3.1,6.0,,,,,,,,,,,,,,,
2016-09-08T18:00:00+00:00,1080,WSW,12.3,70.9,1011,17,18.0,17.6,2.8,6.0,,,,,,,,,,,,,,,
2016-09-08T19:00:00+00:00,1140,WSW,12.3,72.8,1011,16,17.9,17.2,2.8,6.0,302.0,2.1,9.3,2.79,2016090806.0,4.7,5.2,"September 08, 2016 19:00:00",undefined,1.79,5.3,337.0,1900,24.0,3.7
