,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelCode,swell_direction3,swell_period3,swell_direction1,swell_period2,modelRun,swell_height3,periodSchedule,surf_min,dateStamp,swell_height1,swell_direction2,swell_height2,swell_period1,surf_max
2016-09-08T20:00:00+00:00,1200,WSW,13.0,76.2,1012,16,17.9,17.2,2.5,6.0,,,,,,,,,,,,,,,
2016-09-08T21:00:00+00:00,1260,WSW,13.3,77.3,1012,15,17.9,17.3,2.8,7.0,,,,,,,,,,,,,,,
2016-09-08T22:00:00+00:00,1320,WSW,14.1,80.8,1012,14,17.9,17.4,2.5,6.0,,,,,,,,,,,,,,,
2016-09-08T23:00:00+00:00,1380,SW,14.0,81.9,1011,13,17.9,17.1,2.6,6.0,,,,,,,,,,,,,,,
2016-09-09T00:00:00+00:00,0,SW,15.1,86.9,1011,16,17.9,17.3,2.6,6.0,,,,,,,,,,,,,,,
2016-09-09T01:00:00+00:00,60,SW,14.8,84.6,1011,17,17.9,17.4,2.7,6.0,undefined,22.0,4.7,305.0,5.2,2016090818.0,1.9,0100,1.44,"September 09, 2016 01:00:00",5.3,336.0,3.5,9.3,2.41
2016-09-09T02:00:00+00:00,120,SSW,15.0,85.8,1010,17,17.9,17.4,2.5,6.0,,,,,,,,,,,,,,,
2016-09-09T03:00:00+00:00,180,SSW,15.5,88.1,1009,17,17.9,17.5,2.7,6.0,,,,,,,,,,,,,,,
2016-09-09T04:00:00+00:00,240,SSW,16.1,89.7,1008,20,17.9,17.8,2.8,6.0,,,,,,,,,,,,,,,
2016-09-09T05:00:00+00:00,300,SSW,16.0,88.0,1007,22,17.9,18.0,2.7,6.0,,,,,,,,,,,,,,,
2016-09-09T06:00:00+00:00,360,SSW,16.2,88.1,1006,22,17.9,18.2,2.7,6.0,,,,,,,,,,,,,,,
2016-09-09T07:00:00+00:00,420,SSW,16.4,88.1,1005,25,17.9,18.4,2.6,6.0,undefined,22.0,4.7,306.0,5.2,2016090900.0,1.6,0700,1.15,"September 09, 2016 07:00:00",5.1,334.0,3.1,9.3,2.13
2016-09-09T08:00:00+00:00,480,SSW,16.5,88.1,1005,26,17.8,18.5,2.8,6.0,,,,,,,,,,,,,,,
2016-09-09T09:00:00+00:00,540,SSW,16.8,92.7,1004,27,17.9,18.0,3.1,6.0,,,,,,,,,,,,,,,
2016-09-09T10:00:00+00:00,600,SSW,17.0,92.7,1004,30,17.8,18.2,3.1,6.0,,,,,,,,,,,,,,,
2016-09-09T11:00:00+00:00,660,SSW,17.2,93.9,1004,27,17.8,18.2,3.4,6.0,,,,,,,,,,,,,,,
2016-09-09T12:00:00+00:00,720,NNW,17.4,94.5,1004,6,17.9,18.3,3.6,6.0,,,,,,,,,,,,,,,
2016-09-09T13:00:00+00:00,780,SW,17.6,95.7,1005,24,17.8,18.3,3.7,7.0,undefined,314.0,5.7,308.0,4.7,2016090906.0,1.3,1300,0.95,"September 09, 2016 13:00:00",4.8,341.0,2.2,9.3,1.95
2016-09-09T14:00:00+00:00,840,W,17.0,95.0,1005,20,17.8,17.8,3.8,7.0,,,,,,,,,,,,,,,
2016-09-09T15:00:00+00:00,900,W,16.2,90.9,1006,17,17.9,17.7,3.7,7.0,,,,,,,,,,,,,,,
2016-09-09T16:00:00+00:00,960,WNW,14.5,84.1,1007,17,17.8,17.2,3.7,7.0,,,,,,,,,,,,,,,
2016-09-09T17:00:00+00:00,1020,WNW,12.9,77.2,1008,16,17.8,16.9,3.4,7.0,,,,,,,,,,,,,,,
2016-09-09T18:00:00+00:00,1080,WNW,12.6,75.2,1009,13,17.8,17.0,3.5,7.0,,,,,,,,,,,,,,,
2016-09-09T19:00:00+00:00,1140,WNW,12.2,72.8,1010,13,17.8,17.1,3.4,7.0,undefined,19.0,4.3,310.0,3.9,2016090906.0,0.8,1900,0.86,"September 09, 2016 19:00:00",4.5,335.0,2.3,9.3,1.86
