,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period2,swell_direction2,swell_direction1,surf_min,swell_period1,swell_direction3,surf_max,swell_period3,swell_height2,modelCode,swell_height1,periodSchedule,modelRun,swell_height3
2016-09-10T20:00:00+00:00,1200,WSW,10.7,67.5,1016,11,17.8,16.7,3.1,8.0,,,,,,,,,,,,,,,
2016-09-10T21:00:00+00:00,1260,SW,11.5,70.2,1016,9,17.8,16.9,3.1,7.0,,,,,,,,,,,,,,,
2016-09-10T22:00:00+00:00,1320,SW,11.9,72.6,1016,11,17.7,16.8,3.1,8.0,,,,,,,,,,,,,,,
2016-09-10T23:00:00+00:00,1380,SW,11.8,72.6,1015,11,17.8,16.7,3.1,8.0,,,,,,,,,,,,,,,
2016-09-11T00:00:00+00:00,0,SSW,10.8,67.5,1015,13,17.7,16.8,2.6,8.0,,,,,,,,,,,,,,,
2016-09-11T01:00:00+00:00,60,SSW,11.7,71.7,1014,14,17.8,16.8,3.3,9.0,"September 11, 2016 01:00:00",3.2,330.0,310.0,1.64,10.2,270.0,2.64,12.3,1.5,undefined,5.1,0100,2016091018.0,0.7
2016-09-11T02:00:00+00:00,120,S,12.5,75.1,1013,16,17.7,16.9,2.9,8.0,,,,,,,,,,,,,,,
2016-09-11T03:00:00+00:00,180,S,13.2,78.2,1012,18,17.8,17.0,3.2,8.0,,,,,,,,,,,,,,,
2016-09-11T04:00:00+00:00,240,S,13.6,78.8,1011,20,17.7,17.3,3.2,7.0,,,,,,,,,,,,,,,
2016-09-11T05:00:00+00:00,300,S,13.0,74.3,1010,24,17.7,17.6,3.3,7.0,,,,,,,,,,,,,,,
2016-09-11T06:00:00+00:00,360,S,13.7,77.3,1009,25,17.7,17.7,3.3,7.0,,,,,,,,,,,,,,,
2016-09-11T07:00:00+00:00,420,S,14.2,80.4,1008,24,17.7,17.6,3.6,7.0,"September 11, 2016 07:00:00",3.2,343.0,311.0,1.68,10.2,17.0,2.67,2.9,1.0,undefined,6.1,0700,2016091100.0,0.5
2016-09-11T08:00:00+00:00,480,S,14.7,81.5,1008,25,17.7,17.9,3.8,7.0,,,,,,,,,,,,,,,
2016-09-11T09:00:00+00:00,540,S,15.2,84.7,1006,26,17.6,17.8,3.4,6.0,,,,,,,,,,,,,,,
2016-09-11T10:00:00+00:00,600,S,16.3,92.1,1006,27,17.7,17.6,3.4,6.0,,,,,,,,,,,,,,,
2016-09-11T11:00:00+00:00,660,S,16.4,90.4,1005,27,17.7,18.0,3.6,6.0,,,,,,,,,,,,,,,
2016-09-11T12:00:00+00:00,720,S,16.9,93.8,1004,27,17.6,17.9,3.4,6.0,,,,,,,,,,,,,,,
2016-09-11T13:00:00+00:00,780,S,17.6,93.9,1003,24,17.6,18.6,3.6,6.0,"September 11, 2016 13:00:00",11.2,270.0,314.0,1.52,10.2,348.0,2.49,2.4,0.7,undefined,6.4,1300,2016091106.0,0.4
2016-09-11T14:00:00+00:00,840,S,17.8,92.7,1002,23,17.6,19.0,3.6,7.0,,,,,,,,,,,,,,,
2016-09-11T15:00:00+00:00,900,SSW,17.6,91.6,1002,23,17.6,19.0,3.4,6.0,,,,,,,,,,,,,,,
2016-09-11T16:00:00+00:00,960,S,17.7,91.6,1001,23,17.6,19.1,3.4,7.0,,,,,,,,,,,,,,,
2016-09-11T17:00:00+00:00,1020,S,17.6,91.6,1000,24,17.6,19.0,3.7,7.0,,,,,,,,,,,,,,,
2016-09-11T18:00:00+00:00,1080,S,17.6,91.6,1000,23,17.7,19.0,3.8,7.0,,,,,,,,,,,,,,,
2016-09-11T19:00:00+00:00,1140,S,17.6,91.6,999,24,17.6,19.0,3.7,7.0,"September 11, 2016 19:00:00",2.9,337.0,315.0,1.38,10.2,15.0,2.38,2.7,1.1,undefined,6.4,1900,2016091106.0,0.3
