,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,periodSchedule,dateStamp,surf_min,modelRun,swell_period1,swell_direction3,swell_period2,swell_height2,swell_period3,surf_max,swell_direction2,swell_height3,swell_height1,modelCode
2016-09-11T20:00:00+00:00,1200,S,17.5,91.0,999,24,17.6,19.0,4.0,7.0,,,,,,,,,,,,,,,
2016-09-11T21:00:00+00:00,1260,S,17.6,91.6,998,24,17.6,19.0,4.0,7.0,,,,,,,,,,,,,,,
2016-09-11T22:00:00+00:00,1320,S,18.1,93.3,998,27,17.6,19.2,3.9,7.0,,,,,,,,,,,,,,,
2016-09-11T23:00:00+00:00,1380,S,17.8,94.5,998,27,17.6,18.7,4.2,7.0,,,,,,,,,,,,,,,
2016-09-12T00:00:00+00:00,0,S,17.8,92.8,997,25,17.6,19.0,3.8,7.0,,,,,,,,,,,,,,,
2016-09-12T01:00:00+00:00,60,WSW,15.8,91.5,997,14,17.6,17.2,4.3,7.0,316.0,0100,"September 12, 2016 01:00:00",1.17,2016091118.0,10.2,18.0,2.9,1.2,2.9,2.17,331.0,0.4,6.2,undefined
2016-09-12T02:00:00+00:00,120,WSW,16.0,92.1,998,16,17.6,17.3,4.3,8.0,,,,,,,,,,,,,,,
2016-09-12T03:00:00+00:00,180,WNW,15.0,92.6,998,11,17.6,16.2,4.2,7.0,,,,,,,,,,,,,,,
2016-09-12T04:00:00+00:00,240,WNW,15.1,92.6,998,11,17.6,16.3,3.7,7.0,,,,,,,,,,,,,,,
2016-09-12T05:00:00+00:00,300,WNW,14.1,84.1,999,12,17.6,16.8,4.4,8.0,,,,,,,,,,,,,,,
2016-09-12T06:00:00+00:00,360,NW,13.7,85.2,1000,11,17.6,16.2,4.6,9.0,,,,,,,,,,,,,,,
2016-09-12T07:00:00+00:00,420,NW,12.3,77.2,1000,14,17.6,16.3,4.6,9.0,316.0,0700,"September 12, 2016 07:00:00",0.98,2016091200.0,10.2,354.0,3.9,0.7,2.4,1.98,340.0,0.3,6.1,undefined
2016-09-12T08:00:00+00:00,480,NW,12.4,78.7,1001,12,17.6,16.1,4.4,9.0,,,,,,,,,,,,,,,
2016-09-12T09:00:00+00:00,540,NW,12.0,75.6,1002,11,17.6,16.3,4.0,8.0,,,,,,,,,,,,,,,
2016-09-12T10:00:00+00:00,600,NNW,11.3,72.7,1003,8,17.6,16.2,3.8,8.0,,,,,,,,,,,,,,,
2016-09-12T11:00:00+00:00,660,NNW,11.1,70.8,1003,7,17.5,16.4,3.5,8.0,,,,,,,,,,,,,,,
2016-09-12T12:00:00+00:00,720,WNW,10.6,68.5,1004,7,17.6,16.4,3.8,9.0,,,,,,,,,,,,,,,
2016-09-12T13:00:00+00:00,780,W,10.2,66.6,1004,8,17.6,16.4,4.1,9.0,317.0,1300,"September 12, 2016 13:00:00",0.77,2016091206.0,10.2,0.0,3.2,0.2,0.0,1.77,337.0,0.0,5.9,undefined
2016-09-12T14:00:00+00:00,840,W,9.6,64.0,1004,7,17.6,16.4,3.9,9.0,,,,,,,,,,,,,,,
2016-09-12T15:00:00+00:00,900,W,8.2,58.6,1004,8,17.7,16.3,4.1,9.0,,,,,,,,,,,,,,,
2016-09-12T16:00:00+00:00,960,W,8.2,59.0,1005,9,17.7,16.2,3.9,8.0,,,,,,,,,,,,,,,
2016-09-12T17:00:00+00:00,1020,W,8.6,60.6,1006,7,17.8,16.2,3.7,8.0,,,,,,,,,,,,,,,
2016-09-12T18:00:00+00:00,1080,W,8.9,61.4,1006,7,17.7,16.3,3.4,7.0,,,,,,,,,,,,,,,
2016-09-12T19:00:00+00:00,1140,W,8.8,61.4,1007,8,17.6,16.2,3.2,8.0,314.0,1900,"September 12, 2016 19:00:00",1.28,2016091206.0,10.2,255.0,12.3,2.3,3.2,2.28,332.0,0.2,5.0,undefined
