,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,periodSchedule,swell_direction1,surf_min,swell_period3,swell_height2,swell_direction2,swell_height3,modelRun,swell_height1,dateStamp,swell_period2,modelCode,surf_max,swell_direction3
2016-09-12T20:00:00+00:00,1200,W,9.8,66.1,1008,10,17.6,16.1,3.7,8.0,,,,,,,,,,,,,,,
2016-09-12T21:00:00+00:00,1260,W,10.0,67.0,1008,9,17.6,16.1,3.9,9.0,,,,,,,,,,,,,,,
2016-09-12T22:00:00+00:00,1320,W,9.6,66.0,1008,8,17.6,15.9,3.8,9.0,,,,,,,,,,,,,,,
2016-09-12T23:00:00+00:00,1380,WNW,10.2,67.5,1009,10,17.5,16.2,3.3,8.0,,,,,,,,,,,,,,,
2016-09-13T00:00:00+00:00,0,W,9.5,64.8,1009,9,17.6,16.1,3.2,8.0,,,,,,,,,,,,,,,
2016-09-13T01:00:00+00:00,60,W,9.9,66.1,1009,8,17.6,16.2,2.6,8.0,12.3,0100,315.0,3.0,0.0,1.3,236.0,0.0,2016091218.0,5.9,"September 13, 2016 01:00:00",3.2,undefined,3.58,0.0
2016-09-13T02:00:00+00:00,120,NW,9.6,65.6,1010,8,17.6,16.0,3.0,8.0,,,,,,,,,,,,,,,
2016-09-13T03:00:00+00:00,180,NW,9.4,64.7,1010,7,17.5,16.0,2.8,8.0,,,,,,,,,,,,,,,
2016-09-13T04:00:00+00:00,240,NW,9.5,65.1,1010,9,17.6,16.0,2.8,8.0,,,,,,,,,,,,,,,
2016-09-13T05:00:00+00:00,300,NW,9.9,66.9,1011,9,17.5,16.0,2.8,9.0,,,,,,,,,,,,,,,
2016-09-13T06:00:00+00:00,360,NW,9.0,63.4,1011,9,17.6,15.9,2.9,8.0,,,,,,,,,,,,,,,
2016-09-13T07:00:00+00:00,420,NNW,10.4,69.7,1012,11,17.6,15.9,2.7,7.0,12.3,0700,313.0,4.27,0.0,4.2,287.0,0.0,2016091300.0,7.8,"September 13, 2016 07:00:00",5.2,undefined,4.52,0.0
2016-09-13T08:00:00+00:00,480,NNW,10.0,67.3,1013,11,17.5,16.0,3.0,8.0,,,,,,,,,,,,,,,
2016-09-13T09:00:00+00:00,540,NNW,9.2,63.8,1013,11,17.5,16.0,3.2,7.0,,,,,,,,,,,,,,,
2016-09-13T10:00:00+00:00,600,NNW,9.7,65.6,1014,10,17.5,16.1,2.8,8.0,,,,,,,,,,,,,,,
2016-09-13T11:00:00+00:00,660,NNW,9.3,63.8,1014,10,17.6,16.1,2.9,8.0,,,,,,,,,,,,,,,
2016-09-13T12:00:00+00:00,720,NNW,10.2,66.1,1015,11,17.6,16.5,2.8,8.0,,,,,,,,,,,,,,,
2016-09-13T13:00:00+00:00,780,NNW,9.7,66.0,1015,12,17.6,16.0,2.6,8.0,12.3,1300,308.0,3.65,0.0,0.0,0.0,0.0,2016091306.0,9.4,"September 13, 2016 13:00:00",0.0,undefined,4.61,0.0
2016-09-13T14:00:00+00:00,840,NNW,10.0,66.4,1015,12,17.6,16.2,2.7,8.0,,,,,,,,,,,,,,,
2016-09-13T15:00:00+00:00,900,NNW,10.0,66.4,1016,12,17.7,16.2,2.6,7.0,,,,,,,,,,,,,,,
2016-09-13T16:00:00+00:00,960,NNW,9.9,66.0,1016,14,17.6,16.2,2.8,8.0,,,,,,,,,,,,,,,
2016-09-13T17:00:00+00:00,1020,NNW,10.5,69.2,1016,15,17.6,16.1,3.2,8.0,,,,,,,,,,,,,,,
2016-09-13T18:00:00+00:00,1080,NNW,9.5,65.0,1017,15,17.7,16.0,3.0,8.0,,,,,,,,,,,,,,,
2016-09-13T19:00:00+00:00,1140,N,10.1,67.4,1018,15,17.6,16.1,3.1,8.0,11.2,1900,307.0,4.32,13.5,0.3,15.0,0.1,2016091306.0,9.1,"September 13, 2016 19:00:00",2.4,undefined,4.56,210.0
