,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,surf_max,swell_direction1,swell_height3,swell_height1,dateStamp,modelRun,swell_period3,swell_direction2,swell_period2,swell_direction3,surf_min,periodSchedule,modelCode,swell_height2
2016-09-13T20:00:00+00:00,1200,N,9.5,65.0,1018,15,17.5,16.0,3.0,8.0,,,,,,,,,,,,,,,
2016-09-13T21:00:00+00:00,1260,N,9.7,65.5,1018,15,17.5,16.1,2.9,8.0,,,,,,,,,,,,,,,
2016-09-13T22:00:00+00:00,1320,NNW,10.6,70.0,1018,12,17.5,16.0,2.6,7.0,,,,,,,,,,,,,,,
2016-09-13T23:00:00+00:00,1380,NNW,10.6,70.0,1018,14,17.4,16.0,2.9,8.0,,,,,,,,,,,,,,,
2016-09-14T00:00:00+00:00,0,NNW,10.6,71.0,1018,15,17.4,15.8,2.6,7.0,,,,,,,,,,,,,,,
2016-09-14T01:00:00+00:00,60,N,10.2,69.6,1018,16,17.4,15.7,2.7,7.0,11.2,4.28,308.0,0.3,8.7,"September 14, 2016 01:00:00",2016091318.0,2.7,15.0,3.6,15.0,3.3,0100,undefined,0.5
2016-09-14T02:00:00+00:00,120,NNW,10.4,70.5,1017,16,17.4,15.7,2.5,7.0,,,,,,,,,,,,,,,
2016-09-14T03:00:00+00:00,180,NNW,11.0,72.9,1017,17,17.5,15.8,2.6,7.0,,,,,,,,,,,,,,,
2016-09-14T04:00:00+00:00,240,NNW,10.9,72.9,1017,17,17.5,15.7,2.6,6.0,,,,,,,,,,,,,,,
2016-09-14T05:00:00+00:00,300,NNW,11.1,73.4,1016,18,17.5,15.8,2.5,6.0,,,,,,,,,,,,,,,
2016-09-14T06:00:00+00:00,360,NNW,9.9,69.1,1016,19,17.5,15.5,2.5,6.0,,,,,,,,,,,,,,,
2016-09-14T07:00:00+00:00,420,NNW,10.8,71.5,1016,20,17.5,15.9,2.3,6.0,11.2,3.87,309.0,0.0,8.5,"September 14, 2016 07:00:00",2016091400.0,0.0,17.0,3.9,0.0,2.88,0700,undefined,0.8
2016-09-14T08:00:00+00:00,480,NNW,9.9,68.6,1016,21,17.4,15.6,2.7,6.0,,,,,,,,,,,,,,,
2016-09-14T09:00:00+00:00,540,NNW,9.9,69.1,1016,21,17.4,15.5,2.7,6.0,,,,,,,,,,,,,,,
2016-09-14T10:00:00+00:00,600,NNW,10.2,69.6,1016,20,17.4,15.7,2.9,6.0,,,,,,,,,,,,,,,
2016-09-14T11:00:00+00:00,660,NNW,10.3,70.1,1015,20,17.4,15.7,2.7,6.0,,,,,,,,,,,,,,,
2016-09-14T12:00:00+00:00,720,NNW,10.2,70.0,1015,20,17.3,15.6,2.6,6.0,,,,,,,,,,,,,,,
2016-09-14T13:00:00+00:00,780,NNW,10.7,72.0,1015,19,17.3,15.7,2.8,6.0,11.2,3.58,310.0,0.1,8.4,"September 14, 2016 13:00:00",2016091406.0,12.3,19.0,4.3,210.0,3.27,1300,undefined,1.0
2016-09-14T14:00:00+00:00,840,NNW,10.7,71.5,1014,20,17.3,15.8,2.7,6.0,,,,,,,,,,,,,,,
2016-09-14T15:00:00+00:00,900,NNW,10.3,70.1,1014,20,17.3,15.7,2.9,6.0,,,,,,,,,,,,,,,
2016-09-14T16:00:00+00:00,960,NNW,10.8,72.0,1014,18,17.4,15.8,2.8,7.0,,,,,,,,,,,,,,,
2016-09-14T17:00:00+00:00,1020,NNW,10.8,72.5,1014,18,17.3,15.7,2.6,6.0,,,,,,,,,,,,,,,
2016-09-14T18:00:00+00:00,1080,NNW,10.3,70.1,1014,19,17.3,15.7,2.7,7.0,,,,,,,,,,,,,,,
2016-09-14T19:00:00+00:00,1140,NW,10.6,71.5,1014,18,17.3,15.7,2.6,6.0,11.2,3.26,312.0,0.3,8.2,"September 14, 2016 19:00:00",2016091406.0,2.4,17.0,4.7,23.0,2.26,1900,undefined,0.8
