,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,surf_min,swell_period3,swell_height3,swell_direction2,swell_period1,surf_max,swell_height2,swell_period2,swell_direction1,modelRun,swell_direction3,modelCode,periodSchedule,swell_height1
2016-09-14T20:00:00+00:00,1200,NW,11.0,73.0,1014,18,17.3,15.8,2.8,6.0,,,,,,,,,,,,,,,
2016-09-14T21:00:00+00:00,1260,NNW,10.5,70.5,1015,15,17.3,15.8,2.7,6.0,,,,,,,,,,,,,,,
2016-09-14T22:00:00+00:00,1320,NNW,10.7,71.5,1015,13,17.3,15.8,2.5,6.0,,,,,,,,,,,,,,,
2016-09-14T23:00:00+00:00,1380,NNW,10.6,71.5,1015,12,17.3,15.7,2.5,6.0,,,,,,,,,,,,,,,
2016-09-15T00:00:00+00:00,0,N,10.4,71.0,1014,11,17.3,15.6,2.3,6.0,,,,,,,,,,,,,,,
2016-09-15T01:00:00+00:00,60,NW,11.1,73.9,1014,10,17.2,15.7,2.1,6.0,"September 15, 2016 01:00:00",1.71,2.7,0.4,15.0,11.2,2.7,0.7,5.2,314.0,2016091418.0,22.0,undefined,0100,7.8
2016-09-15T02:00:00+00:00,120,NW,11.2,74.4,1014,13,17.2,15.7,2.2,6.0,,,,,,,,,,,,,,,
2016-09-15T03:00:00+00:00,180,NW,11.6,75.5,1013,11,17.2,15.9,2.1,6.0,,,,,,,,,,,,,,,
2016-09-15T04:00:00+00:00,240,NW,12.5,79.1,1013,9,17.2,16.1,1.9,6.0,,,,,,,,,,,,,,,
2016-09-15T05:00:00+00:00,300,NW,12.4,78.6,1014,9,17.1,16.1,2.0,7.0,,,,,,,,,,,,,,,
2016-09-15T06:00:00+00:00,360,NW,13.2,81.2,1014,10,17.2,16.4,1.8,6.0,,,,,,,,,,,,,,,
2016-09-15T07:00:00+00:00,420,WNW,13.6,82.9,1015,9,17.2,16.5,1.8,6.0,"September 15, 2016 07:00:00",1.49,2.9,0.5,15.0,11.2,2.48,0.7,5.2,315.0,2016091500.0,21.0,undefined,0700,7.3
2016-09-15T08:00:00+00:00,480,NW,13.8,82.9,1015,7,17.3,16.7,1.9,6.0,,,,,,,,,,,,,,,
2016-09-15T09:00:00+00:00,540,WNW,14.2,84.0,1015,3,17.3,16.9,1.7,6.0,,,,,,,,,,,,,,,
2016-09-15T10:00:00+00:00,600,WNW,14.7,91.9,1016,9,17.4,16.0,1.8,6.0,,,,,,,,,,,,,,,
2016-09-15T11:00:00+00:00,660,NW,14.4,86.2,1016,15,17.3,16.7,1.8,5.0,,,,,,,,,,,,,,,
2016-09-15T12:00:00+00:00,720,NW,13.0,79.2,1016,16,17.4,16.6,1.9,5.0,,,,,,,,,,,,,,,
2016-09-15T13:00:00+00:00,780,WNW,13.3,79.7,1016,15,17.1,16.8,1.9,5.0,"September 15, 2016 13:00:00",1.36,2.7,0.2,16.0,10.2,2.33,0.7,5.2,316.0,2016091506.0,15.0,undefined,1300,6.7
2016-09-15T14:00:00+00:00,840,WNW,13.0,78.1,1016,12,17.4,16.8,2.0,6.0,,,,,,,,,,,,,,,
2016-09-15T15:00:00+00:00,900,WNW,14.1,81.9,1017,15,17.5,17.2,2.0,6.0,,,,,,,,,,,,,,,
2016-09-15T16:00:00+00:00,960,WNW,14.3,83.5,1017,16,17.3,17.1,2.0,5.0,,,,,,,,,,,,,,,
2016-09-15T17:00:00+00:00,1020,NW,12.9,75.1,1018,16,17.1,17.3,2.2,6.0,,,,,,,,,,,,,,,
2016-09-15T18:00:00+00:00,1080,NW,11.6,71.2,1018,15,17.4,16.8,2.2,6.0,,,,,,,,,,,,,,,
2016-09-15T19:00:00+00:00,1140,NW,11.4,70.7,1019,15,17.4,16.7,2.3,6.0,"September 15, 2016 19:00:00",1.24,7.6,0.4,15.0,10.2,2.2,0.6,5.7,317.0,2016091506.0,15.0,undefined,1900,6.5
