,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,swell_direction1,surf_min,swell_height3,swell_height2,swell_period1,swell_height1,dateStamp,swell_period2,modelCode,surf_max,modelRun,swell_direction2,periodSchedule,swell_period3
2016-09-15T20:00:00+00:00,1200,NW,12.3,73.6,1020,14,17.3,17.0,2.6,7.0,,,,,,,,,,,,,,,
2016-09-15T21:00:00+00:00,1260,NW,12.2,74.6,1020,15,17.3,16.7,2.5,6.0,,,,,,,,,,,,,,,
2016-09-15T22:00:00+00:00,1320,NW,11.8,75.5,1021,14,17.2,16.1,2.6,6.0,,,,,,,,,,,,,,,
2016-09-15T23:00:00+00:00,1380,NW,11.8,73.5,1021,16,17.3,16.5,2.8,6.0,,,,,,,,,,,,,,,
2016-09-16T00:00:00+00:00,0,NW,11.6,72.5,1022,14,17.2,16.5,2.8,7.0,,,,,,,,,,,,,,,
2016-09-16T01:00:00+00:00,60,NW,12.1,76.9,1022,15,17.2,16.1,2.7,7.0,15.0,312.0,0.87,0.7,3.4,10.2,5.4,"September 16, 2016 01:00:00",9.3,undefined,1.82,2016091518.0,345.0,0100,6.3
2016-09-16T02:00:00+00:00,120,NW,11.8,74.5,1022,13,17.3,16.3,2.7,7.0,,,,,,,,,,,,,,,
2016-09-16T03:00:00+00:00,180,NW,12.2,77.5,1022,16,17.3,16.1,2.8,7.0,,,,,,,,,,,,,,,
2016-09-16T04:00:00+00:00,240,NW,11.2,72.9,1022,16,17.3,16.0,2.7,7.0,,,,,,,,,,,,,,,
2016-09-16T05:00:00+00:00,300,NW,10.9,71.0,1023,15,17.3,16.1,3.1,8.0,,,,,,,,,,,,,,,
2016-09-16T06:00:00+00:00,360,NW,10.8,71.0,1024,17,17.3,16.0,2.7,7.0,,,,,,,,,,,,,,,
2016-09-16T07:00:00+00:00,420,NW,11.6,74.4,1024,15,17.3,16.1,3.0,8.0,352.0,312.0,0.58,1.9,3.0,9.3,4.9,"September 16, 2016 07:00:00",8.4,undefined,1.55,2016091600.0,353.0,0700,4.3
2016-09-16T08:00:00+00:00,480,NW,12.1,79.4,1025,16,17.3,15.6,3.5,9.0,,,,,,,,,,,,,,,
2016-09-16T09:00:00+00:00,540,NW,11.4,72.9,1026,13,17.3,16.2,3.5,8.0,,,,,,,,,,,,,,,
2016-09-16T10:00:00+00:00,600,NW,10.6,68.2,1026,14,17.3,16.4,3.5,8.0,,,,,,,,,,,,,,,
2016-09-16T11:00:00+00:00,660,NW,10.8,69.1,1026,13,17.3,16.4,3.2,8.0,,,,,,,,,,,,,,,
2016-09-16T12:00:00+00:00,720,NW,11.1,70.1,1026,13,17.4,16.5,3.5,8.0,,,,,,,,,,,,,,,
2016-09-16T13:00:00+00:00,780,NW,11.6,72.5,1027,12,17.2,16.5,3.6,8.0,353.0,312.0,0.41,2.7,2.9,9.3,4.1,"September 16, 2016 13:00:00",4.7,undefined,1.41,2016091606.0,347.0,1300,8.4
2016-09-16T14:00:00+00:00,840,WNW,11.0,69.6,1027,12,17.3,16.5,3.7,9.0,,,,,,,,,,,,,,,
2016-09-16T15:00:00+00:00,900,WNW,11.0,69.6,1027,12,17.3,16.5,3.4,8.0,,,,,,,,,,,,,,,
2016-09-16T16:00:00+00:00,960,NW,11.4,72.0,1027,11,17.1,16.4,3.4,8.0,,,,,,,,,,,,,,,
2016-09-16T17:00:00+00:00,1020,NW,11.7,72.0,1027,10,17.2,16.7,3.3,9.0,,,,,,,,,,,,,,,
2016-09-16T18:00:00+00:00,1080,NW,10.8,68.6,1027,11,17.2,16.5,3.8,9.0,,,,,,,,,,,,,,,
2016-09-16T19:00:00+00:00,1140,WNW,11.2,70.6,1028,9,17.2,16.5,3.2,8.0,24.0,346.0,0.71,3.0,3.8,5.7,4.2,"September 16, 2016 19:00:00",9.3,undefined,1.71,2016091606.0,312.0,1900,5.2
