,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,swell_height1,surf_min,swell_direction1,swell_period1,swell_period3,modelRun,modelCode,swell_height3,dateStamp,swell_period2,swell_direction2,swell_height2,swell_direction3,surf_max
2016-09-17T20:00:00+00:00,1200,SSW,15.4,88.0,1024,14,17.2,17.4,1.9,6.0,,,,,,,,,,,,,,,
2016-09-17T21:00:00+00:00,1260,S,15.6,89.1,1024,15,17.2,17.4,1.8,5.0,,,,,,,,,,,,,,,
2016-09-17T22:00:00+00:00,1320,S,15.7,89.7,1023,17,17.0,17.4,2.0,6.0,,,,,,,,,,,,,,,
2016-09-17T23:00:00+00:00,1380,SSW,15.8,90.2,1023,16,17.2,17.4,2.0,6.0,,,,,,,,,,,,,,,
2016-09-18T00:00:00+00:00,0,S,16.1,90.9,1022,16,17.2,17.6,1.9,5.0,,,,,,,,,,,,,,,
2016-09-18T01:00:00+00:00,60,S,16.2,91.5,1022,16,17.2,17.6,2.0,5.0,0100,5.8,0.14,316.0,12.3,5.2,2016091718.0,undefined,2.1,"September 18, 2016 01:00:00",7.6,343.0,4.4,25.0,1.14
2016-09-18T02:00:00+00:00,120,S,16.5,92.0,1021,16,17.2,17.8,2.0,5.0,,,,,,,,,,,,,,,
2016-09-18T03:00:00+00:00,180,S,16.5,92.0,1020,15,17.2,17.8,1.9,6.0,,,,,,,,,,,,,,,
2016-09-18T04:00:00+00:00,240,S,16.4,93.3,1020,15,17.2,17.5,1.8,5.0,,,,,,,,,,,,,,,
2016-09-18T05:00:00+00:00,300,SSW,16.9,95.6,1020,14,17.2,17.6,2.0,6.0,,,,,,,,,,,,,,,
2016-09-18T06:00:00+00:00,360,NNW,15.2,94.4,1020,16,17.2,16.1,2.2,6.0,,,,,,,,,,,,,,,
2016-09-18T07:00:00+00:00,420,NW,15.1,95.0,1021,16,17.2,15.9,2.1,6.0,0700,6.8,0.0,327.0,12.3,6.3,2016091800.0,undefined,0.9,"September 18, 2016 07:00:00",5.2,25.0,2.1,15.0,0.92
2016-09-18T08:00:00+00:00,480,NNW,14.5,93.8,1022,11,17.2,15.5,2.3,6.0,,,,,,,,,,,,,,,
2016-09-18T09:00:00+00:00,540,NNW,13.5,87.2,1022,17,17.2,15.6,2.3,7.0,,,,,,,,,,,,,,,
2016-09-18T10:00:00+00:00,600,NNW,13.1,81.2,1023,17,17.2,16.3,2.3,6.0,,,,,,,,,,,,,,,
2016-09-18T11:00:00+00:00,660,NNW,11.9,74.0,1024,16,17.2,16.5,2.5,6.0,,,,,,,,,,,,,,,
2016-09-18T12:00:00+00:00,720,NNW,12.0,76.0,1024,17,17.2,16.2,2.4,6.0,,,,,,,,,,,,,,,
2016-09-18T13:00:00+00:00,780,NNW,12.0,76.0,1025,14,17.2,16.2,2.4,6.0,1300,4.6,0.0,316.0,11.2,6.3,2016091806.0,undefined,2.2,"September 18, 2016 13:00:00",8.4,343.0,4.4,24.0,0.83
2016-09-18T14:00:00+00:00,840,NNW,11.6,72.0,1025,16,17.2,16.6,2.5,6.0,,,,,,,,,,,,,,,
2016-09-18T15:00:00+00:00,900,NNW,11.8,73.5,1025,13,17.2,16.5,2.2,6.0,,,,,,,,,,,,,,,
2016-09-18T16:00:00+00:00,960,NNW,12.6,76.0,1025,15,17.2,16.8,2.2,6.0,,,,,,,,,,,,,,,
2016-09-18T17:00:00+00:00,1020,NNW,11.7,74.4,1025,15,17.3,16.2,2.0,6.0,,,,,,,,,,,,,,,
2016-09-18T18:00:00+00:00,1080,N,11.9,74.0,1026,15,17.2,16.5,2.2,6.0,,,,,,,,,,,,,,,
2016-09-18T19:00:00+00:00,1140,NNW,12.2,75.9,1026,15,17.2,16.4,2.3,6.0,1900,6.1,0.0,331.0,11.2,16.3,2016091806.0,undefined,0.1,"September 18, 2016 19:00:00",6.3,21.0,2.1,281.0,0.86
