,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,dateStamp,swell_period1,swell_height1,swell_direction2,surf_max,swell_period2,periodSchedule,swell_period3,swell_direction3,surf_min,swell_height2,swell_height3,modelCode,modelRun
2016-09-18T20:00:00+00:00,1200,N,11.7,74.4,1027,15,17.2,16.2,2.4,6.0,,,,,,,,,,,,,,,
2016-09-18T21:00:00+00:00,1260,N,12.0,75.4,1028,14,17.2,16.3,2.4,6.0,,,,,,,,,,,,,,,
2016-09-18T22:00:00+00:00,1320,N,10.8,71.8,1028,15,17.2,15.8,2.5,7.0,,,,,,,,,,,,,,,
2016-09-18T23:00:00+00:00,1380,NNW,11.4,73.4,1027,16,17.2,16.1,2.8,7.0,,,,,,,,,,,,,,,
2016-09-19T00:00:00+00:00,0,NNW,9.1,62.4,1024,13,17.2,16.2,2.8,7.0,,,,,,,,,,,,,,,
2016-09-19T01:00:00+00:00,60,NNW,8.9,62.8,1022,12,17.2,15.9,2.5,6.0,320.0,"September 19, 2016 01:00:00",10.2,4.4,350.0,1.16,6.9,0100,6.3,23.0,0.16,3.7,2.4,undefined,2016091818.0
2016-09-19T02:00:00+00:00,120,NNW,9.9,67.2,1022,13,17.2,15.9,2.7,7.0,,,,,,,,,,,,,,,
2016-09-19T03:00:00+00:00,180,N,8.5,61.0,1028,10,17.1,15.9,2.5,7.0,,,,,,,,,,,,,,,
2016-09-19T04:00:00+00:00,240,NNW,8.6,61.8,1028,11,17.1,15.8,2.5,7.0,,,,,,,,,,,,,,,
2016-09-19T05:00:00+00:00,300,NNW,10.5,70.8,1028,12,17.1,15.7,2.4,7.0,,,,,,,,,,,,,,,
2016-09-19T06:00:00+00:00,360,N,8.6,63.4,1028,12,17.2,15.4,2.4,7.0,,,,,,,,,,,,,,,
2016-09-19T07:00:00+00:00,420,NNW,8.9,64.3,1028,12,17.2,15.5,2.3,7.0,343.0,"September 19, 2016 07:00:00",6.9,4.2,314.0,1.65,10.2,0700,6.3,24.0,0.65,3.1,2.2,undefined,2016091900.0
2016-09-19T08:00:00+00:00,480,NW,8.1,61.8,1024,10,17.2,15.3,2.7,8.0,,,,,,,,,,,,,,,
2016-09-19T09:00:00+00:00,540,WNW,8.0,60.9,1029,7,17.1,15.4,2.6,7.0,,,,,,,,,,,,,,,
2016-09-19T10:00:00+00:00,600,NNW,7.3,58.3,1029,5,17.1,15.3,2.6,8.0,,,,,,,,,,,,,,,
2016-09-19T11:00:00+00:00,660,N,7.8,60.0,1029,5,17.2,15.4,2.5,7.0,,,,,,,,,,,,,,,
2016-09-19T12:00:00+00:00,720,NW,8.0,61.2,1029,6,17.2,15.3,2.4,7.0,,,,,,,,,,,,,,,
2016-09-19T13:00:00+00:00,780,NW,9.1,65.2,1029,5,17.2,15.5,2.6,8.0,342.0,"September 19, 2016 13:00:00",6.9,3.9,311.0,1.94,10.2,1300,6.3,24.0,0.94,2.5,2.0,undefined,2016091906.0
2016-09-19T14:00:00+00:00,840,N,8.6,63.8,1025,6,17.2,15.3,2.5,7.0,,,,,,,,,,,,,,,
2016-09-19T15:00:00+00:00,900,NNW,7.8,59.2,1028,8,17.2,15.6,2.3,8.0,,,,,,,,,,,,,,,
2016-09-19T16:00:00+00:00,960,NW,6.7,53.8,1027,7,17.2,15.9,2.4,8.0,,,,,,,,,,,,,,,
2016-09-19T17:00:00+00:00,1020,NW,7.9,58.1,1027,10,17.1,16.0,2.0,7.0,,,,,,,,,,,,,,,
2016-09-19T18:00:00+00:00,1080,NW,7.9,59.3,1027,6,17.2,15.7,2.0,7.0,,,,,,,,,,,,,,,
2016-09-19T19:00:00+00:00,1140,WNW,7.8,59.7,1026,5,17.2,15.5,2.1,7.0,340.0,"September 19, 2016 19:00:00",6.9,4.0,298.0,2.05,10.2,1900,6.3,21.0,1.05,2.4,1.8,undefined,2016091906.0
