,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,swell_height1,dateStamp,swell_period2,swell_direction2,swell_direction1,modelCode,swell_direction3,swell_height3,swell_height2,modelRun,swell_period1,surf_min,swell_period3,surf_max
2016-09-19T20:00:00+00:00,1200,WNW,8.5,61.4,1027,4,17.1,15.8,1.9,7.0,,,,,,,,,,,,,,,
2016-09-19T21:00:00+00:00,1260,NW,7.8,58.9,1026,5,17.1,15.7,1.8,8.0,,,,,,,,,,,,,,,
2016-09-19T22:00:00+00:00,1320,W,7.1,55.3,1026,6,17.1,15.9,1.9,7.0,,,,,,,,,,,,,,,
2016-09-19T23:00:00+00:00,1380,W,6.1,51.6,1026,6,17.1,15.9,1.9,7.0,,,,,,,,,,,,,,,
2016-09-20T00:00:00+00:00,0,W,7.0,55.7,1026,5,17.2,15.7,2.0,7.0,,,,,,,,,,,,,,,
2016-09-20T01:00:00+00:00,60,W,7.4,56.9,1025,5,17.2,15.8,1.9,7.0,0100,4.7,"September 20, 2016 01:00:00",5.7,22.0,340.0,undefined,294.0,2.2,2.3,2016091918.0,6.3,1.18,10.2,2.15
2016-09-20T02:00:00+00:00,120,WNW,8.0,58.9,1025,5,17.1,15.9,1.9,7.0,,,,,,,,,,,,,,,
2016-09-20T03:00:00+00:00,180,WNW,9.2,67.9,1024,9,17.1,15.0,1.8,7.0,,,,,,,,,,,,,,,
2016-09-20T04:00:00+00:00,240,SW,9.4,67.5,1024,6,17.2,15.3,2.1,8.0,,,,,,,,,,,,,,,
2016-09-20T05:00:00+00:00,300,SW,9.2,65.3,1023,5,17.1,15.6,2.2,8.0,,,,,,,,,,,,,,,
2016-09-20T06:00:00+00:00,360,W,10.6,81.3,1023,8,17.1,13.7,2.5,9.0,,,,,,,,,,,,,,,
2016-09-20T07:00:00+00:00,420,SSW,11.2,78.8,1022,9,17.1,14.8,2.3,9.0,0700,4.8,"September 20, 2016 07:00:00",12.3,298.0,336.0,undefined,22.0,2.0,3.2,2016092000.0,6.3,1.11,5.7,2.06
2016-09-20T08:00:00+00:00,480,SSW,11.8,79.4,1022,10,17.1,15.3,2.5,10.0,,,,,,,,,,,,,,,
2016-09-20T09:00:00+00:00,540,SSW,11.1,75.3,1022,12,17.1,15.4,2.9,11.0,,,,,,,,,,,,,,,
2016-09-20T10:00:00+00:00,600,SSW,11.5,78.9,1022,13,17.2,15.1,2.8,10.0,,,,,,,,,,,,,,,
2016-09-20T11:00:00+00:00,660,S,11.7,77.3,1022,15,17.1,15.6,3.1,9.0,,,,,,,,,,,,,,,
2016-09-20T12:00:00+00:00,720,S,11.4,74.8,1021,14,17.1,15.8,2.9,9.0,,,,,,,,,,,,,,,
2016-09-20T13:00:00+00:00,780,SSW,12.0,77.4,1021,14,17.1,15.9,3.1,9.0,1300,4.9,"September 20, 2016 13:00:00",11.2,301.0,334.0,undefined,21.0,1.8,3.8,2016092006.0,7.6,0.86,6.3,1.84
2016-09-20T14:00:00+00:00,840,S,11.5,75.9,1020,14,17.3,15.7,3.0,8.0,,,,,,,,,,,,,,,
2016-09-20T15:00:00+00:00,900,SSW,11.3,70.6,1019,15,17.2,16.6,3.5,9.0,,,,,,,,,,,,,,,
2016-09-20T16:00:00+00:00,960,SSW,10.5,68.3,1019,15,17.2,16.3,3.3,9.0,,,,,,,,,,,,,,,
2016-09-20T17:00:00+00:00,1020,SSW,10.5,68.7,1018,16,17.4,16.2,3.4,9.0,,,,,,,,,,,,,,,
2016-09-20T18:00:00+00:00,1080,SSW,11.0,70.2,1017,16,17.2,16.4,3.6,8.0,,,,,,,,,,,,,,,
2016-09-20T19:00:00+00:00,1140,SSW,11.9,74.0,1017,16,17.2,16.5,3.7,8.0,1900,5.0,"September 20, 2016 19:00:00",11.2,305.0,339.0,undefined,19.0,1.8,4.5,2016092006.0,8.4,0.69,6.9,1.69
