,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,modelRun,swell_direction1,surf_min,swell_direction2,swell_period2,periodSchedule,dateStamp,modelCode,swell_height2,swell_period3,surf_max,swell_period1,swell_direction3,swell_height3,swell_height1
2016-09-20T20:00:00+00:00,1200,SSW,11.6,73.5,1017,16,17.2,16.3,3.9,9.0,,,,,,,,,,,,,,,
2016-09-20T21:00:00+00:00,1260,S,11.9,75.0,1016,17,17.2,16.3,3.8,9.0,,,,,,,,,,,,,,,
2016-09-20T22:00:00+00:00,1320,S,13.0,81.2,1016,19,17.2,16.2,3.6,8.0,,,,,,,,,,,,,,,
2016-09-20T23:00:00+00:00,1380,S,13.1,81.2,1015,20,17.2,16.3,3.5,8.0,,,,,,,,,,,,,,,
2016-09-21T00:00:00+00:00,0,S,13.1,81.2,1014,19,17.2,16.3,3.1,8.0,,,,,,,,,,,,,,,
2016-09-21T01:00:00+00:00,60,S,13.3,78.7,1013,19,17.2,17.0,3.3,8.0,2016092018.0,327.0,0.77,22.0,5.7,0100,"September 21, 2016 01:00:00",undefined,2.1,18.0,1.77,10.2,322.0,1.0,6.9
2016-09-21T02:00:00+00:00,120,SSW,12.4,73.7,1013,21,17.1,17.1,3.7,8.0,,,,,,,,,,,,,,,
2016-09-21T03:00:00+00:00,180,SSW,12.9,75.7,1012,23,17.1,17.2,3.6,7.0,,,,,,,,,,,,,,,
2016-09-21T04:00:00+00:00,240,S,13.6,80.8,1011,21,17.2,16.9,3.6,7.0,,,,,,,,,,,,,,,
2016-09-21T05:00:00+00:00,300,SSW,14.3,82.5,1011,21,17.1,17.3,3.7,8.0,,,,,,,,,,,,,,,
2016-09-21T06:00:00+00:00,360,SSW,13.9,80.4,1010,23,17.2,17.3,3.9,8.0,,,,,,,,,,,,,,,
2016-09-21T07:00:00+00:00,420,SW,14.6,91.9,1010,24,17.2,15.9,3.8,7.0,2016092100.0,329.0,0.77,322.0,16.3,0700,"September 21, 2016 07:00:00",undefined,2.6,6.9,1.77,10.2,22.0,2.5,6.4
2016-09-21T08:00:00+00:00,480,NW,12.4,83.3,1011,18,17.1,15.2,3.8,7.0,,,,,,,,,,,,,,,
2016-09-21T09:00:00+00:00,540,NW,11.8,79.5,1012,15,17.2,15.3,4.1,8.0,,,,,,,,,,,,,,,
2016-09-21T10:00:00+00:00,600,NW,10.6,70.6,1013,16,17.0,15.9,4.0,8.0,,,,,,,,,,,,,,,
2016-09-21T11:00:00+00:00,660,NW,9.5,67.7,1014,15,17.1,15.4,3.9,8.0,,,,,,,,,,,,,,,
2016-09-21T12:00:00+00:00,720,NW,8.4,63.1,1014,14,17.1,15.3,3.4,8.0,,,,,,,,,,,,,,,
2016-09-21T13:00:00+00:00,780,NW,9.2,66.3,1015,14,17.1,15.4,3.5,8.0,2016092106.0,329.0,1.04,322.0,14.9,1300,"September 21, 2016 13:00:00",undefined,4.3,6.9,2.02,9.3,22.0,2.1,5.5
2016-09-21T14:00:00+00:00,840,NW,7.6,59.7,1015,11,17.1,15.3,3.2,8.0,,,,,,,,,,,,,,,
2016-09-21T15:00:00+00:00,900,NW,6.5,54.3,1015,10,17.1,15.6,3.4,8.0,,,,,,,,,,,,,,,
2016-09-21T16:00:00+00:00,960,NW,6.7,56.8,1016,9,17.3,15.1,3.0,7.0,,,,,,,,,,,,,,,
2016-09-21T17:00:00+00:00,1020,WNW,7.0,57.7,1016,11,17.0,15.2,2.8,8.0,,,,,,,,,,,,,,,
2016-09-21T18:00:00+00:00,1080,WNW,6.9,56.9,1016,12,17.2,15.3,3.0,8.0,,,,,,,,,,,,,,,
2016-09-21T19:00:00+00:00,1140,WNW,6.1,54.2,1017,10,17.1,15.2,2.9,8.0,2016092106.0,322.0,0.99,329.0,9.3,1900,"September 21, 2016 19:00:00",undefined,4.9,6.9,1.97,14.9,20.0,1.8,5.6
