,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period1,periodSchedule,swell_height3,dateStamp,modelRun,swell_period3,surf_max,swell_height2,swell_height1,surf_min,modelCode,swell_direction3,swell_direction1,swell_direction2,swell_period2
2016-09-24T20:00:00+00:00,1200,W,9.9,69.6,1010,26,17.0,15.4,4.4,7.0,,,,,,,,,,,,,,,
2016-09-24T21:00:00+00:00,1260,W,10.4,70.6,1011,21,16.9,15.7,4.8,8.0,,,,,,,,,,,,,,,
2016-09-24T22:00:00+00:00,1320,W,8.2,65.3,1011,24,16.9,14.6,4.4,8.0,,,,,,,,,,,,,,,
2016-09-24T23:00:00+00:00,1380,W,9.5,69.9,1012,23,16.8,14.9,5.1,8.0,,,,,,,,,,,,,,,
2016-09-25T00:00:00+00:00,0,W,8.4,65.8,1012,24,16.9,14.7,5.3,8.0,,,,,,,,,,,,,,,
2016-09-25T01:00:00+00:00,60,W,10.0,71.8,1013,22,16.9,15.0,5.3,9.0,11.2,0100,0.0,"September 25, 2016 01:00:00",2016092418.0,0.0,1.45,0.0,3.6,0.45,undefined,0.0,320.0,0.0,0.0
2016-09-25T02:00:00+00:00,120,W,8.8,68.4,1014,22,17.0,14.5,5.6,9.0,,,,,,,,,,,,,,,
2016-09-25T03:00:00+00:00,180,W,9.5,69.9,1014,21,17.0,14.9,6.4,9.0,,,,,,,,,,,,,,,
2016-09-25T04:00:00+00:00,240,W,9.9,71.8,1015,20,17.0,14.9,5.6,9.0,,,,,,,,,,,,,,,
2016-09-25T05:00:00+00:00,300,W,8.8,65.8,1015,22,16.9,15.1,5.5,8.0,,,,,,,,,,,,,,,
2016-09-25T06:00:00+00:00,360,W,9.1,65.4,1016,19,17.0,15.5,5.5,9.0,,,,,,,,,,,,,,,
2016-09-25T07:00:00+00:00,420,W,9.4,68.0,1016,21,16.9,15.2,5.4,8.0,11.2,0700,0.8,"September 25, 2016 07:00:00",2016092500.0,2.7,1.97,1.0,3.2,0.97,undefined,23.0,314.0,347.0,2.7
2016-09-25T08:00:00+00:00,480,WSW,9.9,70.0,1017,20,16.9,15.3,4.8,8.0,,,,,,,,,,,,,,,
2016-09-25T09:00:00+00:00,540,W,9.7,69.0,1017,20,16.8,15.3,4.7,9.0,,,,,,,,,,,,,,,
2016-09-25T10:00:00+00:00,600,WSW,10.0,72.7,1018,18,16.8,14.8,4.0,7.0,,,,,,,,,,,,,,,
2016-09-25T11:00:00+00:00,660,WSW,10.9,75.3,1018,16,16.8,15.2,4.7,8.0,,,,,,,,,,,,,,,
2016-09-25T12:00:00+00:00,720,WSW,11.0,75.3,1018,18,16.8,15.3,4.4,8.0,,,,,,,,,,,,,,,
2016-09-25T13:00:00+00:00,780,WSW,10.0,69.5,1018,19,16.8,15.5,4.3,8.0,11.2,1300,2.4,"September 25, 2016 13:00:00",2016092506.0,4.3,2.3,2.4,3.9,1.3,undefined,345.0,308.0,31.0,4.3
2016-09-25T14:00:00+00:00,840,WSW,8.8,67.5,1018,19,16.8,14.7,3.9,8.0,,,,,,,,,,,,,,,
2016-09-25T15:00:00+00:00,900,WSW,11.2,76.3,1017,12,16.9,15.3,3.5,8.0,,,,,,,,,,,,,,,
2016-09-25T16:00:00+00:00,960,SW,11.4,76.9,1017,17,16.9,15.4,3.7,8.0,,,,,,,,,,,,,,,
2016-09-25T17:00:00+00:00,1020,SW,11.8,77.9,1017,17,16.9,15.6,3.6,8.0,,,,,,,,,,,,,,,
2016-09-25T18:00:00+00:00,1080,SW,11.2,75.4,1017,18,16.8,15.5,3.1,7.0,,,,,,,,,,,,,,,
2016-09-25T19:00:00+00:00,1140,SSW,11.0,75.8,1017,16,16.8,15.2,3.2,8.0,10.2,1900,3.0,"September 25, 2016 19:00:00",2016092506.0,4.7,2.57,3.7,5.1,1.58,undefined,28.0,310.0,341.0,4.7
