,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,dateStamp,modelCode,swell_height2,surf_max,swell_height1,swell_height3,swell_period2,swell_period3,swell_period1,swell_direction3,modelRun,periodSchedule,swell_direction1,surf_min
2016-09-27T20:00:00+00:00,1200,SW,16.7,96.3,1027,10,17.1,17.3,2.8,8.0,,,,,,,,,,,,,,,
2016-09-27T21:00:00+00:00,1260,SW,16.8,96.9,1027,12,17.0,17.3,2.7,7.0,,,,,,,,,,,,,,,
2016-09-27T22:00:00+00:00,1320,WSW,16.5,96.9,1028,14,17.1,17.0,2.6,7.0,,,,,,,,,,,,,,,
2016-09-27T23:00:00+00:00,1380,SW,16.6,97.5,1028,10,17.0,17.0,2.6,7.0,,,,,,,,,,,,,,,
2016-09-28T00:00:00+00:00,0,SW,16.8,97.5,1028,10,17.0,17.2,2.6,8.0,,,,,,,,,,,,,,,
2016-09-28T01:00:00+00:00,60,WSW,16.8,97.5,1028,13,17.0,17.2,2.7,8.0,27.0,"September 28, 2016 01:00:00",undefined,4.4,1.9,5.6,4.4,6.3,10.2,6.3,310.0,2016092718.0,0100,341.0,0.9
2016-09-28T02:00:00+00:00,120,WSW,16.5,97.5,1027,14,17.0,16.9,2.7,8.0,,,,,,,,,,,,,,,
2016-09-28T03:00:00+00:00,180,WSW,16.7,98.1,1027,11,17.1,17.0,2.7,8.0,,,,,,,,,,,,,,,
2016-09-28T04:00:00+00:00,240,SW,16.5,97.5,1027,12,17.0,16.9,2.8,8.0,,,,,,,,,,,,,,,
2016-09-28T05:00:00+00:00,300,SW,16.5,98.1,1027,11,17.0,16.8,3.0,9.0,,,,,,,,,,,,,,,
2016-09-28T06:00:00+00:00,360,SW,16.5,97.5,1026,13,17.0,16.9,3.3,9.0,,,,,,,,,,,,,,,
2016-09-28T07:00:00+00:00,420,SW,16.1,97.4,1026,15,17.0,16.5,3.4,8.0,345.0,"September 28, 2016 07:00:00",undefined,4.3,1.96,4.3,3.4,6.3,6.3,10.2,27.0,2016092800.0,0700,309.0,0.96
2016-09-28T08:00:00+00:00,480,SW,16.1,97.4,1026,17,16.9,16.5,3.4,9.0,,,,,,,,,,,,,,,
2016-09-28T09:00:00+00:00,540,SW,16.2,97.4,1026,20,17.0,16.6,3.6,9.0,,,,,,,,,,,,,,,
2016-09-28T10:00:00+00:00,600,SW,16.4,97.4,1026,17,17.0,16.8,3.5,9.0,,,,,,,,,,,,,,,
2016-09-28T11:00:00+00:00,660,SW,16.5,96.9,1026,18,17.0,17.0,3.7,8.0,,,,,,,,,,,,,,,
2016-09-28T12:00:00+00:00,720,SW,16.6,96.2,1025,17,17.0,17.2,3.7,8.0,,,,,,,,,,,,,,,
2016-09-28T13:00:00+00:00,780,SW,16.6,96.2,1024,17,17.0,17.2,4.0,9.0,344.0,"September 28, 2016 13:00:00",undefined,3.6,3.31,3.9,2.4,6.3,5.7,9.3,27.0,2016092806.0,1300,306.0,2.31
2016-09-28T14:00:00+00:00,840,SW,16.5,95.6,1024,16,17.1,17.2,3.6,8.0,,,,,,,,,,,,,,,
2016-09-28T15:00:00+00:00,900,SSW,17.2,93.8,1023,18,16.8,18.2,3.7,8.0,,,,,,,,,,,,,,,
2016-09-28T16:00:00+00:00,960,SW,16.2,92.0,1023,17,17.0,17.5,3.9,8.0,,,,,,,,,,,,,,,
2016-09-28T17:00:00+00:00,1020,SW,16.2,92.1,1022,17,17.0,17.5,4.4,9.0,,,,,,,,,,,,,,,
2016-09-28T18:00:00+00:00,1080,SW,16.6,92.6,1022,17,17.0,17.8,3.9,8.0,,,,,,,,,,,,,,,
2016-09-28T19:00:00+00:00,1140,SW,16.7,93.2,1022,17,16.9,17.8,3.8,8.0,301.0,"September 28, 2016 19:00:00",undefined,3.5,5.08,3.5,3.4,9.3,6.9,13.5,342.0,2016092806.0,1900,294.0,4.25
