,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,swell_period1,surf_max,swell_height3,modelRun,swell_period3,dateStamp,swell_direction3,swell_direction1,surf_min,modelCode,swell_direction2,swell_height2,swell_height1,swell_period2
2016-09-28T20:00:00+00:00,1200,WSW,16.6,95.0,1022,16,16.9,17.4,3.9,8.0,,,,,,,,,,,,,,,
2016-09-28T21:00:00+00:00,1260,WSW,16.7,95.7,1022,15,17.0,17.4,3.7,8.0,,,,,,,,,,,,,,,
2016-09-28T22:00:00+00:00,1320,W,15.7,92.6,1022,12,16.9,16.9,3.6,8.0,,,,,,,,,,,,,,,
2016-09-28T23:00:00+00:00,1380,W,14.6,87.3,1022,13,17.0,16.7,3.6,8.0,,,,,,,,,,,,,,,
2016-09-29T00:00:00+00:00,0,W,14.2,85.1,1022,17,17.0,16.7,3.3,8.0,,,,,,,,,,,,,,,
2016-09-29T01:00:00+00:00,60,W,13.1,79.1,1022,17,17.0,16.7,3.2,8.0,0100,13.5,6.12,1.6,2016092818.0,6.9,"September 29, 2016 01:00:00",122.0,294.0,5.26,undefined,342.0,2.9,5.6,6.9
2016-09-29T02:00:00+00:00,120,W,13.3,80.7,1021,16,17.0,16.6,3.5,8.0,,,,,,,,,,,,,,,
2016-09-29T03:00:00+00:00,180,W,13.1,80.1,1021,16,17.0,16.5,3.4,8.0,,,,,,,,,,,,,,,
2016-09-29T04:00:00+00:00,240,W,13.1,80.1,1021,17,17.0,16.5,3.4,8.0,,,,,,,,,,,,,,,
2016-09-29T05:00:00+00:00,300,W,12.2,75.5,1021,19,17.0,16.5,3.1,8.0,,,,,,,,,,,,,,,
2016-09-29T06:00:00+00:00,360,W,11.7,74.0,1021,19,17.0,16.3,3.6,8.0,,,,,,,,,,,,,,,
2016-09-29T07:00:00+00:00,420,W,11.4,72.0,1021,17,16.8,16.4,3.5,8.0,0700,12.3,6.23,1.6,2016092900.0,7.6,"September 29, 2016 07:00:00",121.0,289.0,5.27,undefined,336.0,2.8,5.3,6.3
2016-09-29T08:00:00+00:00,480,W,10.5,69.1,1021,19,16.8,16.1,3.6,7.0,,,,,,,,,,,,,,,
2016-09-29T09:00:00+00:00,540,W,10.1,68.1,1022,18,16.8,15.9,3.4,7.0,,,,,,,,,,,,,,,
2016-09-29T10:00:00+00:00,600,W,10.0,67.2,1022,15,16.8,16.0,3.5,7.0,,,,,,,,,,,,,,,
2016-09-29T11:00:00+00:00,660,W,9.6,65.4,1021,15,16.8,16.0,3.1,7.0,,,,,,,,,,,,,,,
2016-09-29T12:00:00+00:00,720,W,10.0,67.2,1021,15,16.8,16.0,3.1,7.0,,,,,,,,,,,,,,,
2016-09-29T13:00:00+00:00,,,,,,,,,,,1300,11.2,5.61,2.1,2016092906.0,6.3,"September 29, 2016 13:00:00",342.0,290.0,5.06,undefined,125.0,2.2,5.2,7.6
2016-09-29T19:00:00+00:00,,,,,,,,,,,1900,11.2,5.15,1.8,2016092906.0,7.6,"September 29, 2016 19:00:00",124.0,286.0,4.18,undefined,342.0,1.9,4.6,6.3
