,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,dateStamp,surf_min,periodSchedule,swell_height1,surf_max,swell_height2,swell_direction2,modelCode,modelRun,swell_period3,swell_direction1,swell_direction3,swell_period2,swell_period1
2016-10-04T20:00:00+00:00,1200,NW,10.2,73.2,1024,20,16.8,14.9,4.1,8.0,,,,,,,,,,,,,,,
2016-10-04T21:00:00+00:00,1260,NW,9.9,72.7,1023,18,16.9,14.7,3.2,7.0,,,,,,,,,,,,,,,
2016-10-04T22:00:00+00:00,1320,NW,10.5,74.2,1023,17,16.8,15.0,3.6,7.0,,,,,,,,,,,,,,,
2016-10-04T23:00:00+00:00,1380,NW,10.6,76.2,1022,16,16.8,14.7,3.7,8.0,,,,,,,,,,,,,,,
2016-10-05T00:00:00+00:00,0,WNW,10.6,76.2,1022,16,16.8,14.7,3.3,7.0,,,,,,,,,,,,,,,
2016-10-05T01:00:00+00:00,60,NNW,10.5,76.6,1022,14,16.9,14.5,3.1,7.0,2.3,"October 05, 2016 01:00:00",2.78,0100,7.9,3.78,2.8,341.0,undefined,2016100418.0,3.9,306.0,28.0,4.3,12.3
2016-10-05T02:00:00+00:00,120,NW,11.1,78.3,1022,13,16.9,14.8,3.2,8.0,,,,,,,,,,,,,,,
2016-10-05T03:00:00+00:00,180,WNW,10.8,77.2,1021,14,16.8,14.7,3.2,8.0,,,,,,,,,,,,,,,
2016-10-05T04:00:00+00:00,240,WNW,10.3,75.2,1021,15,16.7,14.6,2.8,7.0,,,,,,,,,,,,,,,
2016-10-05T05:00:00+00:00,300,WNW,9.4,71.1,1021,14,16.7,14.5,2.7,8.0,,,,,,,,,,,,,,,
2016-10-05T06:00:00+00:00,360,WNW,9.8,73.1,1021,14,16.7,14.5,2.7,7.0,,,,,,,,,,,,,,,
2016-10-05T07:00:00+00:00,420,WNW,9.8,73.1,1020,11,16.8,14.5,2.6,7.0,2.7,"October 05, 2016 07:00:00",3.35,0700,7.5,3.65,3.6,339.0,undefined,2016100500.0,5.2,308.0,28.0,5.2,12.3
2016-10-05T08:00:00+00:00,480,WNW,9.6,72.2,1021,11,16.7,14.5,2.6,8.0,,,,,,,,,,,,,,,
2016-10-05T09:00:00+00:00,540,NW,9.2,69.7,1021,8,16.7,14.6,2.3,7.0,,,,,,,,,,,,,,,
2016-10-05T10:00:00+00:00,600,WNW,9.0,68.3,1021,7,16.6,14.7,2.3,7.0,,,,,,,,,,,,,,,
2016-10-05T11:00:00+00:00,660,WNW,9.1,68.4,1021,5,16.8,14.8,2.3,7.0,,,,,,,,,,,,,,,
2016-10-05T12:00:00+00:00,720,W,8.8,67.9,1020,5,16.9,14.6,2.2,7.0,,,,,,,,,,,,,,,
2016-10-05T13:00:00+00:00,780,W,8.6,64.4,1020,5,16.8,15.2,2.1,7.0,2.2,"October 05, 2016 13:00:00",3.17,1300,7.5,3.78,3.7,335.0,undefined,2016100506.0,5.7,309.0,26.0,6.9,11.2
2016-10-05T14:00:00+00:00,840,S,8.8,63.6,1020,2,17.0,15.6,2.0,7.0,,,,,,,,,,,,,,,
2016-10-05T15:00:00+00:00,900,WSW,8.2,62.3,1019,4,17.0,15.3,2.1,7.0,,,,,,,,,,,,,,,
2016-10-05T16:00:00+00:00,960,SW,8.2,62.3,1019,3,16.9,15.3,1.8,7.0,,,,,,,,,,,,,,,
2016-10-05T17:00:00+00:00,1020,E,8.8,64.1,1019,2,16.9,15.5,1.7,7.0,,,,,,,,,,,,,,,
2016-10-05T18:00:00+00:00,1080,SW,9.2,67.1,1019,2,16.9,15.2,1.9,7.0,,,,,,,,,,,,,,,
2016-10-05T19:00:00+00:00,1140,SE,9.0,66.2,1019,2,16.8,15.2,1.7,7.0,1.8,"October 05, 2016 19:00:00",3.0,1900,7.8,3.59,3.3,342.0,undefined,2016100506.0,5.7,310.0,23.0,6.9,11.2
