,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,periodSchedule,modelCode,swell_period3,swell_height1,swell_direction2,swell_period1,swell_height2,swell_direction3,surf_max,dateStamp,swell_height3,swell_direction1,modelRun,swell_period2
2016-10-05T20:00:00+00:00,1200,S,9.4,67.6,1019,4,16.9,15.3,1.8,8.0,,,,,,,,,,,,,,,
2016-10-05T21:00:00+00:00,1260,ESE,9.5,68.0,1019,5,16.8,15.3,2.0,7.0,,,,,,,,,,,,,,,
2016-10-05T22:00:00+00:00,1320,SE,9.5,67.6,1019,4,16.8,15.4,2.0,8.0,,,,,,,,,,,,,,,
2016-10-05T23:00:00+00:00,1380,SSE,9.5,67.6,1019,3,16.8,15.4,2.1,7.0,,,,,,,,,,,,,,,
2016-10-06T00:00:00+00:00,0,E,10.4,71.9,1018,6,16.8,15.4,2.6,8.0,,,,,,,,,,,,,,,
2016-10-06T01:00:00+00:00,60,E,11.0,73.9,1018,7,16.8,15.6,2.6,8.0,1.92,0100,undefined,5.7,7.7,342.0,12.3,3.0,21.0,2.87,"October 06, 2016 01:00:00",1.5,311.0,2016100518.0,6.9
2016-10-06T02:00:00+00:00,120,ESE,11.4,76.9,1017,8,16.7,15.4,3.0,8.0,,,,,,,,,,,,,,,
2016-10-06T03:00:00+00:00,180,ESE,12.8,81.1,1017,13,16.9,16.0,3.3,9.0,,,,,,,,,,,,,,,
2016-10-06T04:00:00+00:00,240,ESE,12.4,79.1,1016,13,16.8,16.0,3.0,8.0,,,,,,,,,,,,,,,
2016-10-06T05:00:00+00:00,300,SE,11.6,75.5,1016,13,16.8,15.9,2.9,7.0,,,,,,,,,,,,,,,
2016-10-06T06:00:00+00:00,360,ESE,12.2,78.5,1016,14,16.8,15.9,2.7,7.0,,,,,,,,,,,,,,,
2016-10-06T07:00:00+00:00,420,ESE,12.6,80.0,1016,13,16.8,16.0,3.1,8.0,1.28,0700,undefined,6.3,7.7,20.0,12.3,1.2,120.0,2.25,"October 06, 2016 07:00:00",0.4,315.0,2016100600.0,5.7
2016-10-06T08:00:00+00:00,480,SE,12.5,80.1,1016,12,16.7,15.9,2.7,8.0,,,,,,,,,,,,,,,
2016-10-06T09:00:00+00:00,540,SE,12.5,80.1,1016,11,16.8,15.9,2.7,7.0,,,,,,,,,,,,,,,
2016-10-06T10:00:00+00:00,600,SE,12.2,78.5,1016,11,16.7,15.9,2.6,7.0,,,,,,,,,,,,,,,
2016-10-06T11:00:00+00:00,660,SE,12.7,80.2,1016,9,16.7,16.1,2.6,7.0,,,,,,,,,,,,,,,
2016-10-06T12:00:00+00:00,720,E,12.1,77.0,1015,13,16.7,16.1,2.4,7.0,,,,,,,,,,,,,,,
2016-10-06T13:00:00+00:00,780,SE,12.5,80.1,1015,11,16.7,15.9,2.4,7.0,0.9,1300,undefined,5.7,6.8,20.0,12.3,1.1,121.0,1.9,"October 06, 2016 13:00:00",0.5,316.0,2016100606.0,5.2
2016-10-06T14:00:00+00:00,840,SSE,12.8,80.7,1015,12,16.7,16.1,2.6,8.0,,,,,,,,,,,,,,,
2016-10-06T15:00:00+00:00,900,SSE,12.8,80.2,1014,15,16.7,16.2,2.8,7.0,,,,,,,,,,,,,,,
2016-10-06T16:00:00+00:00,960,SE,13.1,81.8,1014,16,16.7,16.2,3.1,7.0,,,,,,,,,,,,,,,
2016-10-06T17:00:00+00:00,1020,SE,11.7,74.1,1014,16,16.7,16.3,2.8,7.0,,,,,,,,,,,,,,,
2016-10-06T18:00:00+00:00,1080,SSE,12.6,78.6,1014,16,16.7,16.3,3.2,8.0,,,,,,,,,,,,,,,
2016-10-06T19:00:00+00:00,1140,SE,13.1,81.2,1014,15,16.7,16.3,2.8,7.0,0.92,1900,undefined,5.2,5.8,17.0,11.2,0.8,123.0,1.92,"October 06, 2016 19:00:00",0.5,316.0,2016100606.0,5.2
