,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction2,swell_direction3,swell_period2,swell_height2,swell_height1,dateStamp,surf_min,swell_period3,surf_max,swell_direction1,swell_period1,periodSchedule,modelCode,swell_height3,modelRun
2016-10-06T20:00:00+00:00,1200,SE,13.7,84.0,1014,16,16.7,16.4,3.0,7.0,,,,,,,,,,,,,,,
2016-10-06T21:00:00+00:00,1260,SSE,13.7,84.5,1014,15,16.7,16.3,2.9,7.0,,,,,,,,,,,,,,,
2016-10-06T22:00:00+00:00,1320,SE,14.0,85.0,1014,16,16.7,16.5,2.9,7.0,,,,,,,,,,,,,,,
2016-10-06T23:00:00+00:00,1380,SSE,13.5,83.4,1013,14,16.7,16.3,3.0,7.0,,,,,,,,,,,,,,,
2016-10-07T00:00:00+00:00,0,SSE,11.5,72.6,1013,15,16.7,16.4,3.2,6.0,,,,,,,,,,,,,,,
2016-10-07T01:00:00+00:00,60,SSE,11.5,72.2,1013,15,16.7,16.5,2.9,7.0,350.0,19.0,5.7,1.7,4.6,"October 07, 2016 01:00:00",1.02,3.9,2.02,311.0,12.3,0100,undefined,0.7,2016100618.0
2016-10-07T02:00:00+00:00,120,SSE,12.1,76.5,1013,16,16.7,16.2,3.0,6.0,,,,,,,,,,,,,,,
2016-10-07T03:00:00+00:00,180,SE,12.1,74.6,1012,15,16.7,16.6,3.0,6.0,,,,,,,,,,,,,,,
2016-10-07T04:00:00+00:00,240,S,13.1,91.8,1012,15,16.6,14.4,3.0,7.0,,,,,,,,,,,,,,,
2016-10-07T05:00:00+00:00,300,S,13.7,93.1,1012,17,16.6,14.8,3.1,6.0,,,,,,,,,,,,,,,
2016-10-07T06:00:00+00:00,360,SSE,13.3,90.1,1012,18,16.6,14.9,3.1,7.0,,,,,,,,,,,,,,,
2016-10-07T07:00:00+00:00,420,SSE,12.5,87.1,1012,19,16.6,14.6,3.1,7.0,343.0,20.0,6.3,2.1,4.7,"October 07, 2016 07:00:00",1.21,3.6,2.21,306.0,11.2,0700,undefined,0.6,2016100700.0
2016-10-07T08:00:00+00:00,480,SSE,13.1,89.5,1012,18,16.6,14.8,2.8,6.0,,,,,,,,,,,,,,,
2016-10-07T09:00:00+00:00,540,WNW,12.8,92.4,1013,13,16.6,14.0,3.1,7.0,,,,,,,,,,,,,,,
2016-10-07T10:00:00+00:00,600,NW,12.9,94.3,1014,12,16.6,13.8,3.1,7.0,,,,,,,,,,,,,,,
2016-10-07T11:00:00+00:00,660,NNW,12.7,91.2,1014,9,16.6,14.1,2.8,7.0,,,,,,,,,,,,,,,
2016-10-07T12:00:00+00:00,720,NW,11.0,77.9,1015,11,16.7,14.8,3.0,8.0,,,,,,,,,,,,,,,
2016-10-07T13:00:00+00:00,780,NW,8.8,66.7,1015,10,16.6,14.9,3.1,8.0,344.0,15.0,5.7,1.8,4.8,"October 07, 2016 13:00:00",1.44,4.3,2.44,304.0,11.2,1300,undefined,0.4,2016100700.0
2016-10-07T14:00:00+00:00,840,NW,7.6,61.0,1016,9,16.7,15.0,2.7,8.0,,,,,,,,,,,,,,,
2016-10-07T15:00:00+00:00,900,WNW,8.6,65.7,1016,7,16.6,14.9,2.7,7.0,,,,,,,,,,,,,,,
2016-10-07T16:00:00+00:00,960,NW,9.1,66.7,1017,8,16.7,15.2,2.6,7.0,,,,,,,,,,,,,,,
2016-10-07T17:00:00+00:00,1020,NW,9.2,67.1,1017,6,16.6,15.2,2.4,8.0,,,,,,,,,,,,,,,
2016-10-07T18:00:00+00:00,1080,WNW,9.6,68.1,1018,4,16.7,15.4,2.6,7.0,,,,,,,,,,,,,,,
2016-10-07T19:00:00+00:00,1140,NNW,9.3,67.5,1018,3,16.6,15.2,2.3,7.0,343.0,307.0,3.6,1.8,4.7,"October 07, 2016 19:00:00",2.06,14.9,3.06,303.0,11.2,1900,undefined,1.1,2016100700.0
