,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,swell_height3,modelCode,swell_direction1,surf_max,modelRun,swell_height1,surf_min,swell_period1,swell_direction2,swell_direction3,periodSchedule,swell_period3,dateStamp,swell_period2
2016-10-08T20:00:00+00:00,1200,SE,13.7,84.4,1027,13,16.7,16.3,2.0,6.0,,,,,,,,,,,,,,,
2016-10-08T21:00:00+00:00,1260,SE,13.0,80.6,1027,14,16.7,16.3,2.0,7.0,,,,,,,,,,,,,,,
2016-10-08T22:00:00+00:00,1320,SE,12.9,80.1,1027,14,16.6,16.3,1.9,6.0,,,,,,,,,,,,,,,
2016-10-08T23:00:00+00:00,1380,SE,12.8,79.5,1027,14,16.6,16.3,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T00:00:00+00:00,0,SE,12.3,78.0,1027,14,16.6,16.1,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T01:00:00+00:00,60,SE,12.0,76.9,1027,12,16.6,16.0,1.7,6.0,3.2,1.5,undefined,309.0,1.93,2016100818.0,5.8,0.93,12.3,335.0,22.0,0100,4.7,"October 09, 2016 01:00:00",4.7
2016-10-09T02:00:00+00:00,120,SE,11.8,75.8,1027,11,16.5,16.0,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T03:00:00+00:00,180,SE,11.3,74.3,1027,11,16.6,15.8,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T04:00:00+00:00,240,SE,11.4,74.8,1027,11,16.4,15.8,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T05:00:00+00:00,300,SE,11.3,74.3,1027,11,16.6,15.8,1.9,6.0,,,,,,,,,,,,,,,
2016-10-09T06:00:00+00:00,360,ESE,11.5,75.8,1027,12,16.5,15.7,1.9,7.0,,,,,,,,,,,,,,,
2016-10-09T07:00:00+00:00,420,ESE,11.1,73.8,1027,11,16.6,15.7,1.9,7.0,3.1,1.3,undefined,309.0,1.78,2016100900.0,5.5,0.78,11.2,334.0,21.0,0700,4.7,"October 09, 2016 07:00:00",5.7
2016-10-09T08:00:00+00:00,480,ESE,11.7,75.9,1027,10,16.6,15.9,1.9,7.0,,,,,,,,,,,,,,,
2016-10-09T09:00:00+00:00,540,SE,12.0,76.9,1027,11,16.6,16.0,2.0,7.0,,,,,,,,,,,,,,,
2016-10-09T10:00:00+00:00,600,SE,12.5,79.4,1028,12,16.6,16.0,2.2,8.0,,,,,,,,,,,,,,,
2016-10-09T11:00:00+00:00,660,ESE,12.8,80.1,1028,12,16.6,16.2,2.0,7.0,,,,,,,,,,,,,,,
2016-10-09T12:00:00+00:00,720,ESE,12.6,80.0,1028,12,16.6,16.0,2.0,7.0,,,,,,,,,,,,,,,
2016-10-09T13:00:00+00:00,780,ESE,12.6,79.5,1027,12,16.6,16.1,2.0,8.0,3.2,1.2,undefined,309.0,1.69,2016100906.0,5.0,0.69,11.2,331.0,20.0,1300,4.7,"October 09, 2016 13:00:00",5.7
2016-10-09T14:00:00+00:00,840,ESE,12.1,77.9,1027,12,16.6,15.9,2.0,7.0,,,,,,,,,,,,,,,
2016-10-09T15:00:00+00:00,900,SE,12.3,78.0,1027,12,16.7,16.1,1.9,7.0,,,,,,,,,,,,,,,
2016-10-09T16:00:00+00:00,960,ESE,12.2,79.5,1027,11,16.7,15.7,2.1,7.0,,,,,,,,,,,,,,,
2016-10-09T17:00:00+00:00,1020,ESE,12.3,78.4,1027,12,16.6,16.0,1.9,7.0,,,,,,,,,,,,,,,
2016-10-09T18:00:00+00:00,1080,ESE,12.1,77.9,1026,12,16.6,15.9,1.8,6.0,,,,,,,,,,,,,,,
2016-10-09T19:00:00+00:00,1140,ESE,12.2,77.9,1027,13,16.5,16.0,1.8,6.0,3.5,1.1,undefined,309.0,1.61,2016100906.0,4.6,0.61,10.2,331.0,18.0,1900,5.2,"October 09, 2016 19:00:00",6.3
