,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height1,periodSchedule,swell_period3,dateStamp,modelRun,swell_direction2,surf_max,swell_period1,swell_period2,swell_direction3,modelCode,swell_height2,swell_direction1,surf_min,swell_height3
2016-05-31T20:00:00+00:00,1200,NE,10.5,85.1,1029,2,14.0,12.9,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T21:00:00+00:00,1260,N,10.5,86.2,1029,3,14.0,12.7,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T22:00:00+00:00,1320,ENE,10.7,86.8,1029,2,14.0,12.8,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T23:00:00+00:00,1380,NW,10.5,86.9,1029,3,14.2,12.6,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T00:00:00+00:00,0,NNE,10.1,87.4,1029,2,14.2,12.1,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T01:00:00+00:00,60,ENE,10.2,88.6,1029,3,14.0,12.0,0.7,6.0,3.5,0100,10.2,"June 01, 2016 01:00:00",2016053112.0,26.0,1.39,4.7,4.7,311.0,undefined,2.3,336.0,0.4,1.8
2016-06-01T02:00:00+00:00,120,NNE,10.2,90.4,1029,3,14.0,11.7,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T03:00:00+00:00,180,NNE,10.2,90.4,1029,4,13.9,11.7,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T04:00:00+00:00,240,NNE,10.4,91.6,1028,6,13.9,11.7,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T05:00:00+00:00,300,NNE,10.4,91.0,1028,7,13.9,11.8,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T06:00:00+00:00,360,NNE,10.8,91.6,1028,8,13.8,12.1,0.7,6.0,,,,,,,,,,,,,,,
2016-06-01T07:00:00+00:00,420,NNE,10.9,91.1,1029,8,13.8,12.3,0.6,5.0,2.5,0700,6.9,"June 01, 2016 07:00:00",2016060100.0,310.0,1.19,4.7,9.3,285.0,undefined,2.1,339.0,0.25,1.9
2016-06-01T08:00:00+00:00,480,N,10.9,89.9,1029,7,13.8,12.5,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T09:00:00+00:00,540,N,11.3,88.7,1028,7,13.9,13.1,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T10:00:00+00:00,600,N,11.6,88.8,1028,7,13.9,13.4,0.6,5.0,,,,,,,,,,,,,,,
2016-06-01T11:00:00+00:00,660,N,12.1,89.4,1028,10,14.0,13.8,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T12:00:00+00:00,720,N,12.4,91.1,1028,9,14.4,13.8,0.7,5.0,,,,,,,,,,,,,,,
2016-06-01T13:00:00+00:00,780,NNE,13.0,91.8,1028,9,14.1,14.3,0.8,4.0,2.1,1300,6.9,"June 01, 2016 13:00:00",2016060100.0,340.0,1.11,9.3,4.7,279.0,undefined,2.0,310.0,0.11,1.5
2016-06-01T14:00:00+00:00,840,N,13.0,92.3,1027,8,14.5,14.2,0.8,4.0,,,,,,,,,,,,,,,
2016-06-01T15:00:00+00:00,900,NNE,12.9,91.2,1027,9,14.3,14.3,0.8,5.0,,,,,,,,,,,,,,,
2016-06-01T16:00:00+00:00,960,NE,13.1,90.0,1027,9,14.4,14.7,0.8,4.0,,,,,,,,,,,,,,,
2016-06-01T17:00:00+00:00,1020,NE,12.6,89.4,1026,7,14.1,14.3,0.7,4.0,,,,,,,,,,,,,,,
2016-06-01T18:00:00+00:00,1080,NE,12.4,88.8,1026,8,14.3,14.2,0.8,4.0,,,,,,,,,,,,,,,
2016-06-01T19:00:00+00:00,1140,NE,12.9,90.0,1026,8,14.4,14.5,0.7,5.0,2.1,1900,6.9,"June 01, 2016 19:00:00",2016060100.0,312.0,1.18,4.7,9.3,278.0,undefined,1.7,341.0,0.18,1.4
