,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,periodSchedule,modelRun,swell_period1,swell_height3,swell_height1,dateStamp,swell_direction1,swell_direction3,swell_direction2,surf_min,swell_period3,surf_max,swell_period2,modelCode
2016-05-17T20:00:00+00:00,1200,WSW,9.9,81.3,1012,16,12.9,13.0,2.1,6.0,,,,,,,,,,,,,,,
2016-05-17T21:00:00+00:00,1260,WSW,10.3,83.6,1011,20,12.9,13.0,2.3,6.0,,,,,,,,,,,,,,,
2016-05-17T22:00:00+00:00,1320,WSW,10.3,82.5,1011,19,12.9,13.2,2.5,6.0,,,,,,,,,,,,,,,
2016-05-17T23:00:00+00:00,1380,W,10.3,82.5,1011,22,12.9,13.2,2.6,6.0,,,,,,,,,,,,,,,
2016-05-18T00:00:00+00:00,0,W,10.1,84.6,1011,20,13.0,12.6,2.8,7.0,,,,,,,,,,,,,,,
2016-05-18T01:00:00+00:00,60,WNW,8.8,79.5,1011,23,12.9,12.2,2.9,6.0,4.9,0100,2016051712.0,5.7,3.0,4.9,"May 18, 2016 01:00:00",341.0,21.0,291.0,3.31,5.7,3.52,11.2,undefined
2016-05-18T02:00:00+00:00,120,W,9.5,79.7,1010,20,12.9,12.9,3.4,7.0,,,,,,,,,,,,,,,
2016-05-18T03:00:00+00:00,180,WNW,8.8,77.6,1010,20,12.9,12.6,3.3,7.0,,,,,,,,,,,,,,,
2016-05-18T04:00:00+00:00,240,WNW,7.8,72.9,1010,21,12.9,12.5,3.9,7.0,,,,,,,,,,,,,,,
2016-05-18T05:00:00+00:00,300,WNW,7.7,72.9,1010,20,12.9,12.4,3.8,7.0,,,,,,,,,,,,,,,
2016-05-18T06:00:00+00:00,360,WNW,8.5,78.5,1011,17,12.9,12.1,3.9,8.0,,,,,,,,,,,,,,,
2016-05-18T07:00:00+00:00,420,WNW,8.2,76.9,1012,19,12.8,12.1,3.4,7.0,4.4,0700,2016051800.0,10.2,2.9,4.8,"May 18, 2016 07:00:00",292.0,22.0,341.0,2.36,5.7,3.36,5.7,undefined
2016-05-18T08:00:00+00:00,480,WNW,8.9,86.2,1013,14,12.8,11.1,3.9,7.0,,,,,,,,,,,,,,,
2016-05-18T09:00:00+00:00,540,WNW,8.9,84.0,1013,14,12.8,11.5,3.8,7.0,,,,,,,,,,,,,,,
2016-05-18T10:00:00+00:00,600,W,8.8,83.4,1013,13,12.8,11.5,3.7,7.0,,,,,,,,,,,,,,,
2016-05-18T11:00:00+00:00,660,WNW,8.8,83.4,1014,17,12.7,11.5,3.4,7.0,,,,,,,,,,,,,,,
2016-05-18T12:00:00+00:00,720,WNW,8.7,80.6,1014,14,12.8,11.9,3.6,8.0,,,,,,,,,,,,,,,
2016-05-18T13:00:00+00:00,780,WNW,9.1,85.1,1015,14,12.7,11.5,3.5,8.0,4.1,1300,2016051800.0,10.2,2.7,4.9,"May 18, 2016 13:00:00",294.0,23.0,341.0,2.33,5.2,3.33,5.7,undefined
2016-05-18T14:00:00+00:00,840,WNW,8.9,80.0,1015,15,12.8,12.2,3.1,7.0,,,,,,,,,,,,,,,
2016-05-18T15:00:00+00:00,900,WNW,8.8,79.0,1015,15,12.8,12.3,3.0,7.0,,,,,,,,,,,,,,,
2016-05-18T16:00:00+00:00,960,WNW,9.2,80.7,1015,14,12.8,12.4,3.3,7.0,,,,,,,,,,,,,,,
2016-05-18T17:00:00+00:00,1020,W,9.4,82.3,1015,13,12.8,12.3,3.1,7.0,,,,,,,,,,,,,,,
2016-05-18T18:00:00+00:00,1080,W,9.0,78.5,1015,14,12.8,12.6,3.3,8.0,,,,,,,,,,,,,,,
2016-05-18T19:00:00+00:00,1140,W,9.4,81.2,1015,12,12.8,12.5,3.1,7.0,4.4,1900,2016051800.0,11.2,2.8,5.3,"May 18, 2016 19:00:00",296.0,22.0,342.0,2.46,5.2,3.46,5.7,undefined
