,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_min,swell_period2,surf_max,modelRun,swell_height1,swell_height3,swell_period1,swell_height2,swell_direction2,modelCode,dateStamp,swell_direction3,swell_period3,swell_direction1,periodSchedule
2016-05-18T20:00:00+00:00,1200,W,10.1,85.8,1016,10,12.8,12.4,3.3,8.0,,,,,,,,,,,,,,,
2016-05-18T21:00:00+00:00,1260,WSW,11.2,91.2,1016,10,12.9,12.6,2.8,7.0,,,,,,,,,,,,,,,
2016-05-18T22:00:00+00:00,1320,SW,11.9,94.2,1016,11,12.8,12.8,3.1,8.0,,,,,,,,,,,,,,,
2016-05-18T23:00:00+00:00,1380,SW,12.6,95.5,1015,13,12.9,13.3,2.7,8.0,,,,,,,,,,,,,,,
2016-05-19T00:00:00+00:00,0,WSW,12.6,96.1,1015,15,12.9,13.2,2.6,7.0,,,,,,,,,,,,,,,
2016-05-19T01:00:00+00:00,60,W,12.7,96.8,1015,10,12.9,13.2,2.6,7.0,3.31,5.7,3.51,2016051800.0,5.5,3.4,11.2,4.8,341.0,undefined,"May 19, 2016 01:00:00",24.0,5.7,296.0,0100
2016-05-19T02:00:00+00:00,120,WSW,12.8,96.8,1014,19,12.9,13.3,2.5,7.0,,,,,,,,,,,,,,,
2016-05-19T03:00:00+00:00,180,SW,12.7,96.1,1014,15,12.9,13.3,2.6,7.0,,,,,,,,,,,,,,,
2016-05-19T04:00:00+00:00,240,WSW,12.5,94.9,1014,17,12.8,13.3,2.6,7.0,,,,,,,,,,,,,,,
2016-05-19T05:00:00+00:00,300,WSW,12.4,93.0,1014,17,12.8,13.5,2.5,7.0,,,,,,,,,,,,,,,
2016-05-19T06:00:00+00:00,360,WSW,12.3,92.4,1013,16,12.9,13.5,2.5,7.0,,,,,,,,,,,,,,,
2016-05-19T07:00:00+00:00,420,SW,12.4,93.0,1014,18,12.9,13.5,2.6,6.0,3.41,5.7,3.62,2016051900.0,5.5,3.7,10.2,4.6,342.0,undefined,"May 19, 2016 07:00:00",26.0,5.7,295.0,0700
2016-05-19T08:00:00+00:00,480,WSW,12.5,94.2,1014,18,12.8,13.4,2.6,6.0,,,,,,,,,,,,,,,
2016-05-19T09:00:00+00:00,540,WSW,12.6,94.8,1014,19,12.9,13.4,2.5,6.0,,,,,,,,,,,,,,,
2016-05-19T10:00:00+00:00,600,WSW,12.9,94.3,1014,18,12.8,13.8,2.6,6.0,,,,,,,,,,,,,,,
2016-05-19T11:00:00+00:00,660,WSW,12.8,96.1,1014,15,12.9,13.4,2.6,6.0,,,,,,,,,,,,,,,
2016-05-19T12:00:00+00:00,720,W,12.9,96.7,1014,9,12.9,13.4,2.7,6.0,,,,,,,,,,,,,,,
2016-05-19T13:00:00+00:00,780,WSW,13.1,96.8,1014,17,12.9,13.6,2.6,6.0,3.33,5.7,3.53,2016051900.0,5.2,3.7,10.2,4.5,342.0,undefined,"May 19, 2016 13:00:00",26.0,5.7,294.0,1300
2016-05-19T14:00:00+00:00,840,W,13.2,95.5,1014,16,12.8,13.9,2.6,6.0,,,,,,,,,,,,,,,
2016-05-19T15:00:00+00:00,900,W,13.0,94.3,1015,16,13.0,13.9,2.4,6.0,,,,,,,,,,,,,,,
2016-05-19T16:00:00+00:00,960,W,12.2,92.4,1015,16,13.1,13.4,2.4,6.0,,,,,,,,,,,,,,,
2016-05-19T17:00:00+00:00,1020,W,12.0,91.1,1015,16,13.0,13.4,2.5,6.0,,,,,,,,,,,,,,,
2016-05-19T18:00:00+00:00,1080,WSW,11.9,90.0,1016,15,13.0,13.5,2.6,7.0,,,,,,,,,,,,,,,
2016-05-19T19:00:00+00:00,1140,W,11.9,90.5,1016,14,13.0,13.4,2.4,6.0,3.3,5.7,3.5,2016051900.0,5.1,3.3,10.2,4.5,341.0,undefined,"May 19, 2016 19:00:00",25.0,5.7,294.0,1900
