,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_height3,swell_direction3,swell_period1,swell_direction2,swell_period2,dateStamp,modelCode,swell_height2,surf_min,swell_height1,periodSchedule,swell_direction1,modelRun,surf_max
2016-05-19T20:00:00+00:00,1200,WSW,12.0,91.8,1016,13,13.0,13.3,2.5,7.0,,,,,,,,,,,,,,,
2016-05-19T21:00:00+00:00,1260,WSW,11.9,91.8,1017,12,13.0,13.2,2.5,6.0,,,,,,,,,,,,,,,
2016-05-19T22:00:00+00:00,1320,WSW,11.9,91.2,1017,12,13.0,13.3,2.3,6.0,,,,,,,,,,,,,,,
2016-05-19T23:00:00+00:00,1380,SW,11.9,92.3,1016,11,13.0,13.1,2.3,6.0,,,,,,,,,,,,,,,
2016-05-20T00:00:00+00:00,0,SSW,12.1,93.6,1016,11,13.0,13.1,2.3,6.0,,,,,,,,,,,,,,,
2016-05-20T01:00:00+00:00,60,SSW,12.2,94.2,1015,11,13.0,13.1,2.2,6.0,5.7,3.1,26.0,10.2,340.0,5.7,"May 20, 2016 01:00:00",undefined,4.2,2.32,4.9,0100,295.0,2016051900.0,3.3
2016-05-20T02:00:00+00:00,120,SSW,12.3,94.2,1015,13,12.9,13.2,2.2,6.0,,,,,,,,,,,,,,,
2016-05-20T03:00:00+00:00,180,SW,12.4,94.9,1014,14,13.0,13.2,2.3,6.0,,,,,,,,,,,,,,,
2016-05-20T04:00:00+00:00,240,SW,12.3,93.6,1013,13,12.9,13.3,2.6,6.0,,,,,,,,,,,,,,,
2016-05-20T05:00:00+00:00,300,S,12.4,94.2,1013,14,13.0,13.3,2.7,7.0,,,,,,,,,,,,,,,
2016-05-20T06:00:00+00:00,360,SSW,12.5,94.9,1012,15,13.0,13.3,2.4,6.0,,,,,,,,,,,,,,,
2016-05-20T07:00:00+00:00,420,SSW,12.5,94.2,1013,16,13.0,13.4,2.5,6.0,5.2,2.6,27.0,10.2,340.0,5.2,"May 20, 2016 07:00:00",undefined,3.6,1.98,4.8,0700,296.0,2016051900.0,2.96
2016-05-20T08:00:00+00:00,480,SSW,12.7,94.2,1012,14,13.0,13.6,2.3,6.0,,,,,,,,,,,,,,,
2016-05-20T09:00:00+00:00,540,SSW,12.7,94.2,1011,14,13.0,13.6,2.5,6.0,,,,,,,,,,,,,,,
2016-05-20T10:00:00+00:00,600,S,12.5,94.2,1011,16,13.0,13.4,2.4,6.0,,,,,,,,,,,,,,,
2016-05-20T11:00:00+00:00,660,S,12.1,94.3,1010,15,12.9,13.0,2.1,6.0,,,,,,,,,,,,,,,
2016-05-20T12:00:00+00:00,720,SSW,13.1,95.6,1009,22,12.9,13.8,2.0,5.0,,,,,,,,,,,,,,,
2016-05-20T13:00:00+00:00,780,SSW,13.1,94.8,1008,18,13.0,13.9,2.3,5.0,5.2,1.8,27.0,10.2,338.0,5.2,"May 20, 2016 13:00:00",undefined,3.1,1.8,4.5,1300,295.0,2016051900.0,2.8
2016-05-20T14:00:00+00:00,840,SSW,12.9,94.3,1007,19,13.0,13.8,2.4,6.0,,,,,,,,,,,,,,,
2016-05-20T15:00:00+00:00,900,SSW,12.7,93.0,1007,17,13.0,13.8,2.4,6.0,,,,,,,,,,,,,,,
2016-05-20T16:00:00+00:00,960,SSW,12.9,94.3,1006,18,13.0,13.8,2.6,5.0,,,,,,,,,,,,,,,
2016-05-20T17:00:00+00:00,1020,SSW,12.8,93.0,1005,20,13.0,13.9,2.6,5.0,,,,,,,,,,,,,,,
2016-05-20T18:00:00+00:00,1080,SSW,12.4,94.3,1004,25,13.4,13.3,2.6,6.0,,,,,,,,,,,,,,,
2016-05-20T19:00:00+00:00,1140,SW,12.5,92.4,1005,19,13.0,13.7,2.6,6.0,4.7,1.3,24.0,10.2,343.0,5.2,"May 20, 2016 19:00:00",undefined,2.4,1.64,4.5,1900,298.0,2016051900.0,2.64
