,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,swell_period3,swell_direction2,swell_height1,swell_height2,surf_max,modelRun,swell_period1,dateStamp,swell_direction1,swell_height3,surf_min,swell_period2,periodSchedule,modelCode
2016-05-20T20:00:00+00:00,1200,SW,12.2,91.8,1005,19,12.9,13.5,2.5,6.0,,,,,,,,,,,,,,,
2016-05-20T21:00:00+00:00,1260,SW,12.2,91.8,1005,14,12.9,13.5,2.5,6.0,,,,,,,,,,,,,,,
2016-05-20T22:00:00+00:00,1320,SSW,12.2,93.0,1004,16,12.9,13.3,2.6,6.0,,,,,,,,,,,,,,,
2016-05-20T23:00:00+00:00,1380,SW,11.7,90.0,1004,17,13.0,13.3,2.7,6.0,,,,,,,,,,,,,,,
2016-05-21T00:00:00+00:00,0,WSW,11.4,88.8,1004,15,12.9,13.2,2.7,6.0,,,,,,,,,,,,,,,
2016-05-21T01:00:00+00:00,60,WSW,10.9,87.0,1004,14,13.0,13.0,2.6,6.0,22.0,4.7,338.0,4.3,2.6,2.65,2016052012.0,10.2,"May 21, 2016 01:00:00",297.0,1.2,1.65,4.7,0100,undefined
2016-05-21T02:00:00+00:00,120,WSW,11.0,87.1,1004,15,12.9,13.1,2.6,6.0,,,,,,,,,,,,,,,
2016-05-21T03:00:00+00:00,180,WSW,10.7,85.9,1003,15,13.0,13.0,2.6,7.0,,,,,,,,,,,,,,,
2016-05-21T04:00:00+00:00,240,W,9.1,78.1,1003,17,12.9,12.8,2.8,6.0,,,,,,,,,,,,,,,
2016-05-21T05:00:00+00:00,300,WSW,8.9,78.1,1003,16,13.0,12.6,2.8,7.0,,,,,,,,,,,,,,,
2016-05-21T06:00:00+00:00,360,WSW,8.8,78.1,1003,16,12.9,12.5,2.7,6.0,,,,,,,,,,,,,,,
2016-05-21T07:00:00+00:00,420,WSW,8.8,78.7,1004,16,13.0,12.4,2.7,7.0,21.0,4.3,343.0,4.7,1.9,2.74,2016052012.0,10.2,"May 21, 2016 07:00:00",300.0,0.9,1.74,5.2,0700,undefined
2016-05-21T08:00:00+00:00,480,WSW,8.5,75.5,1004,15,12.9,12.7,2.5,7.0,,,,,,,,,,,,,,,
2016-05-21T09:00:00+00:00,540,WSW,7.7,74.4,1004,16,13.0,12.1,2.7,7.0,,,,,,,,,,,,,,,
2016-05-21T10:00:00+00:00,600,WSW,8.1,74.5,1004,14,12.7,12.5,2.6,7.0,,,,,,,,,,,,,,,
2016-05-21T11:00:00+00:00,660,SW,7.9,73.4,1004,11,13.0,12.5,2.6,6.0,,,,,,,,,,,,,,,
2016-05-21T12:00:00+00:00,720,SW,8.1,74.0,1004,14,13.0,12.6,2.4,6.0,,,,,,,,,,,,,,,
2016-05-21T13:00:00+00:00,780,SW,7.5,73.8,1004,12,12.8,12.0,2.6,7.0,19.0,4.3,350.0,4.9,1.0,2.82,2016052012.0,10.2,"May 21, 2016 13:00:00",300.0,0.5,1.82,10.2,1300,undefined
2016-05-21T14:00:00+00:00,840,WSW,7.8,75.4,1004,12,12.9,12.0,2.4,6.0,,,,,,,,,,,,,,,
2016-05-21T15:00:00+00:00,900,WSW,7.3,70.6,1004,15,12.7,12.5,2.5,6.0,,,,,,,,,,,,,,,
2016-05-21T16:00:00+00:00,960,WSW,7.3,71.4,1004,14,13.0,12.3,2.5,7.0,,,,,,,,,,,,,,,
2016-05-21T17:00:00+00:00,1020,WSW,7.1,70.4,1004,15,13.1,12.3,2.7,7.0,,,,,,,,,,,,,,,
2016-05-21T18:00:00+00:00,1080,W,6.3,73.2,1004,10,13.1,10.9,2.6,7.0,,,,,,,,,,,,,,,
2016-05-21T19:00:00+00:00,1140,W,6.5,69.8,1005,15,13.1,11.8,2.6,7.0,122.0,5.7,354.0,4.9,0.9,3.25,2016052012.0,10.2,"May 21, 2016 19:00:00",299.0,0.7,2.25,10.2,1900,undefined
