,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,periodSchedule,swell_direction1,swell_period2,swell_period1,swell_direction3,swell_height3,surf_max,swell_height2,modelRun,dateStamp,swell_height1,surf_min,modelCode,swell_direction2,swell_period3
2016-05-21T20:00:00+00:00,1200,WSW,6.8,71.3,1005,12,13.0,11.8,2.5,7.0,,,,,,,,,,,,,,,
2016-05-21T21:00:00+00:00,1260,W,6.3,71.2,1006,13,13.0,11.3,2.6,7.0,,,,,,,,,,,,,,,
2016-05-21T22:00:00+00:00,1320,NW,5.6,69.2,1006,11,13.0,11.0,2.5,7.0,,,,,,,,,,,,,,,
2016-05-21T23:00:00+00:00,1380,W,6.4,69.9,1007,12,13.0,11.7,2.5,7.0,,,,,,,,,,,,,,,
2016-05-22T00:00:00+00:00,0,WNW,6.8,73.7,1007,15,13.0,11.3,2.5,6.0,,,,,,,,,,,,,,,
2016-05-22T01:00:00+00:00,60,WNW,6.2,72.1,1008,15,13.0,11.0,2.5,6.0,0100,298.0,2.9,12.3,356.0,0.8,3.66,1.6,2016052112.0,"May 22, 2016 01:00:00",5.3,3.37,undefined,281.0,10.2
2016-05-22T02:00:00+00:00,120,WNW,7.3,75.2,1008,12,13.0,11.5,2.6,7.0,,,,,,,,,,,,,,,
2016-05-22T03:00:00+00:00,180,WNW,7.5,72.9,1008,17,13.0,12.2,2.8,7.0,,,,,,,,,,,,,,,
2016-05-22T04:00:00+00:00,240,WNW,7.4,72.8,1009,18,12.9,12.1,2.6,7.0,,,,,,,,,,,,,,,
2016-05-22T05:00:00+00:00,300,NW,7.5,73.8,1010,19,12.9,12.0,2.7,6.0,,,,,,,,,,,,,,,
2016-05-22T06:00:00+00:00,360,NW,6.7,73.6,1011,17,12.9,11.2,2.6,6.0,,,,,,,,,,,,,,,
2016-05-22T07:00:00+00:00,420,WNW,8.0,75.9,1012,18,12.9,12.1,2.7,6.0,0700,299.0,3.9,11.2,356.0,0.6,4.13,1.5,2016052200.0,"May 22, 2016 07:00:00",5.9,3.13,undefined,295.0,9.3
2016-05-22T08:00:00+00:00,480,NW,7.2,71.3,1013,17,12.9,12.2,2.8,6.0,,,,,,,,,,,,,,,
2016-05-22T09:00:00+00:00,540,NW,8.0,73.3,1014,18,13.0,12.6,2.7,7.0,,,,,,,,,,,,,,,
2016-05-22T10:00:00+00:00,600,NW,8.3,78.4,1015,14,13.2,11.9,2.7,6.0,,,,,,,,,,,,,,,
2016-05-22T11:00:00+00:00,660,WNW,8.2,74.4,1016,17,13.0,12.6,2.8,7.0,,,,,,,,,,,,,,,
2016-05-22T12:00:00+00:00,720,WNW,8.5,81.1,1016,14,12.9,11.6,2.8,6.0,,,,,,,,,,,,,,,
2016-05-22T13:00:00+00:00,780,WNW,8.9,78.0,1017,17,13.0,12.6,3.0,7.0,1300,299.0,3.9,11.2,21.0,1.0,4.25,1.8,2016052200.0,"May 22, 2016 13:00:00",6.4,3.25,undefined,339.0,3.6
2016-05-22T14:00:00+00:00,840,WNW,8.2,74.4,1018,18,13.1,12.6,2.9,7.0,,,,,,,,,,,,,,,
2016-05-22T15:00:00+00:00,900,WNW,8.7,78.0,1018,16,13.3,12.4,3.0,7.0,,,,,,,,,,,,,,,
2016-05-22T16:00:00+00:00,960,WNW,9.0,78.5,1019,14,13.2,12.6,2.6,6.0,,,,,,,,,,,,,,,
2016-05-22T17:00:00+00:00,1020,WNW,9.2,77.5,1019,14,13.3,13.0,2.6,6.0,,,,,,,,,,,,,,,
2016-05-22T18:00:00+00:00,1080,WNW,9.0,76.9,1020,13,13.1,12.9,2.6,7.0,,,,,,,,,,,,,,,
2016-05-22T19:00:00+00:00,1140,NW,8.3,74.8,1020,11,13.1,12.6,2.7,7.0,1900,299.0,4.3,11.2,25.0,1.7,4.21,2.3,2016052200.0,"May 22, 2016 19:00:00",6.4,3.22,undefined,344.0,4.3
