,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,dateStamp,modelCode,swell_period1,swell_height2,swell_height1,surf_min,swell_direction2,swell_period2,periodSchedule,swell_period3,swell_direction1,surf_max,swell_direction3,modelRun
2016-05-22T20:00:00+00:00,1200,NW,8.7,77.4,1021,9,13.1,12.5,2.7,7.0,,,,,,,,,,,,,,,
2016-05-22T21:00:00+00:00,1260,WNW,8.9,78.5,1021,6,13.1,12.5,2.6,7.0,,,,,,,,,,,,,,,
2016-05-22T22:00:00+00:00,1320,WNW,8.3,75.2,1022,7,13.1,12.5,2.4,7.0,,,,,,,,,,,,,,,
2016-05-22T23:00:00+00:00,1380,W,8.8,78.5,1022,7,13.1,12.4,2.5,7.0,,,,,,,,,,,,,,,
2016-05-23T00:00:00+00:00,0,W,8.7,77.9,1022,7,13.1,12.4,2.1,6.0,,,,,,,,,,,,,,,
2016-05-23T01:00:00+00:00,60,WSW,8.4,76.3,1022,6,13.1,12.4,2.2,7.0,2.4,"May 23, 2016 01:00:00",undefined,10.2,2.6,6.3,3.04,344.0,4.7,0100,4.3,299.0,4.04,31.0,2016052212.0
2016-05-23T02:00:00+00:00,120,WSW,8.4,76.8,1022,6,13.1,12.3,2.1,7.0,,,,,,,,,,,,,,,
2016-05-23T03:00:00+00:00,180,WSW,8.2,75.3,1022,5,13.0,12.4,2.3,7.0,,,,,,,,,,,,,,,
2016-05-23T04:00:00+00:00,240,SW,8.0,74.2,1022,4,13.1,12.4,2.2,7.0,,,,,,,,,,,,,,,
2016-05-23T05:00:00+00:00,300,SSW,7.9,74.7,1022,5,13.1,12.2,1.9,7.0,,,,,,,,,,,,,,,
2016-05-23T06:00:00+00:00,360,SSW,7.4,72.2,1022,5,13.0,12.2,1.9,7.0,,,,,,,,,,,,,,,
2016-05-23T07:00:00+00:00,420,S,7.6,71.7,1022,5,13.0,12.5,2.0,7.0,0.5,"May 23, 2016 07:00:00",undefined,10.2,1.8,6.5,2.72,35.0,4.7,0700,2.7,305.0,3.72,347.0,2016052300.0
2016-05-23T08:00:00+00:00,480,SSE,7.7,72.7,1023,6,13.0,12.4,1.9,7.0,,,,,,,,,,,,,,,
2016-05-23T09:00:00+00:00,540,S,7.2,71.2,1023,8,13.2,12.2,1.8,6.0,,,,,,,,,,,,,,,
2016-05-23T10:00:00+00:00,600,SSE,8.2,74.3,1023,9,13.1,12.6,1.9,7.0,,,,,,,,,,,,,,,
2016-05-23T11:00:00+00:00,660,SE,8.2,74.3,1022,10,13.0,12.6,1.9,7.0,,,,,,,,,,,,,,,
2016-05-23T12:00:00+00:00,720,SE,8.8,76.3,1022,12,13.2,12.8,1.7,7.0,,,,,,,,,,,,,,,
2016-05-23T13:00:00+00:00,780,SE,9.4,77.0,1022,13,13.2,13.3,1.7,6.0,0.3,"May 23, 2016 13:00:00",undefined,10.2,1.0,6.2,2.22,29.0,4.7,1300,2.7,306.0,3.22,37.0,2016052300.0
2016-05-23T14:00:00+00:00,840,SE,9.8,80.7,1021,14,13.1,13.0,1.8,6.0,,,,,,,,,,,,,,,
2016-05-23T15:00:00+00:00,900,SE,9.0,76.4,1021,14,13.1,13.0,1.6,6.0,,,,,,,,,,,,,,,
2016-05-23T16:00:00+00:00,960,SSE,9.0,76.9,1020,15,13.0,12.9,1.8,6.0,,,,,,,,,,,,,,,
2016-05-23T17:00:00+00:00,1020,SE,9.1,78.0,1020,15,13.0,12.8,1.7,5.0,,,,,,,,,,,,,,,
2016-05-23T18:00:00+00:00,1080,SE,8.9,75.5,1019,15,13.0,13.1,1.7,5.0,,,,,,,,,,,,,,,
2016-05-23T19:00:00+00:00,1140,SE,8.8,75.9,1018,15,12.8,12.9,1.6,5.0,0.2,"May 23, 2016 19:00:00",undefined,10.2,0.6,5.8,1.81,21.0,4.7,1900,10.2,305.0,2.8,206.0,2016052300.0
