,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_period3,swell_height3,modelRun,modelCode,swell_period2,surf_min,swell_period1,swell_direction3,swell_height1,swell_height2,periodSchedule,swell_direction1,surf_max,swell_direction2
2016-05-23T20:00:00+00:00,1200,ESE,9.3,78.6,1018,17,13.0,12.9,1.6,5.0,,,,,,,,,,,,,,,
2016-05-23T21:00:00+00:00,1260,ESE,9.5,79.6,1018,17,13.1,12.9,1.7,5.0,,,,,,,,,,,,,,,
2016-05-23T22:00:00+00:00,1320,ESE,9.5,79.6,1017,18,13.0,12.9,1.8,5.0,,,,,,,,,,,,,,,
2016-05-23T23:00:00+00:00,1380,ESE,9.9,81.3,1017,17,13.1,13.0,1.8,5.0,,,,,,,,,,,,,,,
2016-05-24T00:00:00+00:00,0,ESE,10.2,83.0,1017,20,13.1,13.0,1.8,5.0,,,,,,,,,,,,,,,
2016-05-24T01:00:00+00:00,60,ESE,10.2,83.0,1016,19,13.0,13.0,2.0,5.0,"May 24, 2016 01:00:00",11.2,0.2,2016052300.0,undefined,4.7,1.38,9.3,205.0,5.3,0.4,0100,305.0,2.38,17.0
2016-05-24T02:00:00+00:00,120,ESE,9.5,79.7,1015,20,13.1,12.9,2.3,6.0,,,,,,,,,,,,,,,
2016-05-24T03:00:00+00:00,180,ESE,9.3,78.6,1015,20,13.0,12.9,2.8,6.0,,,,,,,,,,,,,,,
2016-05-24T04:00:00+00:00,240,ESE,9.6,81.3,1014,20,13.1,12.7,2.8,6.0,,,,,,,,,,,,,,,
2016-05-24T05:00:00+00:00,300,ESE,9.3,79.6,1013,21,13.1,12.7,3.0,6.0,,,,,,,,,,,,,,,
2016-05-24T06:00:00+00:00,360,ESE,9.0,78.0,1013,22,13.0,12.7,3.3,7.0,,,,,,,,,,,,,,,
2016-05-24T07:00:00+00:00,420,E,9.6,81.3,1013,21,12.9,12.7,3.5,7.0,"May 24, 2016 07:00:00",18.0,0.5,2016052300.0,undefined,2.4,1.26,9.3,288.0,4.5,0.7,0700,304.0,2.26,233.0
2016-05-24T08:00:00+00:00,480,E,9.5,80.2,1012,22,12.9,12.8,3.8,7.0,,,,,,,,,,,,,,,
2016-05-24T09:00:00+00:00,540,E,9.1,79.7,1012,23,12.9,12.5,3.7,7.0,,,,,,,,,,,,,,,
2016-05-24T10:00:00+00:00,600,E,9.2,80.2,1012,22,12.9,12.5,3.6,7.0,,,,,,,,,,,,,,,
2016-05-24T11:00:00+00:00,660,E,9.0,79.7,1012,22,12.9,12.4,3.9,7.0,,,,,,,,,,,,,,,
2016-05-24T12:00:00+00:00,720,E,9.3,80.8,1011,23,12.5,12.5,3.7,7.0,,,,,,,,,,,,,,,
2016-05-24T13:00:00+00:00,780,E,9.8,81.8,1011,22,12.7,12.8,3.7,7.0,"May 24, 2016 13:00:00",4.3,2.5,2016052300.0,undefined,14.9,5.56,9.3,258.0,3.3,2.7,1300,305.0,6.64,287.0
2016-05-24T14:00:00+00:00,840,E,9.2,79.7,1010,24,12.9,12.6,4.5,8.0,,,,,,,,,,,,,,,
2016-05-24T15:00:00+00:00,900,E,9.8,80.8,1010,22,12.8,13.0,4.1,7.0,,,,,,,,,,,,,,,
2016-05-24T16:00:00+00:00,960,E,9.9,83.0,1010,22,13.0,12.7,4.3,7.0,,,,,,,,,,,,,,,
2016-05-24T17:00:00+00:00,1020,E,10.2,83.6,1009,22,13.0,12.9,4.0,7.0,,,,,,,,,,,,,,,
2016-05-24T18:00:00+00:00,1080,E,10.4,84.7,1009,23,12.9,12.9,4.1,7.0,,,,,,,,,,,,,,,
2016-05-24T19:00:00+00:00,1140,E,10.7,87.0,1009,23,12.9,12.8,3.7,7.0,"May 24, 2016 19:00:00",4.7,2.7,2016052300.0,undefined,9.3,10.17,14.9,255.0,6.8,2.9,1900,285.0,12.16,296.0
