,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_period3,swell_period1,swell_height1,modelRun,swell_period2,modelCode,swell_height3,swell_direction2,surf_max,swell_direction3,dateStamp,periodSchedule,swell_direction1,swell_height2,surf_min
2016-05-24T20:00:00+00:00,1200,E,10.7,85.8,1009,23,12.9,13.0,3.9,7.0,,,,,,,,,,,,,,,
2016-05-24T21:00:00+00:00,1260,E,10.5,85.3,1010,23,12.9,12.9,3.6,7.0,,,,,,,,,,,,,,,
2016-05-24T22:00:00+00:00,1320,E,10.6,85.2,1010,23,12.9,13.0,3.6,7.0,,,,,,,,,,,,,,,
2016-05-24T23:00:00+00:00,1380,E,10.8,85.3,1010,23,12.9,13.2,3.8,7.0,,,,,,,,,,,,,,,
2016-05-25T00:00:00+00:00,0,E,10.9,85.3,1010,23,12.9,13.3,3.8,7.0,,,,,,,,,,,,,,,
2016-05-25T01:00:00+00:00,60,E,10.9,85.9,1009,22,12.9,13.2,3.9,7.0,10.2,13.5,11.3,2016052412.0,10.2,undefined,0.2,349.0,15.31,206.0,"May 25, 2016 01:00:00",0100,284.0,0.7,13.17
2016-05-25T02:00:00+00:00,120,E,10.9,85.3,1010,22,12.9,13.3,3.9,7.0,,,,,,,,,,,,,,,
2016-05-25T03:00:00+00:00,180,E,11.0,86.4,1010,20,12.9,13.2,3.4,7.0,,,,,,,,,,,,,,,
2016-05-25T04:00:00+00:00,240,ENE,11.3,88.8,1009,19,12.9,13.1,3.9,7.0,,,,,,,,,,,,,,,
2016-05-25T05:00:00+00:00,300,E,11.3,89.4,1009,20,12.8,13.0,3.5,7.0,,,,,,,,,,,,,,,
2016-05-25T06:00:00+00:00,360,ENE,11.0,87.7,1009,21,12.8,13.0,3.8,7.0,,,,,,,,,,,,,,,
2016-05-25T07:00:00+00:00,420,ENE,10.9,87.0,1010,21,12.7,13.0,3.6,7.0,5.2,13.5,12.6,2016052500.0,10.2,undefined,0.3,350.0,16.28,120.0,"May 25, 2016 07:00:00",0700,284.0,0.9,14.01
2016-05-25T08:00:00+00:00,480,ENE,10.7,85.8,1011,23,12.8,13.0,3.6,7.0,,,,,,,,,,,,,,,
2016-05-25T09:00:00+00:00,540,E,10.9,87.6,1011,21,12.9,12.9,3.6,6.0,,,,,,,,,,,,,,,
2016-05-25T10:00:00+00:00,600,ENE,11.1,87.6,1011,20,12.8,13.1,3.4,6.0,,,,,,,,,,,,,,,
2016-05-25T11:00:00+00:00,660,ENE,11.1,87.6,1011,25,12.9,13.1,3.4,7.0,,,,,,,,,,,,,,,
2016-05-25T12:00:00+00:00,720,ENE,10.7,88.1,1012,23,12.8,12.6,3.4,7.0,,,,,,,,,,,,,,,
2016-05-25T13:00:00+00:00,780,ENE,10.6,88.1,1012,23,12.8,12.5,3.2,6.0,2.4,13.5,12.9,2016052500.0,10.2,undefined,0.4,351.0,15.65,237.0,"May 25, 2016 13:00:00",1300,286.0,0.9,13.47
2016-05-25T14:00:00+00:00,840,ENE,11.0,89.3,1012,24,12.9,12.7,3.4,6.0,,,,,,,,,,,,,,,
2016-05-25T15:00:00+00:00,900,ENE,10.2,86.4,1012,28,12.8,12.4,3.5,6.0,,,,,,,,,,,,,,,
2016-05-25T16:00:00+00:00,960,ENE,10.6,88.8,1012,25,12.9,12.4,3.8,6.0,,,,,,,,,,,,,,,
2016-05-25T17:00:00+00:00,1020,ENE,10.0,84.1,1012,26,12.9,12.6,3.8,6.0,,,,,,,,,,,,,,,
2016-05-25T18:00:00+00:00,1080,ENE,9.8,82.4,1012,24,12.9,12.7,3.8,6.0,,,,,,,,,,,,,,,
2016-05-25T19:00:00+00:00,1140,ENE,10.2,85.8,1013,24,12.8,12.5,3.8,7.0,2.4,12.3,12.7,2016052500.0,9.3,undefined,0.4,352.0,13.48,258.0,"May 25, 2016 19:00:00",1900,289.0,0.9,12.16
