,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,surf_min,swell_direction1,modelRun,swell_period3,swell_period2,surf_max,swell_direction3,swell_height1,swell_period1,periodSchedule,modelCode,dateStamp,swell_height2,swell_direction2
2016-05-25T20:00:00+00:00,1200,ENE,10.3,87.5,1013,26,12.8,12.3,3.9,7.0,,,,,,,,,,,,,,,
2016-05-25T21:00:00+00:00,1260,NE,9.8,83.5,1014,25,12.8,12.5,3.5,6.0,,,,,,,,,,,,,,,
2016-05-25T22:00:00+00:00,1320,ENE,9.5,82.4,1014,23,12.7,12.4,3.3,6.0,,,,,,,,,,,,,,,
2016-05-25T23:00:00+00:00,1380,ENE,9.5,83.4,1014,21,12.7,12.2,3.5,7.0,,,,,,,,,,,,,,,
2016-05-26T00:00:00+00:00,0,ENE,9.8,85.1,1014,21,12.7,12.2,3.0,6.0,,,,,,,,,,,,,,,
2016-05-26T01:00:00+00:00,60,ENE,9.9,86.9,1014,19,12.8,12.0,3.0,6.0,0.3,11.07,293.0,2016052512.0,10.2,9.3,12.27,206.0,12.9,12.3,0100,undefined,"May 26, 2016 01:00:00",0.7,353.0
2016-05-26T02:00:00+00:00,120,ENE,9.4,86.9,1014,19,12.9,11.5,2.9,6.0,,,,,,,,,,,,,,,
2016-05-26T03:00:00+00:00,180,ENE,10.1,92.3,1013,18,12.8,11.3,2.8,6.0,,,,,,,,,,,,,,,
2016-05-26T04:00:00+00:00,240,ENE,10.1,91.1,1013,17,12.8,11.5,2.6,6.0,,,,,,,,,,,,,,,
2016-05-26T05:00:00+00:00,300,ENE,9.8,85.8,1013,17,12.8,12.1,2.5,6.0,,,,,,,,,,,,,,,
2016-05-26T06:00:00+00:00,360,ENE,9.4,83.4,1013,18,12.8,12.1,2.6,6.0,,,,,,,,,,,,,,,
2016-05-26T07:00:00+00:00,420,ENE,9.5,83.5,1013,16,12.7,12.2,2.4,6.0,0.3,8.51,296.0,2016052600.0,14.9,9.3,10.17,207.0,12.9,12.3,0700,undefined,"May 26, 2016 07:00:00",0.5,355.0
2016-05-26T08:00:00+00:00,480,NE,9.4,85.7,1013,17,12.7,11.7,2.2,6.0,,,,,,,,,,,,,,,
2016-05-26T09:00:00+00:00,540,ENE,9.6,85.7,1014,16,12.7,11.9,2.3,6.0,,,,,,,,,,,,,,,
2016-05-26T10:00:00+00:00,600,ENE,9.9,87.4,1014,14,12.7,11.9,2.2,5.0,,,,,,,,,,,,,,,
2016-05-26T11:00:00+00:00,660,ENE,9.9,87.4,1014,15,12.7,11.9,1.9,5.0,,,,,,,,,,,,,,,
2016-05-26T12:00:00+00:00,720,ENE,10.0,88.0,1014,16,12.7,11.9,2.1,5.0,,,,,,,,,,,,,,,
2016-05-26T13:00:00+00:00,780,ENE,10.1,87.5,1014,15,12.6,12.1,1.8,5.0,0.3,7.57,297.0,2016052600.0,9.3,14.9,9.05,360.0,11.9,12.3,1300,undefined,"May 26, 2016 13:00:00",0.5,209.0
2016-05-26T14:00:00+00:00,840,ENE,10.3,88.7,1014,13,12.7,12.1,1.8,6.0,,,,,,,,,,,,,,,
2016-05-26T15:00:00+00:00,900,ENE,10.3,87.5,1014,14,12.7,12.3,1.9,6.0,,,,,,,,,,,,,,,
2016-05-26T16:00:00+00:00,960,ENE,10.4,89.9,1013,13,12.7,12.0,1.7,5.0,,,,,,,,,,,,,,,
2016-05-26T17:00:00+00:00,1020,ENE,11.1,93.6,1013,12,12.7,12.1,1.7,5.0,,,,,,,,,,,,,,,
2016-05-26T18:00:00+00:00,1080,ENE,11.1,94.8,1013,12,12.7,11.9,1.7,5.0,,,,,,,,,,,,,,,
2016-05-26T19:00:00+00:00,1140,ENE,11.0,92.9,1013,14,12.7,12.1,1.7,5.0,0.3,5.27,297.0,2016052600.0,10.2,14.9,6.3,207.0,10.3,12.3,1900,undefined,"May 26, 2016 19:00:00",0.5,209.0
