,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,surf_max,modelRun,periodSchedule,swell_direction2,swell_height2,swell_direction1,swell_height3,swell_period2,swell_direction3,modelCode,dateStamp,swell_period1,swell_period3,swell_height1,surf_min
2016-05-26T20:00:00+00:00,1200,ENE,11.3,93.0,1013,13,12.7,12.4,1.6,5.0,,,,,,,,,,,,,,,
2016-05-26T21:00:00+00:00,1260,ENE,11.3,92.3,1014,12,12.7,12.5,1.5,5.0,,,,,,,,,,,,,,,
2016-05-26T22:00:00+00:00,1320,E,11.5,93.0,1014,11,12.7,12.6,1.3,5.0,,,,,,,,,,,,,,,
2016-05-26T23:00:00+00:00,1380,E,11.4,91.8,1014,10,12.7,12.7,1.4,5.0,,,,,,,,,,,,,,,
2016-05-27T00:00:00+00:00,0,E,11.5,92.3,1014,10,12.7,12.7,1.3,5.0,,,,,,,,,,,,,,,
2016-05-27T01:00:00+00:00,60,E,11.5,92.3,1014,9,12.7,12.7,1.3,5.0,5.62,2016052612.0,0100,209.0,0.6,293.0,0.2,14.9,207.0,undefined,"May 27, 2016 01:00:00",11.2,10.2,8.8,5.45
2016-05-27T02:00:00+00:00,120,E,11.3,91.8,1013,11,12.7,12.6,1.2,5.0,,,,,,,,,,,,,,,
2016-05-27T03:00:00+00:00,180,E,11.1,91.1,1013,12,12.7,12.5,1.2,5.0,,,,,,,,,,,,,,,
2016-05-27T04:00:00+00:00,240,E,10.7,89.9,1013,11,12.7,12.3,1.3,5.0,,,,,,,,,,,,,,,
2016-05-27T05:00:00+00:00,300,E,10.8,89.9,1013,10,12.7,12.4,1.2,5.0,,,,,,,,,,,,,,,
2016-05-27T06:00:00+00:00,360,ENE,10.2,88.7,1013,13,12.7,12.0,1.2,5.0,,,,,,,,,,,,,,,
2016-05-27T07:00:00+00:00,420,E,10.4,88.1,1013,12,12.7,12.3,1.3,5.0,5.22,2016052700.0,0700,204.0,2.6,292.0,0.6,4.3,209.0,undefined,"May 27, 2016 07:00:00",11.2,14.9,7.2,4.22
2016-05-27T08:00:00+00:00,480,E,11.0,90.0,1013,13,12.7,12.6,1.3,4.0,,,,,,,,,,,,,,,
2016-05-27T09:00:00+00:00,540,E,10.9,89.4,1013,13,12.6,12.6,1.2,4.0,,,,,,,,,,,,,,,
2016-05-27T10:00:00+00:00,600,E,11.0,90.0,1013,13,12.7,12.6,1.3,4.0,,,,,,,,,,,,,,,
2016-05-27T11:00:00+00:00,660,E,10.7,89.9,1013,14,12.7,12.3,1.2,4.0,,,,,,,,,,,,,,,
2016-05-27T12:00:00+00:00,720,E,11.2,91.7,1013,14,12.8,12.5,1.2,4.0,,,,,,,,,,,,,,,
2016-05-27T13:00:00+00:00,780,E,11.3,92.3,1013,14,12.9,12.5,1.2,4.0,5.13,2016052700.0,1300,209.0,0.6,270.0,0.2,14.9,207.0,undefined,"May 27, 2016 13:00:00",10.2,9.3,6.9,4.15
2016-05-27T14:00:00+00:00,840,E,12.0,92.4,1013,14,12.7,13.2,1.2,4.0,,,,,,,,,,,,,,,
2016-05-27T15:00:00+00:00,900,E,11.9,93.0,1013,12,12.8,13.0,1.1,5.0,,,,,,,,,,,,,,,
2016-05-27T16:00:00+00:00,960,E,11.8,93.6,1012,13,12.8,12.8,1.2,4.0,,,,,,,,,,,,,,,
2016-05-27T17:00:00+00:00,1020,E,12.2,94.3,1012,13,12.9,13.1,1.1,4.0,,,,,,,,,,,,,,,
2016-05-27T18:00:00+00:00,1080,E,12.2,94.3,1012,13,12.9,13.1,1.2,5.0,,,,,,,,,,,,,,,
2016-05-27T19:00:00+00:00,1140,E,12.4,94.9,1012,14,12.9,13.2,1.2,5.0,5.4,2016052700.0,1900,209.0,0.6,255.0,0.1,13.5,360.0,undefined,"May 27, 2016 19:00:00",9.3,8.4,6.6,4.41
