,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction1,modelRun,swell_height3,swell_direction3,surf_min,swell_height1,periodSchedule,modelCode,swell_height2,swell_period1,swell_period2,swell_period3,surf_max,swell_direction2,dateStamp
2016-05-27T20:00:00+00:00,1200,E,12.4,94.9,1011,15,12.8,13.2,1.3,4.0,,,,,,,,,,,,,,,
2016-05-27T21:00:00+00:00,1260,E,12.4,94.2,1011,15,12.8,13.3,1.5,5.0,,,,,,,,,,,,,,,
2016-05-27T22:00:00+00:00,1320,E,12.4,94.2,1011,16,12.9,13.3,1.5,5.0,,,,,,,,,,,,,,,
2016-05-27T23:00:00+00:00,1380,E,12.6,94.9,1011,15,12.8,13.4,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T00:00:00+00:00,0,E,12.5,95.5,1011,15,12.9,13.2,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T01:00:00+00:00,60,ESE,12.8,95.5,1010,15,12.8,13.5,1.6,5.0,248.0,2016052712.0,0.1,360.0,4.24,6.2,0100,undefined,0.6,8.4,13.5,8.4,5.22,209.0,"May 28, 2016 01:00:00"
2016-05-28T02:00:00+00:00,120,E,12.6,94.9,1010,14,12.9,13.4,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T03:00:00+00:00,180,ESE,12.7,94.9,1010,14,12.8,13.5,1.8,5.0,,,,,,,,,,,,,,,
2016-05-28T04:00:00+00:00,240,ESE,12.7,94.9,1009,13,12.8,13.5,1.7,5.0,,,,,,,,,,,,,,,
2016-05-28T05:00:00+00:00,300,ESE,12.7,94.9,1009,12,12.8,13.5,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T06:00:00+00:00,360,SE,12.7,94.9,1009,11,12.8,13.5,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T07:00:00+00:00,420,ESE,12.7,95.5,1009,10,12.8,13.4,1.6,5.0,247.0,2016052800.0,0.2,285.0,4.37,5.8,0700,undefined,0.6,7.6,13.5,12.3,5.37,209.0,"May 28, 2016 07:00:00"
2016-05-28T08:00:00+00:00,480,ESE,12.5,94.9,1010,9,12.8,13.3,1.7,5.0,,,,,,,,,,,,,,,
2016-05-28T09:00:00+00:00,540,ESE,12.7,95.5,1010,10,12.8,13.4,1.5,5.0,,,,,,,,,,,,,,,
2016-05-28T10:00:00+00:00,600,ESE,12.6,94.9,1010,8,12.9,13.4,1.6,5.0,,,,,,,,,,,,,,,
2016-05-28T11:00:00+00:00,660,E,12.7,94.2,1010,9,12.9,13.6,1.5,5.0,,,,,,,,,,,,,,,
2016-05-28T12:00:00+00:00,720,E,13.0,94.3,1011,7,13.1,13.9,1.4,5.0,,,,,,,,,,,,,,,
2016-05-28T13:00:00+00:00,780,ESE,13.0,93.6,1011,8,13.2,14.0,1.3,5.0,251.0,2016052800.0,0.4,290.0,4.93,6.0,1300,undefined,0.6,6.9,13.5,11.2,5.89,209.0,"May 28, 2016 13:00:00"
2016-05-28T14:00:00+00:00,840,ESE,13.0,94.3,1011,9,13.2,13.9,1.3,5.0,,,,,,,,,,,,,,,
2016-05-28T15:00:00+00:00,900,ESE,12.9,93.6,1011,11,13.2,13.9,1.3,5.0,,,,,,,,,,,,,,,
2016-05-28T16:00:00+00:00,960,E,12.6,94.3,1011,6,13.4,13.5,1.3,5.0,,,,,,,,,,,,,,,
2016-05-28T17:00:00+00:00,1020,ESE,12.8,93.7,1012,8,13.3,13.8,1.4,5.0,,,,,,,,,,,,,,,
2016-05-28T18:00:00+00:00,1080,E,12.6,93.6,1012,8,13.2,13.6,1.4,5.0,,,,,,,,,,,,,,,
2016-05-28T19:00:00+00:00,1140,E,12.6,93.0,1012,8,13.2,13.7,1.4,5.0,264.0,2016052800.0,0.4,285.0,5.43,7.0,1900,undefined,0.6,6.9,13.5,11.2,6.37,209.0,"May 28, 2016 19:00:00"
