,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,dateStamp,swell_height3,swell_period3,swell_direction2,swell_height1,swell_height2,modelRun,swell_period1,swell_direction1,surf_max,swell_period2,modelCode,swell_direction3,periodSchedule,surf_min
2016-05-28T20:00:00+00:00,1200,E,12.5,93.7,1012,9,13.2,13.5,1.3,5.0,,,,,,,,,,,,,,,
2016-05-28T21:00:00+00:00,1260,E,12.5,94.9,1013,8,13.1,13.3,1.2,5.0,,,,,,,,,,,,,,,
2016-05-28T22:00:00+00:00,1320,E,12.4,94.9,1013,10,13.2,13.2,1.2,5.0,,,,,,,,,,,,,,,
2016-05-28T23:00:00+00:00,1380,E,12.1,94.9,1013,8,13.2,12.9,1.2,5.0,,,,,,,,,,,,,,,
2016-05-29T00:00:00+00:00,0,SE,12.3,95.5,1013,4,13.1,13.0,1.1,5.0,,,,,,,,,,,,,,,
2016-05-29T01:00:00+00:00,60,ENE,12.4,95.5,1014,4,13.1,13.1,1.1,5.0,"May 29, 2016 01:00:00",0.0,0.0,209.0,7.8,0.6,2016052812.0,7.6,277.0,6.14,13.5,undefined,0.0,0100,5.17
2016-05-29T02:00:00+00:00,120,E,12.4,94.9,1014,5,13.2,13.2,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T03:00:00+00:00,180,E,12.2,93.6,1014,8,13.2,13.2,0.9,5.0,,,,,,,,,,,,,,,
2016-05-29T04:00:00+00:00,240,E,10.8,91.7,1014,11,13.1,12.1,0.9,5.0,,,,,,,,,,,,,,,
2016-05-29T05:00:00+00:00,300,E,10.9,91.1,1014,4,13.2,12.3,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T06:00:00+00:00,360,ENE,11.3,91.2,1014,6,13.1,12.7,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T07:00:00+00:00,420,ENE,10.4,85.2,1015,6,13.0,12.8,1.0,5.0,"May 29, 2016 07:00:00",0.0,0.0,209.0,7.4,0.6,2016052900.0,7.6,281.0,5.17,12.3,undefined,0.0,0700,4.25
2016-05-29T08:00:00+00:00,480,NE,9.9,81.3,1015,5,13.1,13.0,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T09:00:00+00:00,540,NE,10.1,83.0,1016,7,13.1,12.9,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T10:00:00+00:00,600,NE,10.5,85.2,1016,7,13.1,12.9,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T11:00:00+00:00,660,NE,9.8,80.8,1016,7,13.2,13.0,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T12:00:00+00:00,720,NNE,10.4,83.5,1017,6,13.3,13.1,1.0,5.0,,,,,,,,,,,,,,,
2016-05-29T13:00:00+00:00,780,NNE,10.8,83.1,1017,6,13.4,13.6,1.0,5.0,"May 29, 2016 13:00:00",0.0,0.0,209.0,6.7,0.6,2016052900.0,7.6,284.0,4.56,12.3,undefined,0.0,1300,3.58
2016-05-29T14:00:00+00:00,840,NNE,10.5,84.1,1017,6,13.6,13.1,1.0,6.0,,,,,,,,,,,,,,,
2016-05-29T15:00:00+00:00,900,N,10.9,84.7,1017,6,13.7,13.4,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T16:00:00+00:00,960,N,11.5,85.9,1018,5,13.7,13.8,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T17:00:00+00:00,1020,N,11.5,85.9,1018,7,13.7,13.8,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T18:00:00+00:00,1080,N,11.7,87.6,1018,6,13.4,13.7,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T19:00:00+00:00,1140,N,11.7,87.6,1018,6,13.6,13.7,0.8,5.0,"May 29, 2016 19:00:00",0.0,0.0,209.0,6.0,0.6,2016052900.0,7.6,287.0,3.94,12.3,undefined,0.0,1900,2.94
