,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,swell_period2,modelCode,periodSchedule,surf_max,swell_height3,swell_period1,dateStamp,swell_period3,swell_height1,swell_direction1,swell_height2,surf_min,swell_direction2,modelRun
2016-05-29T20:00:00+00:00,1200,N,11.4,86.4,1018,6,13.6,13.6,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T21:00:00+00:00,1260,N,11.9,90.0,1019,7,13.6,13.5,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T22:00:00+00:00,1320,N,12.1,91.8,1019,7,13.5,13.4,0.9,6.0,,,,,,,,,,,,,,,
2016-05-29T23:00:00+00:00,1380,N,12.1,91.1,1019,8,13.6,13.5,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T00:00:00+00:00,0,NNE,11.0,86.4,1020,8,13.5,13.2,0.8,6.0,,,,,,,,,,,,,,,
2016-05-30T01:00:00+00:00,60,NNE,10.8,87.0,1020,7,13.5,12.9,0.8,6.0,0.0,12.3,undefined,0100,3.17,0.0,7.6,"May 30, 2016 01:00:00",0.0,5.3,292.0,0.6,2.17,209.0,2016052912.0
2016-05-30T02:00:00+00:00,120,NE,11.0,88.1,1020,8,13.5,12.9,0.8,6.0,,,,,,,,,,,,,,,
2016-05-30T03:00:00+00:00,180,NE,10.8,89.2,1020,7,13.4,12.5,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T04:00:00+00:00,240,NNE,10.6,89.8,1020,8,13.4,12.2,0.8,5.0,,,,,,,,,,,,,,,
2016-05-30T05:00:00+00:00,300,NNE,11.0,90.5,1020,7,13.4,12.5,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T06:00:00+00:00,360,ENE,10.9,89.9,1021,7,13.3,12.5,0.8,6.0,,,,,,,,,,,,,,,
2016-05-30T07:00:00+00:00,420,NE,10.2,85.7,1021,6,13.4,12.5,0.9,6.0,15.0,12.3,undefined,0700,2.55,0.3,7.6,"May 30, 2016 07:00:00",2.4,4.7,296.0,0.5,1.58,209.0,2016053000.0
2016-05-30T08:00:00+00:00,480,NNE,10.2,84.6,1021,7,13.4,12.7,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T09:00:00+00:00,540,NNE,9.8,82.9,1022,6,13.4,12.6,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T10:00:00+00:00,600,ENE,9.6,81.8,1022,4,13.4,12.6,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T11:00:00+00:00,660,ENE,9.3,80.6,1022,4,13.5,12.5,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T12:00:00+00:00,720,NE,8.7,77.9,1023,2,13.8,12.4,1.0,6.0,,,,,,,,,,,,,,,
2016-05-30T13:00:00+00:00,780,SE,9.3,77.5,1023,2,13.7,13.1,0.9,7.0,15.0,11.2,undefined,1300,2.18,0.3,6.9,"May 30, 2016 13:00:00",2.4,4.2,298.0,0.5,1.18,209.0,2016053000.0
2016-05-30T14:00:00+00:00,840,NNE,9.1,76.5,1023,2,13.9,13.1,0.9,7.0,,,,,,,,,,,,,,,
2016-05-30T15:00:00+00:00,900,NNW,8.5,76.3,1023,3,13.6,12.5,0.9,7.0,,,,,,,,,,,,,,,
2016-05-30T16:00:00+00:00,960,N,9.4,77.0,1024,3,14.1,13.3,0.9,7.0,,,,,,,,,,,,,,,
2016-05-30T17:00:00+00:00,1020,NE,9.2,75.4,1024,3,14.0,13.4,0.9,7.0,,,,,,,,,,,,,,,
2016-05-30T18:00:00+00:00,1080,N,9.8,76.0,1024,2,13.8,13.9,0.9,7.0,,,,,,,,,,,,,,,
2016-05-30T19:00:00+00:00,1140,ENE,10.1,78.6,1024,4,14.0,13.7,0.9,6.0,18.0,3.6,undefined,1900,1.77,0.5,6.9,"May 30, 2016 19:00:00",2.9,3.4,297.0,1.8,0.77,337.0,2016053000.0
