,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,modelCode,surf_min,swell_direction1,modelRun,swell_height2,swell_direction2,dateStamp,swell_height1,swell_period2,swell_height3,swell_period3,periodSchedule,swell_period1,surf_max
2016-05-30T20:00:00+00:00,1200,E,10.2,79.7,1024,3,13.9,13.6,0.8,6.0,,,,,,,,,,,,,,,
2016-05-30T21:00:00+00:00,1260,ENE,10.3,81.8,1025,3,13.9,13.3,0.8,6.0,,,,,,,,,,,,,,,
2016-05-30T22:00:00+00:00,1320,W,10.3,83.5,1025,2,13.6,13.0,0.9,6.0,,,,,,,,,,,,,,,
2016-05-30T23:00:00+00:00,1380,WSW,10.3,84.5,1025,2,13.6,12.8,0.9,6.0,,,,,,,,,,,,,,,
2016-05-31T00:00:00+00:00,0,E,10.7,85.8,1025,3,13.7,13.0,0.8,6.0,,,,,,,,,,,,,,,
2016-05-31T01:00:00+00:00,60,ESE,10.4,86.8,1026,3,13.8,12.5,0.8,7.0,19.0,undefined,0.45,300.0,2016053012.0,2.1,339.0,"May 31, 2016 01:00:00",2.8,3.9,0.8,3.6,0100,6.9,1.45
2016-05-31T02:00:00+00:00,120,SSW,10.4,87.5,1026,4,14.0,12.4,0.8,6.0,,,,,,,,,,,,,,,
2016-05-31T03:00:00+00:00,180,E,10.4,88.1,1026,2,14.0,12.3,0.9,7.0,,,,,,,,,,,,,,,
2016-05-31T04:00:00+00:00,240,NE,10.4,88.5,1025,2,13.8,12.2,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T05:00:00+00:00,300,WSW,10.6,89.8,1026,3,13.9,12.2,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T06:00:00+00:00,360,WNW,10.6,90.4,1026,4,13.8,12.1,0.9,7.0,,,,,,,,,,,,,,,
2016-05-31T07:00:00+00:00,420,NW,10.9,90.4,1027,2,13.6,12.4,0.8,7.0,23.0,undefined,0.28,302.0,2016053100.0,1.7,345.0,"May 31, 2016 07:00:00",2.4,3.9,1.1,3.6,0700,6.3,1.28
2016-05-31T08:00:00+00:00,480,WNW,10.9,89.9,1027,2,13.7,12.5,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T09:00:00+00:00,540,E,10.5,88.1,1027,4,13.8,12.4,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T10:00:00+00:00,600,W,10.7,86.9,1027,2,13.8,12.8,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T11:00:00+00:00,660,S,10.4,85.7,1028,2,13.9,12.7,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T12:00:00+00:00,720,SSE,10.4,82.9,1028,2,13.8,13.2,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T13:00:00+00:00,780,S,10.0,81.8,1028,2,13.9,13.0,0.7,7.0,27.0,undefined,0.31,298.0,2016053100.0,1.9,341.0,"May 31, 2016 13:00:00",2.0,3.9,1.4,3.9,1300,7.6,1.31
2016-05-31T14:00:00+00:00,840,N,10.1,80.7,1028,2,13.9,13.3,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T15:00:00+00:00,900,SSE,9.5,78.0,1028,2,13.9,13.2,0.7,6.0,,,,,,,,,,,,,,,
2016-05-31T16:00:00+00:00,960,WSW,10.2,81.9,1018,2,13.9,13.2,0.7,7.0,,,,,,,,,,,,,,,
2016-05-31T17:00:00+00:00,1020,NW,9.9,80.8,1006,3,14.1,13.1,0.7,7.0,,,,,,,,,,,,,,,
2016-05-31T18:00:00+00:00,1080,E,10.1,82.4,1022,2,14.3,13.0,0.8,7.0,,,,,,,,,,,,,,,
2016-05-31T19:00:00+00:00,1140,WSW,10.2,84.0,1021,3,14.1,12.8,0.7,7.0,25.0,undefined,0.44,334.0,2016053100.0,1.8,286.0,"May 31, 2016 19:00:00",3.1,6.9,1.6,3.9,1900,4.3,1.4
