,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height3,swell_direction2,surf_max,swell_period1,modelRun,swell_period2,swell_period3,swell_height2,swell_height1,swell_direction3,periodSchedule,dateStamp,swell_direction1,surf_min,modelCode
2016-05-14T16:00:00+00:00,960,NW,10.7,92.3,1023,4,12.7,11.9,1.1,6.0,,,,,,,,,,,,,,,
2016-05-14T17:00:00+00:00,1020,NNW,10.8,91.6,1023,6,12.7,12.1,1.2,6.0,,,,,,,,,,,,,,,
2016-05-14T18:00:00+00:00,1080,NW,10.6,91.7,1023,5,12.9,11.9,1.0,5.0,,,,,,,,,,,,,,,
2016-05-14T19:00:00+00:00,1140,NW,10.5,91.6,1024,7,12.8,11.8,1.1,5.0,,,,,,,,,,,,,,,
2016-05-14T20:00:00+00:00,1200,WNW,10.3,92.3,1024,7,12.8,11.5,1.1,6.0,,,,,,,,,,,,,,,
2016-05-14T21:00:00+00:00,1260,N,10.3,92.3,1024,6,12.8,11.5,1.0,6.0,,,,,,,,,,,,,,,
2016-05-14T22:00:00+00:00,1320,WNW,10.1,91.6,1024,6,12.8,11.4,1.1,6.0,,,,,,,,,,,,,,,
2016-05-14T23:00:00+00:00,1380,NW,9.9,91.0,1025,7,12.8,11.3,1.2,6.0,,,,,,,,,,,,,,,
2016-05-15T00:00:00+00:00,0,WNW,10.1,91.0,1025,2,12.8,11.5,1.1,6.0,1.3,344.0,1.5,6.3,2016051400.0,4.7,10.2,2.4,2.8,285.0,0100,"May 15, 2016 01:00:00",333.0,0.5,undefined
2016-05-15T01:00:00+00:00,60,W,9.8,90.4,1025,6,12.7,11.3,1.2,6.0,,,,,,,,,,,,,,,
2016-05-15T02:00:00+00:00,120,WNW,9.8,90.4,1025,8,12.7,11.3,1.2,6.0,,,,,,,,,,,,,,,
2016-05-15T03:00:00+00:00,180,WNW,10.0,91.0,1025,6,12.7,11.4,1.2,6.0,,,,,,,,,,,,,,,
2016-05-15T04:00:00+00:00,240,WNW,9.7,91.0,1025,6,12.6,11.1,1.2,7.0,,,,,,,,,,,,,,,
2016-05-15T05:00:00+00:00,300,NW,10.0,91.6,1025,7,12.7,11.3,1.2,7.0,,,,,,,,,,,,,,,
2016-05-15T06:00:00+00:00,360,NW,9.8,90.4,1025,5,12.7,11.3,1.1,6.0,1.5,345.0,1.2,6.3,2016051500.0,4.7,4.3,2.3,2.5,22.0,0700,"May 15, 2016 07:00:00",334.0,0.26,undefined
2016-05-15T07:00:00+00:00,420,WNW,9.7,90.4,1026,5,12.7,11.2,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T08:00:00+00:00,480,NW,9.9,91.0,1026,3,12.7,11.3,1.1,6.0,,,,,,,,,,,,,,,
2016-05-15T09:00:00+00:00,540,WNW,9.9,90.4,1026,3,12.7,11.4,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T10:00:00+00:00,600,WNW,10.1,92.9,1026,2,12.7,11.2,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T11:00:00+00:00,660,WNW,10.5,92.3,1026,2,12.7,11.7,1.1,6.0,,,,,,,,,,,,,,,
2016-05-15T12:00:00+00:00,720,WSW,10.8,91.6,1026,4,12.8,12.1,1.1,6.0,1.5,25.0,1.11,4.7,2016051500.0,4.7,6.3,1.8,3.1,353.0,1300,"May 15, 2016 13:00:00",338.0,0.11,undefined
2016-05-15T13:00:00+00:00,780,SW,10.6,89.2,1026,4,12.9,12.3,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T14:00:00+00:00,840,SW,10.6,88.7,1026,4,12.8,12.4,1.0,6.0,,,,,,,,,,,,,,,
2016-05-15T15:00:00+00:00,900,SW,10.7,88.1,1026,4,12.9,12.6,0.9,6.0,,,,,,,,,,,,,,,
2016-05-15T16:00:00+00:00,960,SW,10.9,89.3,1026,6,12.9,12.6,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T18:00:00+00:00,,,,,,,,,,,1.1,24.0,1.01,5.2,2016051500.0,5.2,9.3,2.1,4.2,285.0,1900,"May 15, 2016 19:00:00",340.0,0.01,undefined
