,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_direction3,modelCode,swell_period2,dateStamp,swell_direction1,swell_height3,surf_max,swell_height1,surf_min,swell_period3,modelRun,swell_period1,swell_height2,periodSchedule,swell_direction2
2016-05-15T18:00:00+00:00,1080,SW,11.1,90.5,1025,5,12.9,12.6,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T19:00:00+00:00,1140,SW,11.1,89.9,1025,6,12.9,12.7,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T20:00:00+00:00,1200,SW,11.4,91.1,1025,4,13.0,12.8,1.1,7.0,,,,,,,,,,,,,,,
2016-05-15T21:00:00+00:00,1260,SSW,11.9,92.3,1025,4,13.0,13.1,1.0,6.0,,,,,,,,,,,,,,,
2016-05-15T22:00:00+00:00,1320,W,11.7,92.9,1026,4,13.0,12.8,0.9,6.0,,,,,,,,,,,,,,,
2016-05-15T23:00:00+00:00,1380,W,11.6,92.9,1026,5,12.8,12.7,0.9,6.0,,,,,,,,,,,,,,,
2016-05-16T00:00:00+00:00,0,SW,11.8,93.5,1025,5,12.8,12.8,1.1,7.0,285.0,undefined,5.2,"May 16, 2016 01:00:00",340.0,1.0,0.96,4.1,0.0,9.3,2016051512.0,5.2,2.2,0100,24.0
2016-05-16T01:00:00+00:00,60,SW,12.0,94.8,1025,5,12.7,12.8,1.0,7.0,,,,,,,,,,,,,,,
2016-05-16T02:00:00+00:00,120,SW,12.1,94.9,1025,5,12.8,12.9,1.0,7.0,,,,,,,,,,,,,,,
2016-05-16T03:00:00+00:00,180,SSW,12.0,94.2,1025,8,12.8,12.9,1.1,7.0,,,,,,,,,,,,,,,
2016-05-16T04:00:00+00:00,240,SSW,11.8,93.5,1024,7,12.7,12.8,1.1,7.0,,,,,,,,,,,,,,,
2016-05-16T05:00:00+00:00,300,SSW,12.0,93.6,1024,8,12.7,13.0,1.1,8.0,,,,,,,,,,,,,,,
2016-05-16T06:00:00+00:00,360,SSW,12.0,93.6,1024,8,12.7,13.0,1.2,8.0,285.0,undefined,5.2,"May 16, 2016 07:00:00",339.0,1.2,1.02,3.5,0.02,8.4,2016051600.0,5.2,2.1,0700,24.0
2016-05-16T07:00:00+00:00,420,SW,11.6,93.6,1024,11,12.8,12.6,1.3,6.0,,,,,,,,,,,,,,,
2016-05-16T08:00:00+00:00,480,SSW,11.9,93.6,1024,9,12.9,12.9,1.2,6.0,,,,,,,,,,,,,,,
2016-05-16T09:00:00+00:00,540,SSW,11.7,90.5,1024,11,12.8,13.2,1.2,7.0,,,,,,,,,,,,,,,
2016-05-16T10:00:00+00:00,600,SSW,11.7,91.7,1024,10,12.8,13.0,1.3,7.0,,,,,,,,,,,,,,,
2016-05-16T11:00:00+00:00,660,S,12.0,92.9,1024,10,12.8,13.1,1.3,6.0,,,,,,,,,,,,,,,
2016-05-16T12:00:00+00:00,720,SSW,12.1,93.0,1024,10,12.8,13.2,1.4,7.0,285.0,undefined,5.2,"May 16, 2016 13:00:00",339.0,1.4,1.45,3.2,0.45,8.4,2016051600.0,5.2,1.8,1300,23.0
2016-05-16T13:00:00+00:00,780,SSW,12.4,94.2,1023,12,12.8,13.3,1.5,7.0,,,,,,,,,,,,,,,
2016-05-16T14:00:00+00:00,840,SSW,12.0,92.9,1023,12,12.9,13.1,1.8,7.0,,,,,,,,,,,,,,,
2016-05-16T15:00:00+00:00,900,SSW,12.0,92.4,1023,11,12.8,13.2,1.7,7.0,,,,,,,,,,,,,,,
2016-05-16T16:00:00+00:00,960,SSW,11.9,91.8,1022,11,12.9,13.2,1.8,7.0,,,,,,,,,,,,,,,
2016-05-16T17:00:00+00:00,1020,SSW,12.0,92.4,1022,13,12.9,13.2,1.7,6.0,,,,,,,,,,,,,,,
2016-05-16T18:00:00+00:00,,,,,,,,,,,21.0,undefined,11.2,"May 16, 2016 19:00:00",341.0,1.9,2.03,3.8,1.08,5.2,2016051600.0,5.2,2.6,1900,289.0
